[720, 504]
[folio, [51.0, 72.0, 122.0, 18.0], OdaUXQ4v3n, 5652482]
[paragraph, [258.0, 104.0, 197.0, 18.0], shoonya_6sAMAFAO7KO5WW, 5652482]
[paragraph, [258.0, 122.0, 197.0, 18.0], shoonya_6sAMAFAO7KO5WW, 5652482]
[paragraph, [258.0, 140.0, 197.0, 18.0], shoonya_6sAMAFAO7KO5WW, 5652482]
[paragraph, [258.0, 158.0, 197.0, 18.0], shoonya_6sAMAFAO7KO5WW, 5652482]
[paragraph, [258.0, 176.0, 197.0, 18.0], shoonya_6sAMAFAO7KO5WW, 5652482]
[paragraph, [258.0, 194.0, 197.0, 18.0], shoonya_6sAMAFAO7KO5WW, 5652482]
[paragraph, [47.0, 105.0, 198.0, 18.0], shoonya_0s15D722NRPA4F, 5652482]
[paragraph, [47.0, 123.0, 198.0, 18.0], shoonya_0s15D722NRPA4F, 5652482]
[paragraph, [47.0, 141.0, 198.0, 18.0], shoonya_0s15D722NRPA4F, 5652482]
[paragraph, [47.0, 159.0, 198.0, 18.0], shoonya_0s15D722NRPA4F, 5652482]
[paragraph, [47.0, 177.0, 198.0, 18.0], shoonya_0s15D722NRPA4F, 5652482]
[paragraph, [47.0, 195.0, 198.0, 18.0], shoonya_0s15D722NRPA4F, 5652482]
[paragraph, [47.0, 213.0, 198.0, 18.0], shoonya_0s15D722NRPA4F, 5652482]
[paragraph, [47.0, 231.0, 198.0, 18.0], shoonya_0s15D722NRPA4F, 5652482]
[paragraph, [47.0, 249.0, 198.0, 18.0], shoonya_0s15D722NRPA4F, 5652482]
[paragraph, [47.0, 267.0, 198.0, 18.0], shoonya_0s15D722NRPA4F, 5652482]
[paragraph, [47.0, 285.0, 198.0, 18.0], shoonya_0s15D722NRPA4F, 5652482]
[paragraph, [258.0, 222.0, 197.0, 18.0], shoonya_3s6AQXD3YVT6I5, 5652482]
[paragraph, [258.0, 240.0, 197.0, 18.0], shoonya_3s6AQXD3YVT6I5, 5652482]
[paragraph, [258.0, 258.0, 197.0, 18.0], shoonya_3s6AQXD3YVT6I5, 5652482]
[paragraph, [258.0, 276.0, 197.0, 18.0], shoonya_3s6AQXD3YVT6I5, 5652482]
[paragraph, [258.0, 294.0, 197.0, 18.0], shoonya_3s6AQXD3YVT6I5, 5652482]
[paragraph, [258.0, 312.0, 197.0, 18.0], shoonya_3s6AQXD3YVT6I5, 5652482]
[paragraph, [258.0, 330.0, 197.0, 18.0], shoonya_3s6AQXD3YVT6I5, 5652482]
[paragraph, [258.0, 348.0, 197.0, 18.0], shoonya_3s6AQXD3YVT6I5, 5652482]
[paragraph, [258.0, 366.0, 197.0, 18.0], shoonya_3s6AQXD3YVT6I5, 5652482]
[paragraph, [258.0, 384.0, 197.0, 18.0], shoonya_3s6AQXD3YVT6I5, 5652482]
[paragraph, [258.0, 402.0, 197.0, 18.0], shoonya_3s6AQXD3YVT6I5, 5652482]
[paragraph, [258.0, 420.0, 197.0, 18.0], shoonya_3s6AQXD3YVT6I5, 5652482]
[paragraph, [258.0, 438.0, 197.0, 18.0], shoonya_3s6AQXD3YVT6I5, 5652482]
[paragraph, [258.0, 456.0, 197.0, 18.0], shoonya_3s6AQXD3YVT6I5, 5652482]
[paragraph, [48.0, 305.0, 197.0, 18.0], shoonya_1s8B9RC5D7QLU2, 5652482]
[paragraph, [48.0, 323.0, 197.0, 18.0], shoonya_1s8B9RC5D7QLU2, 5652482]
[paragraph, [48.0, 341.0, 197.0, 18.0], shoonya_1s8B9RC5D7QLU2, 5652482]
[paragraph, [48.0, 359.0, 197.0, 18.0], shoonya_1s8B9RC5D7QLU2, 5652482]
[paragraph, [48.0, 377.0, 197.0, 18.0], shoonya_1s8B9RC5D7QLU2, 5652482]
[paragraph, [48.0, 395.0, 197.0, 18.0], shoonya_1s8B9RC5D7QLU2, 5652482]
[paragraph, [48.0, 413.0, 197.0, 18.0], shoonya_1s8B9RC5D7QLU2, 5652482]
[paragraph, [48.0, 431.0, 197.0, 18.0], shoonya_1s8B9RC5D7QLU2, 5652482]
[paragraph, [48.0, 449.0, 197.0, 18.0], shoonya_1s8B9RC5D7QLU2, 5652482]
[paragraph, [48.0, 467.0, 197.0, 18.0], shoonya_1s8B9RC5D7QLU2, 5652482]
[paragraph, [48.0, 485.0, 197.0, 18.0], shoonya_1s8B9RC5D7QLU2, 5652482]
[paragraph, [48.0, 503.0, 197.0, 18.0], shoonya_1s8B9RC5D7QLU2, 5652482]
[paragraph, [48.0, 521.0, 197.0, 18.0], shoonya_1s8B9RC5D7QLU2, 5652482]
[paragraph, [258.0, 472.0, 197.0, 18.0], shoonya_2sL9FBPG99UH6R, 5652482]
[paragraph, [258.0, 490.0, 197.0, 18.0], shoonya_2sL9FBPG99UH6R, 5652482]
[paragraph, [258.0, 508.0, 197.0, 18.0], shoonya_2sL9FBPG99UH6R, 5652482]
[paragraph, [258.0, 526.0, 197.0, 18.0], shoonya_2sL9FBPG99UH6R, 5652482]
[paragraph, [258.0, 544.0, 197.0, 18.0], shoonya_2sL9FBPG99UH6R, 5652482]
[paragraph, [258.0, 562.0, 197.0, 18.0], shoonya_2sL9FBPG99UH6R, 5652482]
[paragraph, [258.0, 580.0, 197.0, 18.0], shoonya_2sL9FBPG99UH6R, 5652482]
[paragraph, [258.0, 598.0, 197.0, 18.0], shoonya_2sL9FBPG99UH6R, 5652482]
[paragraph, [47.0, 539.0, 199.0, 18.0], shoonya_4sJCUPBCCG47BQ, 5652482]
[paragraph, [47.0, 557.0, 199.0, 18.0], shoonya_4sJCUPBCCG47BQ, 5652482]
[paragraph, [47.0, 575.0, 199.0, 18.0], shoonya_4sJCUPBCCG47BQ, 5652482]
[paragraph, [47.0, 593.0, 199.0, 18.0], shoonya_4sJCUPBCCG47BQ, 5652482]
[footnote, [201.0, 680.0, 97.0, 18.0], JKWlUj796u, 5652482]
