[792, 612]
[paragraph, [82.0, 119.0, 394.0, 18.0], shoonya_0sHFUI4Q7GSV7D, 5660619]
[paragraph, [82.0, 137.0, 394.0, 18.0], shoonya_0sHFUI4Q7GSV7D, 5660619]
[paragraph, [82.0, 155.0, 394.0, 18.0], shoonya_0sHFUI4Q7GSV7D, 5660619]
[paragraph, [82.0, 173.0, 394.0, 18.0], shoonya_0sHFUI4Q7GSV7D, 5660619]
[paragraph, [82.0, 191.0, 394.0, 18.0], shoonya_0sHFUI4Q7GSV7D, 5660619]
[paragraph, [82.0, 209.0, 394.0, 18.0], shoonya_0sHFUI4Q7GSV7D, 5660619]
[paragraph, [82.0, 241.0, 395.0, 18.0], shoonya_2sK5ZZCSA9UJG8, 5660619]
[paragraph, [82.0, 259.0, 395.0, 18.0], shoonya_2sK5ZZCSA9UJG8, 5660619]
[paragraph, [82.0, 277.0, 395.0, 18.0], shoonya_2sK5ZZCSA9UJG8, 5660619]
[unordered-list, [95.0, 303.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 321.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 339.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 357.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 375.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 393.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 411.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 429.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 447.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 465.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 483.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 501.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 519.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 537.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 555.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 573.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 591.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 609.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 627.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[unordered-list, [95.0, 645.0, 380.0, 18.0], shoonya_1sUMSV50N7MLPD, 5660619]
[sub-unordered-list, [136.0, 578.0, 272.0, 18.0], shoonya_4sMB6LEJOT8FO5, 5660619]
[sub-unordered-list, [136.0, 596.0, 272.0, 18.0], shoonya_4sMB6LEJOT8FO5, 5660619]
[sub-unordered-list, [136.0, 614.0, 272.0, 18.0], shoonya_4sMB6LEJOT8FO5, 5660619]
[sub-unordered-list, [136.0, 632.0, 272.0, 18.0], shoonya_4sMB6LEJOT8FO5, 5660619]
