[2339, 1653]
[folio, [229.0, 328.0, 340.0, 36.0], KzFtfvx3yB, 5736070]
[folio, [1272.0, 330.0, 142.0, 36.0], 0YgRFFupsZ, 5736070]
[sidebar, [82.0, 385.0, 151.0, 36.0], 5zquwF_LOR, 5736070]
[sidebar, [82.0, 421.0, 151.0, 36.0], 5zquwF_LOR, 5736070]
[paragraph, [835.0, 1224.0, 583.0, 36.0], shoonya_3sCD6R7QQFQ6BQ, 5736070]
[paragraph, [835.0, 1260.0, 583.0, 36.0], shoonya_3sCD6R7QQFQ6BQ, 5736070]
[paragraph, [835.0, 1296.0, 583.0, 36.0], shoonya_3sCD6R7QQFQ6BQ, 5736070]
[paragraph, [835.0, 1332.0, 583.0, 36.0], shoonya_3sCD6R7QQFQ6BQ, 5736070]
[paragraph, [234.0, 1230.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1266.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1302.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1338.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1374.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1410.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1446.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1482.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1518.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1554.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1590.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1626.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1662.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1698.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1734.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1770.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1806.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1842.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [234.0, 1878.0, 583.0, 36.0], shoonya_0s5PZ5IBKFOAHQ, 5736070]
[paragraph, [833.0, 1401.0, 589.0, 36.0], 1WSakLJLNu, 5736070]
[paragraph, [833.0, 1437.0, 589.0, 36.0], 1WSakLJLNu, 5736070]
[paragraph, [833.0, 1473.0, 589.0, 36.0], 1WSakLJLNu, 5736070]
[paragraph, [833.0, 1509.0, 589.0, 36.0], 1WSakLJLNu, 5736070]
[paragraph, [833.0, 1545.0, 589.0, 36.0], 1WSakLJLNu, 5736070]
[paragraph, [833.0, 1581.0, 589.0, 36.0], 1WSakLJLNu, 5736070]
[paragraph, [833.0, 1617.0, 589.0, 36.0], 1WSakLJLNu, 5736070]
[paragraph, [833.0, 1653.0, 589.0, 36.0], 1WSakLJLNu, 5736070]
[paragraph, [833.0, 1689.0, 589.0, 36.0], 1WSakLJLNu, 5736070]
[paragraph, [833.0, 1725.0, 589.0, 36.0], 1WSakLJLNu, 5736070]
[paragraph, [833.0, 1761.0, 589.0, 36.0], 1WSakLJLNu, 5736070]
[paragraph, [833.0, 1797.0, 589.0, 36.0], 1WSakLJLNu, 5736070]
[paragraph, [833.0, 1833.0, 589.0, 36.0], 1WSakLJLNu, 5736070]
[paragraph, [833.0, 1869.0, 589.0, 36.0], 1WSakLJLNu, 5736070]
[folio, [1169.0, 1968.0, 245.0, 36.0], mOqhiBKQy8, 5736070]
