[591, 402]
[folio, [148.0, 46.0, 98.0, 18.0], p78WdALtQw, 6495571]
[paragraph, [37.0, 75.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [37.0, 93.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [37.0, 111.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [37.0, 129.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [37.0, 147.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [37.0, 165.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [37.0, 183.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [37.0, 201.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [37.0, 219.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [37.0, 237.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [37.0, 255.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [37.0, 273.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [37.0, 291.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [37.0, 309.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [37.0, 327.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [37.0, 345.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [37.0, 363.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [37.0, 381.0, 319.0, 18.0], FGInN1Bewv, 6495571]
[paragraph, [36.0, 410.0, 319.0, 18.0], _gsJPhGnXe, 6495571]
[paragraph, [36.0, 428.0, 319.0, 18.0], _gsJPhGnXe, 6495571]
[paragraph, [36.0, 446.0, 319.0, 18.0], _gsJPhGnXe, 6495571]
[paragraph, [36.0, 464.0, 319.0, 18.0], _gsJPhGnXe, 6495571]
[paragraph, [36.0, 482.0, 319.0, 18.0], _gsJPhGnXe, 6495571]
