[1650, 934]
[folio, [321.0, 102.0, 262.0, 36.0], shoonya_1sVCCU6K9LCG15, 5765780]
[paragraph, [53.0, 163.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 199.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 235.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 271.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 307.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 343.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 379.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 415.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 451.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 487.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 523.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 559.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 595.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 631.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 667.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 703.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 739.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 775.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 811.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 847.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 883.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 919.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 955.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 991.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 1027.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 1063.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 1099.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 1135.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 1171.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 1207.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 1243.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 1279.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 1315.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 1351.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 1387.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 1423.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
[paragraph, [53.0, 1459.0, 790.0, 36.0], shoonya_0sAW60K0WE2GU6, 5765780]
