[1571, 1128]
[headline, [100.0, 179.0, 592.0, 37.5], shoonya_10s0UCUHX64UVY, 6472525]
[headline, [100.0, 216.5, 592.0, 37.5], shoonya_10s0UCUHX64UVY, 6472525]
[sub-headline, [724.0, 184.0, 248.0, 36.0], N3EsYmXTax, 6472525]
[sub-headline, [724.0, 220.0, 248.0, 36.0], N3EsYmXTax, 6472525]
[paragraph, [724.0, 294.0, 231.0, 36.0], BaBzfR2Lw7, 6472525]
[paragraph, [724.0, 330.0, 231.0, 36.0], BaBzfR2Lw7, 6472525]
[paragraph, [724.0, 366.0, 231.0, 36.0], BaBzfR2Lw7, 6472525]
[paragraph, [724.0, 402.0, 231.0, 36.0], BaBzfR2Lw7, 6472525]
[paragraph, [724.0, 471.0, 235.0, 36.0], oak74lMRbs, 6472525]
[paragraph, [724.0, 507.0, 235.0, 36.0], oak74lMRbs, 6472525]
[paragraph, [724.0, 543.0, 235.0, 36.0], oak74lMRbs, 6472525]
[paragraph, [724.0, 579.0, 235.0, 36.0], oak74lMRbs, 6472525]
[paragraph, [724.0, 615.0, 235.0, 36.0], oak74lMRbs, 6472525]
[paragraph, [724.0, 651.0, 235.0, 36.0], oak74lMRbs, 6472525]
[paragraph, [724.0, 687.0, 235.0, 36.0], oak74lMRbs, 6472525]
[paragraph, [724.0, 723.0, 235.0, 36.0], oak74lMRbs, 6472525]
[paragraph, [724.0, 759.0, 235.0, 36.0], oak74lMRbs, 6472525]
[paragraph, [97.0, 679.0, 289.0, 36.0], Y-eBHwifav, 6472525]
[paragraph, [97.0, 715.0, 289.0, 36.0], Y-eBHwifav, 6472525]
[paragraph, [97.0, 751.0, 289.0, 36.0], Y-eBHwifav, 6472525]
[paragraph, [97.0, 787.0, 289.0, 36.0], Y-eBHwifav, 6472525]
[paragraph, [401.0, 679.0, 289.0, 36.0], 05IT7Sh9gr, 6472525]
[paragraph, [401.0, 715.0, 289.0, 36.0], 05IT7Sh9gr, 6472525]
[paragraph, [404.0, 782.0, 289.0, 36.0], Ju95iagM6z, 6472525]
[paragraph, [404.0, 818.0, 289.0, 36.0], Ju95iagM6z, 6472525]
[paragraph, [404.0, 854.0, 289.0, 36.0], Ju95iagM6z, 6472525]
[paragraph, [404.0, 890.0, 289.0, 36.0], Ju95iagM6z, 6472525]
[paragraph, [404.0, 926.0, 289.0, 36.0], Ju95iagM6z, 6472525]
[paragraph, [404.0, 962.0, 289.0, 36.0], Ju95iagM6z, 6472525]
[paragraph, [404.0, 998.0, 289.0, 36.0], Ju95iagM6z, 6472525]
[paragraph, [404.0, 1034.0, 289.0, 36.0], Ju95iagM6z, 6472525]
[paragraph, [727.0, 823.0, 241.0, 36.0], q0cTawFAYO, 6472525]
[paragraph, [727.0, 859.0, 241.0, 36.0], q0cTawFAYO, 6472525]
[paragraph, [727.0, 895.0, 241.0, 36.0], q0cTawFAYO, 6472525]
[paragraph, [727.0, 931.0, 241.0, 36.0], q0cTawFAYO, 6472525]
[paragraph, [727.0, 967.0, 241.0, 36.0], q0cTawFAYO, 6472525]
[paragraph, [727.0, 1003.0, 241.0, 36.0], q0cTawFAYO, 6472525]
[paragraph, [98.0, 856.0, 290.0, 36.0], 2xRR7nGUEa, 6472525]
[paragraph, [98.0, 892.0, 290.0, 36.0], 2xRR7nGUEa, 6472525]
[paragraph, [98.0, 928.0, 290.0, 36.0], 2xRR7nGUEa, 6472525]
[paragraph, [98.0, 964.0, 290.0, 36.0], 2xRR7nGUEa, 6472525]
[paragraph, [98.0, 1000.0, 290.0, 36.0], 2xRR7nGUEa, 6472525]
[paragraph, [98.0, 1036.0, 290.0, 36.0], 2xRR7nGUEa, 6472525]
[paragraph, [728.0, 1046.0, 236.0, 36.0], q9S3x-t5ml, 6472525]
[paragraph, [728.0, 1082.0, 236.0, 36.0], q9S3x-t5ml, 6472525]
[paragraph, [728.0, 1118.0, 236.0, 36.0], q9S3x-t5ml, 6472525]
[paragraph, [728.0, 1154.0, 236.0, 36.0], q9S3x-t5ml, 6472525]
[paragraph, [728.0, 1190.0, 236.0, 36.0], q9S3x-t5ml, 6472525]
[paragraph, [728.0, 1226.0, 236.0, 36.0], q9S3x-t5ml, 6472525]
[paragraph, [728.0, 1262.0, 236.0, 36.0], q9S3x-t5ml, 6472525]
[paragraph, [728.0, 1298.0, 236.0, 36.0], q9S3x-t5ml, 6472525]
[paragraph, [728.0, 1334.0, 236.0, 36.0], q9S3x-t5ml, 6472525]
