[2339, 1653]
[ordered-list, [342.0, 241.0, 716.0, 36.0], LJSZnKtXkd, 5687348]
[ordered-list, [342.0, 277.0, 716.0, 36.0], LJSZnKtXkd, 5687348]
[ordered-list, [342.0, 313.0, 716.0, 36.0], LJSZnKtXkd, 5687348]
[paragraph, [250.0, 370.0, 1155.0, 36.0], shoonya_3s2WWKLZQF9E1A, 5687348]
[paragraph, [250.0, 406.0, 1155.0, 36.0], shoonya_3s2WWKLZQF9E1A, 5687348]
[paragraph, [250.0, 442.0, 1155.0, 36.0], shoonya_3s2WWKLZQF9E1A, 5687348]
[paragraph, [250.0, 478.0, 1155.0, 36.0], shoonya_3s2WWKLZQF9E1A, 5687348]
[paragraph, [250.0, 514.0, 1155.0, 36.0], shoonya_3s2WWKLZQF9E1A, 5687348]
[paragraph, [861.0, 586.0, 543.0, 36.0], TTmnv8rw9M, 5687348]
[paragraph, [243.0, 652.0, 1165.0, 36.0], PO2zmqqrPb, 5687348]
[paragraph, [243.0, 688.0, 1165.0, 36.0], PO2zmqqrPb, 5687348]
[paragraph, [243.0, 724.0, 1165.0, 36.0], PO2zmqqrPb, 5687348]
[paragraph, [243.0, 760.0, 1165.0, 36.0], PO2zmqqrPb, 5687348]
[paragraph, [243.0, 796.0, 1165.0, 36.0], PO2zmqqrPb, 5687348]
[paragraph, [252.0, 860.0, 1152.0, 36.0], shoonya_1sRTHK8PO7AYNX, 5687348]
[paragraph, [252.0, 896.0, 1152.0, 36.0], shoonya_1sRTHK8PO7AYNX, 5687348]
[paragraph, [252.0, 932.0, 1152.0, 36.0], shoonya_1sRTHK8PO7AYNX, 5687348]
[paragraph, [252.0, 968.0, 1152.0, 36.0], shoonya_1sRTHK8PO7AYNX, 5687348]
[paragraph, [252.0, 1004.0, 1152.0, 36.0], shoonya_1sRTHK8PO7AYNX, 5687348]
[paragraph, [252.0, 1040.0, 1152.0, 36.0], shoonya_1sRTHK8PO7AYNX, 5687348]
[paragraph, [252.0, 1076.0, 1152.0, 36.0], shoonya_1sRTHK8PO7AYNX, 5687348]
[paragraph, [246.0, 1136.0, 1157.0, 36.0], shoonya_2sHAIGUE4UH8J0, 5687348]
[paragraph, [246.0, 1172.0, 1157.0, 36.0], shoonya_2sHAIGUE4UH8J0, 5687348]
[paragraph, [246.0, 1208.0, 1157.0, 36.0], shoonya_2sHAIGUE4UH8J0, 5687348]
[paragraph, [246.0, 1244.0, 1157.0, 36.0], shoonya_2sHAIGUE4UH8J0, 5687348]
[paragraph, [246.0, 1280.0, 1157.0, 36.0], shoonya_2sHAIGUE4UH8J0, 5687348]
[paragraph, [246.0, 1316.0, 1157.0, 36.0], shoonya_2sHAIGUE4UH8J0, 5687348]
[paragraph, [246.0, 1352.0, 1157.0, 36.0], shoonya_2sHAIGUE4UH8J0, 5687348]
[paragraph, [246.0, 1388.0, 1157.0, 36.0], shoonya_2sHAIGUE4UH8J0, 5687348]
[paragraph, [246.0, 1424.0, 1157.0, 36.0], shoonya_2sHAIGUE4UH8J0, 5687348]
[paragraph, [246.0, 1460.0, 1157.0, 36.0], shoonya_2sHAIGUE4UH8J0, 5687348]
[paragraph, [246.0, 1496.0, 1157.0, 36.0], shoonya_2sHAIGUE4UH8J0, 5687348]
[paragraph, [246.0, 1532.0, 1157.0, 36.0], shoonya_2sHAIGUE4UH8J0, 5687348]
[paragraph, [246.0, 1568.0, 1157.0, 36.0], shoonya_2sHAIGUE4UH8J0, 5687348]
[paragraph, [246.0, 1604.0, 1157.0, 36.0], shoonya_2sHAIGUE4UH8J0, 5687348]
[paragraph, [246.0, 1640.0, 1157.0, 36.0], shoonya_2sHAIGUE4UH8J0, 5687348]
[paragraph, [247.0, 1694.0, 937.0, 36.0], shoonya_4sT19V7KCE5YJD, 5687348]
[reference, [1192.0, 1700.0, 115.0, 36.0], R4sVoNsqzP, 5687348]
[paragraph, [690.0, 1764.0, 712.0, 36.0], X40KrUZZP0, 5687348]
[paragraph, [245.0, 1832.0, 1161.0, 36.0], jFnYG9UE1g, 5687348]
[paragraph, [245.0, 1868.0, 1161.0, 36.0], jFnYG9UE1g, 5687348]
[paragraph, [245.0, 1904.0, 1161.0, 36.0], jFnYG9UE1g, 5687348]
[paragraph, [245.0, 1940.0, 1161.0, 36.0], jFnYG9UE1g, 5687348]
[paragraph, [245.0, 1976.0, 1161.0, 36.0], jFnYG9UE1g, 5687348]
[paragraph, [245.0, 2012.0, 1161.0, 36.0], jFnYG9UE1g, 5687348]
[paragraph, [245.0, 2048.0, 1161.0, 36.0], jFnYG9UE1g, 5687348]
