[1565, 1152]
[paragraph, [107.0, 117.0, 308.0, 36.0], shoonya_8sS65UK0HJRKJ2, 5712704]
[paragraph, [107.0, 153.0, 308.0, 36.0], shoonya_8sS65UK0HJRKJ2, 5712704]
[paragraph, [107.0, 189.0, 308.0, 36.0], shoonya_8sS65UK0HJRKJ2, 5712704]
[paragraph, [107.0, 225.0, 308.0, 36.0], shoonya_8sS65UK0HJRKJ2, 5712704]
[paragraph, [724.0, 118.0, 286.0, 36.0], shoonya_3sR9JB4XKSD1HM, 5712704]
[paragraph, [724.0, 154.0, 286.0, 36.0], shoonya_3sR9JB4XKSD1HM, 5712704]
[paragraph, [724.0, 190.0, 286.0, 36.0], shoonya_3sR9JB4XKSD1HM, 5712704]
[paragraph, [725.0, 262.0, 300.0, 36.0], shoonya_4sCG6RIFRV6S1B, 5712704]
[paragraph, [725.0, 298.0, 300.0, 36.0], shoonya_4sCG6RIFRV6S1B, 5712704]
[paragraph, [725.0, 334.0, 300.0, 36.0], shoonya_4sCG6RIFRV6S1B, 5712704]
[paragraph, [725.0, 370.0, 300.0, 36.0], shoonya_4sCG6RIFRV6S1B, 5712704]
[paragraph, [725.0, 406.0, 300.0, 36.0], shoonya_4sCG6RIFRV6S1B, 5712704]
[paragraph, [725.0, 442.0, 300.0, 36.0], shoonya_4sCG6RIFRV6S1B, 5712704]
[paragraph, [725.0, 478.0, 300.0, 36.0], shoonya_4sCG6RIFRV6S1B, 5712704]
[paragraph, [725.0, 514.0, 300.0, 36.0], shoonya_4sCG6RIFRV6S1B, 5712704]
[paragraph, [725.0, 550.0, 300.0, 36.0], shoonya_4sCG6RIFRV6S1B, 5712704]
[paragraph, [725.0, 586.0, 300.0, 36.0], shoonya_4sCG6RIFRV6S1B, 5712704]
[paragraph, [725.0, 622.0, 300.0, 36.0], shoonya_4sCG6RIFRV6S1B, 5712704]
[paragraph, [109.0, 290.0, 305.0, 36.0], shoonya_0sJS3Z43SWUVR6, 5712704]
[paragraph, [109.0, 326.0, 305.0, 36.0], shoonya_0sJS3Z43SWUVR6, 5712704]
[paragraph, [109.0, 362.0, 305.0, 36.0], shoonya_0sJS3Z43SWUVR6, 5712704]
[paragraph, [109.0, 398.0, 305.0, 36.0], shoonya_0sJS3Z43SWUVR6, 5712704]
[paragraph, [109.0, 434.0, 305.0, 36.0], shoonya_0sJS3Z43SWUVR6, 5712704]
[paragraph, [109.0, 470.0, 305.0, 36.0], shoonya_0sJS3Z43SWUVR6, 5712704]
[paragraph, [109.0, 506.0, 305.0, 36.0], shoonya_0sJS3Z43SWUVR6, 5712704]
[paragraph, [109.0, 542.0, 305.0, 36.0], shoonya_0sJS3Z43SWUVR6, 5712704]
[paragraph, [109.0, 578.0, 305.0, 36.0], shoonya_0sJS3Z43SWUVR6, 5712704]
[paragraph, [109.0, 614.0, 305.0, 36.0], shoonya_0sJS3Z43SWUVR6, 5712704]
[paragraph, [419.0, 642.0, 298.0, 36.0], shoonya_2sB4FRXIRNWCXZ, 5712704]
[paragraph, [419.0, 678.0, 298.0, 36.0], shoonya_2sB4FRXIRNWCXZ, 5712704]
[paragraph, [103.0, 662.0, 308.0, 36.0], shoonya_1sSEHU5E5LFL7D, 5712704]
[paragraph, [103.0, 698.0, 308.0, 36.0], shoonya_1sSEHU5E5LFL7D, 5712704]
[paragraph, [103.0, 734.0, 308.0, 36.0], shoonya_1sSEHU5E5LFL7D, 5712704]
[paragraph, [103.0, 770.0, 308.0, 36.0], shoonya_1sSEHU5E5LFL7D, 5712704]
[paragraph, [103.0, 806.0, 308.0, 36.0], shoonya_1sSEHU5E5LFL7D, 5712704]
[paragraph, [103.0, 842.0, 308.0, 36.0], shoonya_1sSEHU5E5LFL7D, 5712704]
[paragraph, [103.0, 878.0, 308.0, 36.0], shoonya_1sSEHU5E5LFL7D, 5712704]
[paragraph, [103.0, 914.0, 308.0, 36.0], shoonya_1sSEHU5E5LFL7D, 5712704]
[paragraph, [103.0, 950.0, 308.0, 36.0], shoonya_1sSEHU5E5LFL7D, 5712704]
[paragraph, [103.0, 986.0, 308.0, 36.0], shoonya_1sSEHU5E5LFL7D, 5712704]
[paragraph, [103.0, 1022.0, 308.0, 36.0], shoonya_1sSEHU5E5LFL7D, 5712704]
[paragraph, [103.0, 1058.0, 308.0, 36.0], shoonya_1sSEHU5E5LFL7D, 5712704]
[paragraph, [103.0, 1094.0, 308.0, 36.0], shoonya_1sSEHU5E5LFL7D, 5712704]
[paragraph, [103.0, 1130.0, 308.0, 36.0], shoonya_1sSEHU5E5LFL7D, 5712704]
[paragraph, [726.0, 684.0, 306.0, 36.0], shoonya_12s0A0BTDT7NYO, 5712704]
[paragraph, [726.0, 720.0, 306.0, 36.0], shoonya_12s0A0BTDT7NYO, 5712704]
[paragraph, [726.0, 756.0, 306.0, 36.0], shoonya_12s0A0BTDT7NYO, 5712704]
[paragraph, [726.0, 792.0, 306.0, 36.0], shoonya_12s0A0BTDT7NYO, 5712704]
[paragraph, [726.0, 828.0, 306.0, 36.0], shoonya_12s0A0BTDT7NYO, 5712704]
[paragraph, [726.0, 864.0, 306.0, 36.0], shoonya_12s0A0BTDT7NYO, 5712704]
[paragraph, [726.0, 900.0, 306.0, 36.0], shoonya_12s0A0BTDT7NYO, 5712704]
[paragraph, [415.0, 733.0, 312.0, 36.0], shoonya_6sK6DHR3S4G2Q8, 5712704]
[paragraph, [415.0, 769.0, 312.0, 36.0], shoonya_6sK6DHR3S4G2Q8, 5712704]
[paragraph, [415.0, 805.0, 312.0, 36.0], shoonya_6sK6DHR3S4G2Q8, 5712704]
[paragraph, [415.0, 841.0, 312.0, 36.0], shoonya_6sK6DHR3S4G2Q8, 5712704]
[paragraph, [415.0, 877.0, 312.0, 36.0], shoonya_6sK6DHR3S4G2Q8, 5712704]
[paragraph, [415.0, 913.0, 312.0, 36.0], shoonya_6sK6DHR3S4G2Q8, 5712704]
