[700, 484]
[section-title, [161.0, 47.0, 168.0, 30.0], Op7CcjGbJa, 6463596]
[section-title, [161.0, 77.0, 168.0, 30.0], Op7CcjGbJa, 6463596]
[sub-section-title, [149.0, 126.0, 183.0, 25.5], DBzp4dsO5v, 6463596]
[ordered-list, [47.0, 158.0, 383.0, 18.0], eVPgInJ521, 6463596]
[ordered-list, [47.0, 176.0, 383.0, 18.0], eVPgInJ521, 6463596]
[ordered-list, [47.0, 194.0, 383.0, 18.0], eVPgInJ521, 6463596]
[ordered-list, [47.0, 212.0, 383.0, 18.0], eVPgInJ521, 6463596]
[ordered-list, [47.0, 230.0, 383.0, 18.0], eVPgInJ521, 6463596]
[ordered-list, [47.0, 248.0, 383.0, 18.0], eVPgInJ521, 6463596]
[ordered-list, [47.0, 266.0, 383.0, 18.0], eVPgInJ521, 6463596]
[ordered-list, [47.0, 284.0, 383.0, 18.0], eVPgInJ521, 6463596]
[ordered-list, [47.0, 302.0, 383.0, 18.0], eVPgInJ521, 6463596]
[ordered-list, [46.0, 358.0, 394.0, 18.0], vjDvvfukrV, 6463596]
[ordered-list, [46.0, 376.0, 394.0, 18.0], vjDvvfukrV, 6463596]
[ordered-list, [46.0, 394.0, 394.0, 18.0], vjDvvfukrV, 6463596]
[ordered-list, [46.0, 412.0, 394.0, 18.0], vjDvvfukrV, 6463596]
[ordered-list, [46.0, 430.0, 394.0, 18.0], vjDvvfukrV, 6463596]
[ordered-list, [46.0, 448.0, 394.0, 18.0], vjDvvfukrV, 6463596]
[ordered-list, [46.0, 466.0, 394.0, 18.0], vjDvvfukrV, 6463596]
[ordered-list, [46.0, 484.0, 394.0, 18.0], vjDvvfukrV, 6463596]
[ordered-list, [46.0, 502.0, 394.0, 18.0], vjDvvfukrV, 6463596]
[ordered-list, [46.0, 520.0, 394.0, 18.0], vjDvvfukrV, 6463596]
[ordered-list, [46.0, 538.0, 394.0, 18.0], vjDvvfukrV, 6463596]
[ordered-list, [46.0, 556.0, 394.0, 18.0], vjDvvfukrV, 6463596]
[ordered-list, [46.0, 574.0, 394.0, 18.0], vjDvvfukrV, 6463596]
[ordered-list, [46.0, 592.0, 394.0, 18.0], vjDvvfukrV, 6463596]
[ordered-list, [46.0, 610.0, 394.0, 18.0], vjDvvfukrV, 6463596]
