[1109, 788]
[paragraph, [106.0, 73.0, 632.0, 18.0], shoonya_0s2MBAR587MPOX, 5776731]
[paragraph, [106.0, 91.0, 632.0, 18.0], shoonya_0s2MBAR587MPOX, 5776731]
[paragraph, [106.0, 109.0, 632.0, 18.0], shoonya_0s2MBAR587MPOX, 5776731]
[paragraph, [106.0, 127.0, 632.0, 18.0], shoonya_0s2MBAR587MPOX, 5776731]
[paragraph, [106.0, 145.0, 632.0, 18.0], shoonya_0s2MBAR587MPOX, 5776731]
[paragraph, [106.0, 163.0, 632.0, 18.0], shoonya_0s2MBAR587MPOX, 5776731]
[paragraph, [106.0, 181.0, 632.0, 18.0], shoonya_0s2MBAR587MPOX, 5776731]
[paragraph, [106.0, 199.0, 632.0, 18.0], shoonya_0s2MBAR587MPOX, 5776731]
[paragraph, [106.0, 217.0, 632.0, 18.0], shoonya_0s2MBAR587MPOX, 5776731]
[paragraph, [106.0, 235.0, 632.0, 18.0], shoonya_0s2MBAR587MPOX, 5776731]
[paragraph, [106.0, 253.0, 632.0, 18.0], shoonya_0s2MBAR587MPOX, 5776731]
[paragraph, [106.0, 271.0, 632.0, 18.0], shoonya_0s2MBAR587MPOX, 5776731]
[paragraph, [106.0, 289.0, 632.0, 18.0], shoonya_0s2MBAR587MPOX, 5776731]
[paragraph, [106.0, 307.0, 632.0, 18.0], shoonya_0s2MBAR587MPOX, 5776731]
[paragraph, [106.0, 325.0, 632.0, 18.0], shoonya_0s2MBAR587MPOX, 5776731]
[paragraph, [106.0, 343.0, 632.0, 18.0], shoonya_0s2MBAR587MPOX, 5776731]
[paragraph, [109.0, 371.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 389.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 407.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 425.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 443.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 461.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 479.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 497.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 515.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 533.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 551.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 569.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 587.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 605.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 623.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 641.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 659.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 677.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 695.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 713.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 731.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 749.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 767.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 785.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 803.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 821.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 839.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 857.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 875.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 893.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [109.0, 911.0, 632.0, 18.0], shoonya_2sCR190ISV6D39, 5776731]
[paragraph, [111.0, 925.0, 629.0, 18.0], shoonya_1sRZMLYX69GXQ4, 5776731]
[paragraph, [111.0, 943.0, 629.0, 18.0], shoonya_1sRZMLYX69GXQ4, 5776731]
[paragraph, [111.0, 961.0, 629.0, 18.0], shoonya_1sRZMLYX69GXQ4, 5776731]
[paragraph, [111.0, 979.0, 629.0, 18.0], shoonya_1sRZMLYX69GXQ4, 5776731]
[paragraph, [111.0, 997.0, 629.0, 18.0], shoonya_1sRZMLYX69GXQ4, 5776731]
[paragraph, [111.0, 1015.0, 629.0, 18.0], shoonya_1sRZMLYX69GXQ4, 5776731]
[paragraph, [111.0, 1033.0, 629.0, 18.0], shoonya_1sRZMLYX69GXQ4, 5776731]
[paragraph, [111.0, 1051.0, 629.0, 18.0], shoonya_1sRZMLYX69GXQ4, 5776731]
