[842, 595]
[paragraph, [109.0, 52.0, 408.0, 18.0], Y-gj5GtGxM, 6460755]
[paragraph, [109.0, 70.0, 408.0, 18.0], Y-gj5GtGxM, 6460755]
[paragraph, [109.0, 88.0, 408.0, 18.0], Y-gj5GtGxM, 6460755]
[paragraph, [109.0, 106.0, 408.0, 18.0], Y-gj5GtGxM, 6460755]
[paragraph, [109.0, 124.0, 408.0, 18.0], Y-gj5GtGxM, 6460755]
[paragraph, [109.0, 142.0, 408.0, 18.0], Y-gj5GtGxM, 6460755]
[paragraph, [109.0, 160.0, 408.0, 18.0], Y-gj5GtGxM, 6460755]
[paragraph, [107.0, 169.0, 409.0, 18.0], 6z0iQ0mY03, 6460755]
[paragraph, [107.0, 187.0, 409.0, 18.0], 6z0iQ0mY03, 6460755]
[paragraph, [107.0, 205.0, 409.0, 18.0], 6z0iQ0mY03, 6460755]
[paragraph, [107.0, 223.0, 409.0, 18.0], 6z0iQ0mY03, 6460755]
[paragraph, [107.0, 241.0, 409.0, 18.0], 6z0iQ0mY03, 6460755]
[paragraph, [102.0, 268.0, 415.0, 18.0], Qs3Twrjvzs, 6460755]
[paragraph, [102.0, 286.0, 415.0, 18.0], Qs3Twrjvzs, 6460755]
[paragraph, [102.0, 304.0, 415.0, 18.0], Qs3Twrjvzs, 6460755]
[paragraph, [102.0, 322.0, 415.0, 18.0], Qs3Twrjvzs, 6460755]
[paragraph, [94.0, 346.0, 422.0, 18.0], 5OxQoLNjzA, 6460755]
[paragraph, [94.0, 364.0, 422.0, 18.0], 5OxQoLNjzA, 6460755]
[paragraph, [94.0, 382.0, 422.0, 18.0], 5OxQoLNjzA, 6460755]
[paragraph, [94.0, 400.0, 422.0, 18.0], 5OxQoLNjzA, 6460755]
[paragraph, [94.0, 431.0, 424.0, 18.0], LKqSlUMpgq, 6460755]
[paragraph, [94.0, 449.0, 424.0, 18.0], LKqSlUMpgq, 6460755]
[paragraph, [91.0, 478.0, 426.0, 18.0], 75m40_hXzL, 6460755]
[paragraph, [91.0, 496.0, 426.0, 18.0], 75m40_hXzL, 6460755]
[paragraph, [91.0, 514.0, 426.0, 18.0], 75m40_hXzL, 6460755]
[paragraph, [91.0, 532.0, 426.0, 18.0], 75m40_hXzL, 6460755]
[paragraph, [85.0, 545.0, 433.0, 18.0], 2FLZNHPZr3, 6460755]
[paragraph, [85.0, 563.0, 433.0, 18.0], 2FLZNHPZr3, 6460755]
[paragraph, [85.0, 581.0, 433.0, 18.0], 2FLZNHPZr3, 6460755]
[paragraph, [85.0, 599.0, 433.0, 18.0], 2FLZNHPZr3, 6460755]
[paragraph, [85.0, 617.0, 433.0, 18.0], 2FLZNHPZr3, 6460755]
[paragraph, [85.0, 635.0, 433.0, 18.0], 2FLZNHPZr3, 6460755]
[paragraph, [85.0, 653.0, 433.0, 18.0], 2FLZNHPZr3, 6460755]
[paragraph, [85.0, 671.0, 433.0, 18.0], 2FLZNHPZr3, 6460755]
[paragraph, [85.0, 689.0, 433.0, 18.0], 2FLZNHPZr3, 6460755]
[folio, [503.0, 811.0, 79.0, 18.0], YbMZ9tUyUe, 6460755]
