[2339, 1653]
[paragraph, [123.0, 157.0, 1406.0, 36.0], shoonya_1sAONVE4IB8PA2, 5750428]
[paragraph, [123.0, 193.0, 1406.0, 36.0], shoonya_1sAONVE4IB8PA2, 5750428]
[paragraph, [123.0, 229.0, 1406.0, 36.0], shoonya_1sAONVE4IB8PA2, 5750428]
[paragraph, [123.0, 265.0, 1406.0, 36.0], shoonya_1sAONVE4IB8PA2, 5750428]
[paragraph, [123.0, 301.0, 1406.0, 36.0], shoonya_1sAONVE4IB8PA2, 5750428]
[paragraph, [123.0, 337.0, 1406.0, 36.0], shoonya_1sAONVE4IB8PA2, 5750428]
[paragraph, [123.0, 373.0, 1406.0, 36.0], shoonya_1sAONVE4IB8PA2, 5750428]
[paragraph, [105.0, 608.0, 1433.0, 36.0], RAjPoxy8xB, 5750428]
[paragraph, [105.0, 644.0, 1433.0, 36.0], RAjPoxy8xB, 5750428]
[paragraph, [105.0, 680.0, 1433.0, 36.0], RAjPoxy8xB, 5750428]
[paragraph, [105.0, 716.0, 1433.0, 36.0], RAjPoxy8xB, 5750428]
[paragraph, [105.0, 752.0, 1433.0, 36.0], RAjPoxy8xB, 5750428]
[paragraph, [105.0, 788.0, 1433.0, 36.0], RAjPoxy8xB, 5750428]
[paragraph, [105.0, 824.0, 1433.0, 36.0], RAjPoxy8xB, 5750428]
[paragraph, [105.0, 860.0, 1433.0, 36.0], RAjPoxy8xB, 5750428]
[paragraph, [105.0, 896.0, 1433.0, 36.0], RAjPoxy8xB, 5750428]
[paragraph, [105.0, 932.0, 1433.0, 36.0], RAjPoxy8xB, 5750428]
[paragraph, [105.0, 968.0, 1433.0, 36.0], RAjPoxy8xB, 5750428]
[paragraph, [105.0, 1004.0, 1433.0, 36.0], RAjPoxy8xB, 5750428]
[paragraph, [105.0, 1040.0, 1433.0, 36.0], RAjPoxy8xB, 5750428]
[paragraph, [105.0, 1076.0, 1433.0, 36.0], RAjPoxy8xB, 5750428]
[paragraph, [105.0, 1112.0, 1433.0, 36.0], RAjPoxy8xB, 5750428]
[paragraph, [105.0, 1148.0, 1433.0, 36.0], RAjPoxy8xB, 5750428]
[paragraph, [112.0, 1182.0, 1432.0, 36.0], shoonya_2sS3MULZVCAXG7, 5750428]
[paragraph, [112.0, 1218.0, 1432.0, 36.0], shoonya_2sS3MULZVCAXG7, 5750428]
[paragraph, [112.0, 1254.0, 1432.0, 36.0], shoonya_2sS3MULZVCAXG7, 5750428]
[paragraph, [112.0, 1290.0, 1432.0, 36.0], shoonya_2sS3MULZVCAXG7, 5750428]
[paragraph, [112.0, 1326.0, 1432.0, 36.0], shoonya_2sS3MULZVCAXG7, 5750428]
[paragraph, [112.0, 1362.0, 1432.0, 36.0], shoonya_2sS3MULZVCAXG7, 5750428]
[paragraph, [112.0, 1398.0, 1432.0, 36.0], shoonya_2sS3MULZVCAXG7, 5750428]
[paragraph, [112.0, 1434.0, 1432.0, 36.0], shoonya_2sS3MULZVCAXG7, 5750428]
[paragraph, [112.0, 1470.0, 1432.0, 36.0], shoonya_2sS3MULZVCAXG7, 5750428]
[paragraph, [112.0, 1506.0, 1432.0, 36.0], shoonya_2sS3MULZVCAXG7, 5750428]
[paragraph, [112.0, 1542.0, 1432.0, 36.0], shoonya_2sS3MULZVCAXG7, 5750428]
[paragraph, [112.0, 1578.0, 1432.0, 36.0], shoonya_2sS3MULZVCAXG7, 5750428]
[paragraph, [112.0, 1614.0, 1432.0, 36.0], shoonya_2sS3MULZVCAXG7, 5750428]
[paragraph, [111.0, 1658.0, 1435.0, 36.0], AFdqO8vc9c, 5750428]
[paragraph, [111.0, 1694.0, 1435.0, 36.0], AFdqO8vc9c, 5750428]
[paragraph, [111.0, 1730.0, 1435.0, 36.0], AFdqO8vc9c, 5750428]
[paragraph, [111.0, 1766.0, 1435.0, 36.0], AFdqO8vc9c, 5750428]
[paragraph, [111.0, 1802.0, 1435.0, 36.0], AFdqO8vc9c, 5750428]
[paragraph, [111.0, 1838.0, 1435.0, 36.0], AFdqO8vc9c, 5750428]
[paragraph, [111.0, 1874.0, 1435.0, 36.0], AFdqO8vc9c, 5750428]
[paragraph, [111.0, 1910.0, 1435.0, 36.0], AFdqO8vc9c, 5750428]
[paragraph, [111.0, 1946.0, 1435.0, 36.0], AFdqO8vc9c, 5750428]
[paragraph, [111.0, 1982.0, 1435.0, 36.0], AFdqO8vc9c, 5750428]
[paragraph, [111.0, 2018.0, 1435.0, 36.0], AFdqO8vc9c, 5750428]
[paragraph, [111.0, 2054.0, 1435.0, 36.0], AFdqO8vc9c, 5750428]
[paragraph, [111.0, 2090.0, 1435.0, 36.0], AFdqO8vc9c, 5750428]
