[2339, 1653]
[folio, [289.0, 208.0, 188.0, 36.0], icHA4kuiJ3, 5654984]
[paragraph, [286.0, 310.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 346.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 382.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 418.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 454.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 490.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 526.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 562.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 598.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 634.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 670.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 706.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 742.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 778.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 814.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 850.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 886.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 922.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [286.0, 958.0, 1077.0, 36.0], shoonya_2s40OZIGU8RZ1J, 5654984]
[paragraph, [285.0, 1028.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [285.0, 1064.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [285.0, 1100.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [285.0, 1136.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [285.0, 1172.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [285.0, 1208.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [285.0, 1244.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [285.0, 1280.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [285.0, 1316.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [285.0, 1352.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [285.0, 1388.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [285.0, 1424.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [285.0, 1460.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [285.0, 1496.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [285.0, 1532.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [285.0, 1568.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [285.0, 1604.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [285.0, 1640.0, 1081.0, 36.0], shoonya_0sA04NFEH6HBK7, 5654984]
[paragraph, [286.0, 1738.0, 1082.0, 36.0], shoonya_1sVA8U84HWK10I, 5654984]
[paragraph, [286.0, 1774.0, 1082.0, 36.0], shoonya_1sVA8U84HWK10I, 5654984]
[paragraph, [286.0, 1810.0, 1082.0, 36.0], shoonya_1sVA8U84HWK10I, 5654984]
[paragraph, [286.0, 1846.0, 1082.0, 36.0], shoonya_1sVA8U84HWK10I, 5654984]
[paragraph, [286.0, 1882.0, 1082.0, 36.0], shoonya_1sVA8U84HWK10I, 5654984]
[paragraph, [286.0, 1918.0, 1082.0, 36.0], shoonya_1sVA8U84HWK10I, 5654984]
[paragraph, [286.0, 1954.0, 1082.0, 36.0], shoonya_1sVA8U84HWK10I, 5654984]
[paragraph, [286.0, 1990.0, 1082.0, 36.0], shoonya_1sVA8U84HWK10I, 5654984]
[paragraph, [286.0, 2026.0, 1082.0, 36.0], shoonya_1sVA8U84HWK10I, 5654984]
