[2330, 1692]
[paragraph, [366.0, 183.0, 1194.0, 36.0], shoonya_1sL8ZS8ZRCY2H3, 5734348]
[paragraph, [366.0, 219.0, 1194.0, 36.0], shoonya_1sL8ZS8ZRCY2H3, 5734348]
[paragraph, [366.0, 255.0, 1194.0, 36.0], shoonya_1sL8ZS8ZRCY2H3, 5734348]
[paragraph, [366.0, 291.0, 1194.0, 36.0], shoonya_1sL8ZS8ZRCY2H3, 5734348]
[paragraph, [366.0, 327.0, 1194.0, 36.0], shoonya_1sL8ZS8ZRCY2H3, 5734348]
[paragraph, [366.0, 363.0, 1194.0, 36.0], shoonya_1sL8ZS8ZRCY2H3, 5734348]
[paragraph, [366.0, 399.0, 1194.0, 36.0], shoonya_1sL8ZS8ZRCY2H3, 5734348]
[paragraph, [366.0, 435.0, 1194.0, 36.0], shoonya_1sL8ZS8ZRCY2H3, 5734348]
[paragraph, [366.0, 471.0, 1194.0, 36.0], shoonya_1sL8ZS8ZRCY2H3, 5734348]
[paragraph, [366.0, 507.0, 1194.0, 36.0], shoonya_1sL8ZS8ZRCY2H3, 5734348]
[paragraph, [366.0, 543.0, 1194.0, 36.0], shoonya_1sL8ZS8ZRCY2H3, 5734348]
[paragraph, [366.0, 579.0, 1194.0, 36.0], shoonya_1sL8ZS8ZRCY2H3, 5734348]
[paragraph, [366.0, 615.0, 1194.0, 36.0], shoonya_1sL8ZS8ZRCY2H3, 5734348]
[paragraph, [362.0, 708.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 744.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 780.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 816.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 852.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 888.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 924.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 960.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 996.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 1032.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 1068.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 1104.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 1140.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 1176.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 1212.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 1248.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 1284.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 1320.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 1356.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 1392.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 1428.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 1464.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [362.0, 1500.0, 1182.0, 36.0], shoonya_0sTGD6YC52K8YM, 5734348]
[paragraph, [460.0, 1596.0, 785.0, 36.0], AD8CH1eoJw, 5734348]
[paragraph, [460.0, 1632.0, 785.0, 36.0], AD8CH1eoJw, 5734348]
[paragraph, [460.0, 1668.0, 785.0, 36.0], AD8CH1eoJw, 5734348]
[paragraph, [358.0, 1753.0, 467.0, 36.0], shoonya_3sX919HMCZA0XV, 5734348]
[paragraph, [452.0, 1837.0, 817.0, 36.0], phIGUlKCPP, 5734348]
[paragraph, [344.0, 1913.0, 574.0, 36.0], dBW5Wf_RF6, 5734348]
