[2338, 1654]
[paragraph, [376.0, 181.0, 571.0, 36.0], shoonya_5sITIAOCTF9LIS, 5753383]
[paragraph, [376.0, 217.0, 571.0, 36.0], shoonya_5sITIAOCTF9LIS, 5753383]
[paragraph, [376.0, 253.0, 571.0, 36.0], shoonya_5sITIAOCTF9LIS, 5753383]
[paragraph, [376.0, 289.0, 571.0, 36.0], shoonya_5sITIAOCTF9LIS, 5753383]
[paragraph, [376.0, 325.0, 571.0, 36.0], shoonya_5sITIAOCTF9LIS, 5753383]
[paragraph, [376.0, 361.0, 571.0, 36.0], shoonya_5sITIAOCTF9LIS, 5753383]
[paragraph, [376.0, 397.0, 571.0, 36.0], shoonya_5sITIAOCTF9LIS, 5753383]
[paragraph, [179.0, 444.0, 1303.0, 36.0], shoonya_1sLVRD9FDW88L9, 5753383]
[paragraph, [179.0, 480.0, 1303.0, 36.0], shoonya_1sLVRD9FDW88L9, 5753383]
[paragraph, [179.0, 516.0, 1303.0, 36.0], shoonya_1sLVRD9FDW88L9, 5753383]
[paragraph, [179.0, 552.0, 1303.0, 36.0], shoonya_1sLVRD9FDW88L9, 5753383]
[paragraph, [179.0, 588.0, 1303.0, 36.0], shoonya_1sLVRD9FDW88L9, 5753383]
[paragraph, [179.0, 624.0, 1303.0, 36.0], shoonya_1sLVRD9FDW88L9, 5753383]
[paragraph, [179.0, 660.0, 1303.0, 36.0], shoonya_1sLVRD9FDW88L9, 5753383]
[paragraph, [179.0, 696.0, 1303.0, 36.0], shoonya_1sLVRD9FDW88L9, 5753383]
[paragraph, [179.0, 732.0, 1303.0, 36.0], shoonya_1sLVRD9FDW88L9, 5753383]
[paragraph, [179.0, 768.0, 1303.0, 36.0], shoonya_1sLVRD9FDW88L9, 5753383]
[paragraph, [179.0, 804.0, 1303.0, 36.0], shoonya_1sLVRD9FDW88L9, 5753383]
[paragraph, [179.0, 840.0, 1303.0, 36.0], shoonya_1sLVRD9FDW88L9, 5753383]
[paragraph, [383.0, 897.0, 807.0, 36.0], shoonya_4s6G7ZLVRGIFUF, 5753383]
[paragraph, [383.0, 933.0, 807.0, 36.0], shoonya_4s6G7ZLVRGIFUF, 5753383]
[paragraph, [383.0, 969.0, 807.0, 36.0], shoonya_4s6G7ZLVRGIFUF, 5753383]
[paragraph, [383.0, 1005.0, 807.0, 36.0], shoonya_4s6G7ZLVRGIFUF, 5753383]
[paragraph, [383.0, 1041.0, 807.0, 36.0], shoonya_4s6G7ZLVRGIFUF, 5753383]
[paragraph, [383.0, 1077.0, 807.0, 36.0], shoonya_4s6G7ZLVRGIFUF, 5753383]
[paragraph, [383.0, 1113.0, 807.0, 36.0], shoonya_4s6G7ZLVRGIFUF, 5753383]
[paragraph, [383.0, 1149.0, 807.0, 36.0], shoonya_4s6G7ZLVRGIFUF, 5753383]
[paragraph, [383.0, 1185.0, 807.0, 36.0], shoonya_4s6G7ZLVRGIFUF, 5753383]
[paragraph, [383.0, 1221.0, 807.0, 36.0], shoonya_4s6G7ZLVRGIFUF, 5753383]
[paragraph, [383.0, 1257.0, 807.0, 36.0], shoonya_4s6G7ZLVRGIFUF, 5753383]
[author, [792.0, 1310.0, 626.0, 36.0], shoonya_3sR9EZSPL8KJCK, 5753383]
[paragraph, [186.0, 1358.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 1394.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 1430.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 1466.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 1502.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 1538.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 1574.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 1610.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 1646.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 1682.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 1718.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 1754.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 1790.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 1826.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 1862.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 1898.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 1934.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 1970.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 2006.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
[paragraph, [186.0, 2042.0, 1287.0, 36.0], shoonya_0sACUGQRBTY0MY, 5753383]
