[2230, 1704]
[paragraph, [91.0, 166.0, 787.0, 36.0], shoonya_0sREVOQ4XHRQ42, 5653965]
[paragraph, [91.0, 202.0, 787.0, 36.0], shoonya_0sREVOQ4XHRQ42, 5653965]
[paragraph, [91.0, 238.0, 787.0, 36.0], shoonya_0sREVOQ4XHRQ42, 5653965]
[paragraph, [91.0, 274.0, 787.0, 36.0], shoonya_0sREVOQ4XHRQ42, 5653965]
[paragraph, [91.0, 310.0, 787.0, 36.0], shoonya_0sREVOQ4XHRQ42, 5653965]
[paragraph, [91.0, 346.0, 787.0, 36.0], shoonya_0sREVOQ4XHRQ42, 5653965]
[paragraph, [91.0, 382.0, 787.0, 36.0], shoonya_0sREVOQ4XHRQ42, 5653965]
[paragraph, [91.0, 418.0, 787.0, 36.0], shoonya_0sREVOQ4XHRQ42, 5653965]
[paragraph, [91.0, 454.0, 787.0, 36.0], shoonya_0sREVOQ4XHRQ42, 5653965]
[paragraph, [91.0, 490.0, 787.0, 36.0], shoonya_0sREVOQ4XHRQ42, 5653965]
[paragraph, [916.0, 172.0, 758.0, 36.0], shoonya_6sGVRGJJVEYZ6U, 5653965]
[paragraph, [916.0, 208.0, 758.0, 36.0], shoonya_6sGVRGJJVEYZ6U, 5653965]
[paragraph, [916.0, 244.0, 758.0, 36.0], shoonya_6sGVRGJJVEYZ6U, 5653965]
[paragraph, [916.0, 280.0, 758.0, 36.0], shoonya_6sGVRGJJVEYZ6U, 5653965]
[paragraph, [916.0, 316.0, 758.0, 36.0], shoonya_6sGVRGJJVEYZ6U, 5653965]
[paragraph, [916.0, 352.0, 758.0, 36.0], shoonya_6sGVRGJJVEYZ6U, 5653965]
[paragraph, [916.0, 388.0, 758.0, 36.0], shoonya_6sGVRGJJVEYZ6U, 5653965]
[paragraph, [916.0, 424.0, 758.0, 36.0], shoonya_6sGVRGJJVEYZ6U, 5653965]
[paragraph, [916.0, 460.0, 758.0, 36.0], shoonya_6sGVRGJJVEYZ6U, 5653965]
[paragraph, [916.0, 496.0, 758.0, 36.0], shoonya_6sGVRGJJVEYZ6U, 5653965]
[paragraph, [916.0, 532.0, 758.0, 36.0], shoonya_6sGVRGJJVEYZ6U, 5653965]
[paragraph, [916.0, 568.0, 758.0, 36.0], shoonya_6sGVRGJJVEYZ6U, 5653965]
[paragraph, [916.0, 604.0, 758.0, 36.0], shoonya_6sGVRGJJVEYZ6U, 5653965]
[paragraph, [107.0, 556.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 592.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 628.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 664.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 700.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 736.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 772.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 808.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 844.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 880.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 916.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 952.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 988.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 1024.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 1060.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 1096.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 1132.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 1168.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 1204.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 1240.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 1276.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 1312.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [107.0, 1348.0, 774.0, 36.0], shoonya_1sFH8R1NJAN6MQ, 5653965]
[paragraph, [920.0, 654.0, 758.0, 36.0], shoonya_5sYONX8OS0PMXM, 5653965]
[paragraph, [920.0, 690.0, 758.0, 36.0], shoonya_5sYONX8OS0PMXM, 5653965]
[paragraph, [920.0, 726.0, 758.0, 36.0], shoonya_5sYONX8OS0PMXM, 5653965]
[paragraph, [920.0, 762.0, 758.0, 36.0], shoonya_5sYONX8OS0PMXM, 5653965]
[paragraph, [920.0, 798.0, 758.0, 36.0], shoonya_5sYONX8OS0PMXM, 5653965]
[paragraph, [920.0, 834.0, 758.0, 36.0], shoonya_5sYONX8OS0PMXM, 5653965]
[paragraph, [920.0, 870.0, 758.0, 36.0], shoonya_5sYONX8OS0PMXM, 5653965]
[paragraph, [920.0, 906.0, 758.0, 36.0], shoonya_5sYONX8OS0PMXM, 5653965]
[paragraph, [920.0, 942.0, 758.0, 36.0], shoonya_5sYONX8OS0PMXM, 5653965]
[paragraph, [920.0, 978.0, 758.0, 36.0], shoonya_5sYONX8OS0PMXM, 5653965]
[paragraph, [926.0, 1030.0, 754.0, 36.0], shoonya_4sTXL0O5YMBIRF, 5653965]
[paragraph, [926.0, 1066.0, 754.0, 36.0], shoonya_4sTXL0O5YMBIRF, 5653965]
[paragraph, [926.0, 1102.0, 754.0, 36.0], shoonya_4sTXL0O5YMBIRF, 5653965]
[paragraph, [926.0, 1138.0, 754.0, 36.0], shoonya_4sTXL0O5YMBIRF, 5653965]
[paragraph, [926.0, 1174.0, 754.0, 36.0], shoonya_4sTXL0O5YMBIRF, 5653965]
[paragraph, [926.0, 1210.0, 754.0, 36.0], shoonya_4sTXL0O5YMBIRF, 5653965]
[paragraph, [926.0, 1246.0, 754.0, 36.0], shoonya_4sTXL0O5YMBIRF, 5653965]
[paragraph, [926.0, 1282.0, 754.0, 36.0], shoonya_4sTXL0O5YMBIRF, 5653965]
[paragraph, [926.0, 1318.0, 754.0, 36.0], shoonya_4sTXL0O5YMBIRF, 5653965]
[paragraph, [926.0, 1354.0, 754.0, 36.0], shoonya_4sTXL0O5YMBIRF, 5653965]
[paragraph, [926.0, 1390.0, 754.0, 36.0], shoonya_4sTXL0O5YMBIRF, 5653965]
[paragraph, [926.0, 1426.0, 754.0, 36.0], shoonya_4sTXL0O5YMBIRF, 5653965]
[paragraph, [926.0, 1462.0, 754.0, 36.0], shoonya_4sTXL0O5YMBIRF, 5653965]
[paragraph, [926.0, 1498.0, 754.0, 36.0], shoonya_4sTXL0O5YMBIRF, 5653965]
[paragraph, [926.0, 1534.0, 754.0, 36.0], shoonya_4sTXL0O5YMBIRF, 5653965]
[paragraph, [926.0, 1570.0, 754.0, 36.0], shoonya_4sTXL0O5YMBIRF, 5653965]
[paragraph, [926.0, 1606.0, 754.0, 36.0], shoonya_4sTXL0O5YMBIRF, 5653965]
[paragraph, [119.0, 1408.0, 768.0, 36.0], shoonya_3sW2W7RG4VTYW7, 5653965]
[paragraph, [119.0, 1444.0, 768.0, 36.0], shoonya_3sW2W7RG4VTYW7, 5653965]
[paragraph, [119.0, 1480.0, 768.0, 36.0], shoonya_3sW2W7RG4VTYW7, 5653965]
