[1037, 698]
[paragraph, [92.0, 115.0, 316.0, 18.0], tp0b9kiTmR, 5772817]
[paragraph, [92.0, 133.0, 316.0, 18.0], tp0b9kiTmR, 5772817]
[paragraph, [125.0, 155.0, 272.0, 18.0], F0Ich_UN5A, 5772817]
[paragraph, [125.0, 173.0, 272.0, 18.0], F0Ich_UN5A, 5772817]
[paragraph, [92.0, 195.0, 321.0, 18.0], xDgpaF3oxe, 5772817]
[paragraph, [92.0, 213.0, 321.0, 18.0], xDgpaF3oxe, 5772817]
[paragraph, [123.0, 233.0, 303.0, 18.0], gvdpMCPcdi, 5772817]
[paragraph, [123.0, 251.0, 303.0, 18.0], gvdpMCPcdi, 5772817]
[paragraph, [96.0, 269.0, 435.0, 18.0], ZAz5FxPjZO, 5772817]
[paragraph, [96.0, 287.0, 435.0, 18.0], ZAz5FxPjZO, 5772817]
[paragraph, [89.0, 313.0, 542.0, 18.0], k0Xzv9Fk2Q, 5772817]
[paragraph, [89.0, 331.0, 542.0, 18.0], k0Xzv9Fk2Q, 5772817]
[paragraph, [89.0, 349.0, 542.0, 18.0], k0Xzv9Fk2Q, 5772817]
[paragraph, [89.0, 367.0, 542.0, 18.0], k0Xzv9Fk2Q, 5772817]
[paragraph, [89.0, 385.0, 542.0, 18.0], k0Xzv9Fk2Q, 5772817]
[paragraph, [89.0, 403.0, 542.0, 18.0], k0Xzv9Fk2Q, 5772817]
[paragraph, [92.0, 429.0, 537.0, 18.0], 7eeAIo6lsj, 5772817]
[paragraph, [92.0, 447.0, 537.0, 18.0], 7eeAIo6lsj, 5772817]
[paragraph, [92.0, 465.0, 537.0, 18.0], 7eeAIo6lsj, 5772817]
[paragraph, [128.0, 498.0, 360.0, 18.0], _1H291LRF3, 5772817]
[paragraph, [128.0, 516.0, 360.0, 18.0], _1H291LRF3, 5772817]
[paragraph, [90.0, 530.0, 296.0, 18.0], IcR-D7YVpA, 5772817]
[paragraph, [90.0, 548.0, 296.0, 18.0], IcR-D7YVpA, 5772817]
[paragraph, [122.0, 569.0, 342.0, 18.0], 35U63r7Y6r, 5772817]
[paragraph, [122.0, 587.0, 342.0, 18.0], 35U63r7Y6r, 5772817]
[section-title, [311.0, 619.0, 97.0, 30.0], L7KIqoouOo, 5772817]
[paragraph, [92.0, 660.0, 535.0, 18.0], shoonya_0sGCLKDFCCRPCR, 5772817]
[paragraph, [92.0, 678.0, 535.0, 18.0], shoonya_0sGCLKDFCCRPCR, 5772817]
[paragraph, [92.0, 696.0, 535.0, 18.0], shoonya_0sGCLKDFCCRPCR, 5772817]
[paragraph, [92.0, 714.0, 535.0, 18.0], shoonya_0sGCLKDFCCRPCR, 5772817]
[paragraph, [92.0, 732.0, 535.0, 18.0], shoonya_0sGCLKDFCCRPCR, 5772817]
[paragraph, [92.0, 750.0, 535.0, 18.0], shoonya_0sGCLKDFCCRPCR, 5772817]
[paragraph, [92.0, 768.0, 535.0, 18.0], shoonya_0sGCLKDFCCRPCR, 5772817]
[paragraph, [92.0, 786.0, 535.0, 18.0], shoonya_0sGCLKDFCCRPCR, 5772817]
[paragraph, [92.0, 804.0, 535.0, 18.0], shoonya_0sGCLKDFCCRPCR, 5772817]
[paragraph, [92.0, 822.0, 535.0, 18.0], shoonya_0sGCLKDFCCRPCR, 5772817]
[paragraph, [92.0, 846.0, 538.0, 18.0], htussmMJTd, 5772817]
[paragraph, [92.0, 864.0, 538.0, 18.0], htussmMJTd, 5772817]
[paragraph, [92.0, 882.0, 538.0, 18.0], htussmMJTd, 5772817]
[paragraph, [92.0, 900.0, 538.0, 18.0], htussmMJTd, 5772817]
[paragraph, [92.0, 918.0, 538.0, 18.0], htussmMJTd, 5772817]
[paragraph, [92.0, 936.0, 538.0, 18.0], htussmMJTd, 5772817]
