[2200, 1700]
[paragraph, [327.0, 102.0, 1077.0, 36.0], shoonya_0s2ALQDI57UDQY, 5731303]
[paragraph, [327.0, 138.0, 1077.0, 36.0], shoonya_0s2ALQDI57UDQY, 5731303]
[paragraph, [327.0, 174.0, 1077.0, 36.0], shoonya_0s2ALQDI57UDQY, 5731303]
[paragraph, [327.0, 210.0, 1077.0, 36.0], shoonya_0s2ALQDI57UDQY, 5731303]
[paragraph, [327.0, 246.0, 1077.0, 36.0], shoonya_0s2ALQDI57UDQY, 5731303]
[paragraph, [327.0, 282.0, 1077.0, 36.0], shoonya_0s2ALQDI57UDQY, 5731303]
[paragraph, [327.0, 318.0, 1077.0, 36.0], shoonya_0s2ALQDI57UDQY, 5731303]
[paragraph, [327.0, 354.0, 1077.0, 36.0], shoonya_0s2ALQDI57UDQY, 5731303]
[paragraph, [327.0, 390.0, 1077.0, 36.0], shoonya_0s2ALQDI57UDQY, 5731303]
[paragraph, [333.0, 440.0, 1074.0, 36.0], shoonya_3sR8QVCY1G9C77, 5731303]
[paragraph, [333.0, 476.0, 1074.0, 36.0], shoonya_3sR8QVCY1G9C77, 5731303]
[paragraph, [333.0, 512.0, 1074.0, 36.0], shoonya_3sR8QVCY1G9C77, 5731303]
[paragraph, [336.0, 559.0, 1080.0, 36.0], shoonya_2s3L5EOPWKAV3G, 5731303]
[paragraph, [336.0, 595.0, 1080.0, 36.0], shoonya_2s3L5EOPWKAV3G, 5731303]
[paragraph, [336.0, 631.0, 1080.0, 36.0], shoonya_2s3L5EOPWKAV3G, 5731303]
[paragraph, [336.0, 667.0, 1080.0, 36.0], shoonya_2s3L5EOPWKAV3G, 5731303]
[paragraph, [436.0, 728.0, 979.0, 36.0], shoonya_6s2EZGE439D6TR, 5731303]
[paragraph, [436.0, 764.0, 979.0, 36.0], shoonya_6s2EZGE439D6TR, 5731303]
[paragraph, [436.0, 800.0, 979.0, 36.0], shoonya_6s2EZGE439D6TR, 5731303]
[paragraph, [436.0, 836.0, 979.0, 36.0], shoonya_6s2EZGE439D6TR, 5731303]
[paragraph, [436.0, 872.0, 979.0, 36.0], shoonya_6s2EZGE439D6TR, 5731303]
[paragraph, [436.0, 908.0, 979.0, 36.0], shoonya_6s2EZGE439D6TR, 5731303]
[paragraph, [336.0, 958.0, 1090.0, 36.0], shoonya_5sCI0IHC5MLP2A, 5731303]
[paragraph, [336.0, 994.0, 1090.0, 36.0], shoonya_5sCI0IHC5MLP2A, 5731303]
[paragraph, [336.0, 1030.0, 1090.0, 36.0], shoonya_5sCI0IHC5MLP2A, 5731303]
[paragraph, [336.0, 1066.0, 1090.0, 36.0], shoonya_5sCI0IHC5MLP2A, 5731303]
[paragraph, [336.0, 1102.0, 1090.0, 36.0], shoonya_5sCI0IHC5MLP2A, 5731303]
[paragraph, [336.0, 1138.0, 1090.0, 36.0], shoonya_5sCI0IHC5MLP2A, 5731303]
[paragraph, [336.0, 1174.0, 1090.0, 36.0], shoonya_5sCI0IHC5MLP2A, 5731303]
[paragraph, [336.0, 1210.0, 1090.0, 36.0], shoonya_5sCI0IHC5MLP2A, 5731303]
[paragraph, [336.0, 1246.0, 1090.0, 36.0], shoonya_5sCI0IHC5MLP2A, 5731303]
[paragraph, [336.0, 1282.0, 1090.0, 36.0], shoonya_5sCI0IHC5MLP2A, 5731303]
[paragraph, [336.0, 1318.0, 1090.0, 36.0], shoonya_5sCI0IHC5MLP2A, 5731303]
[paragraph, [339.0, 1355.0, 1086.0, 36.0], shoonya_4sHVE5VUQOA49S, 5731303]
[paragraph, [339.0, 1391.0, 1086.0, 36.0], shoonya_4sHVE5VUQOA49S, 5731303]
[paragraph, [339.0, 1427.0, 1086.0, 36.0], shoonya_4sHVE5VUQOA49S, 5731303]
[paragraph, [346.0, 1470.0, 1088.0, 36.0], shoonya_1s5YQQT9DRF3KM, 5731303]
[paragraph, [346.0, 1506.0, 1088.0, 36.0], shoonya_1s5YQQT9DRF3KM, 5731303]
[paragraph, [346.0, 1542.0, 1088.0, 36.0], shoonya_1s5YQQT9DRF3KM, 5731303]
[paragraph, [346.0, 1578.0, 1088.0, 36.0], shoonya_1s5YQQT9DRF3KM, 5731303]
[paragraph, [346.0, 1614.0, 1088.0, 36.0], shoonya_1s5YQQT9DRF3KM, 5731303]
[paragraph, [346.0, 1650.0, 1088.0, 36.0], shoonya_1s5YQQT9DRF3KM, 5731303]
[paragraph, [346.0, 1686.0, 1088.0, 36.0], shoonya_1s5YQQT9DRF3KM, 5731303]
[paragraph, [346.0, 1722.0, 1088.0, 36.0], shoonya_1s5YQQT9DRF3KM, 5731303]
[paragraph, [346.0, 1758.0, 1088.0, 36.0], shoonya_1s5YQQT9DRF3KM, 5731303]
[paragraph, [346.0, 1794.0, 1088.0, 36.0], shoonya_1s5YQQT9DRF3KM, 5731303]
[paragraph, [346.0, 1830.0, 1088.0, 36.0], shoonya_1s5YQQT9DRF3KM, 5731303]
[paragraph, [346.0, 1866.0, 1088.0, 36.0], shoonya_1s5YQQT9DRF3KM, 5731303]
[paragraph, [346.0, 1902.0, 1088.0, 36.0], shoonya_1s5YQQT9DRF3KM, 5731303]
[paragraph, [346.0, 1938.0, 1088.0, 36.0], shoonya_1s5YQQT9DRF3KM, 5731303]
[folio, [456.0, 2053.0, 377.0, 36.0], OREXyVCS3N, 5731303]
