[834, 618]
[folio, [21.0, 43.0, 143.0, 18.0], 043Nmz8WqC, 5712410]
[headline, [144.0, 294.0, 333.0, 25.5], shoonya_1sMY22ZCOXCPNL, 5712410]
[headline, [144.0, 319.5, 333.0, 25.5], shoonya_1sMY22ZCOXCPNL, 5712410]
[headline, [144.0, 345.0, 333.0, 25.5], shoonya_1sMY22ZCOXCPNL, 5712410]
[sub-headline, [56.0, 387.0, 493.0, 25.5], t5Cf4weCrE, 5712410]
[sub-headline, [56.0, 412.5, 493.0, 25.5], t5Cf4weCrE, 5712410]
[paragraph, [46.0, 445.0, 262.0, 18.0], frsUCzetjP, 5712410]
[paragraph, [46.0, 463.0, 262.0, 18.0], frsUCzetjP, 5712410]
[paragraph, [46.0, 481.0, 262.0, 18.0], frsUCzetjP, 5712410]
[paragraph, [46.0, 499.0, 262.0, 18.0], frsUCzetjP, 5712410]
[paragraph, [46.0, 517.0, 262.0, 18.0], frsUCzetjP, 5712410]
[paragraph, [46.0, 535.0, 262.0, 18.0], frsUCzetjP, 5712410]
[paragraph, [46.0, 553.0, 262.0, 18.0], frsUCzetjP, 5712410]
[paragraph, [46.0, 571.0, 262.0, 18.0], frsUCzetjP, 5712410]
[paragraph, [317.0, 445.0, 246.0, 18.0], BSzetlrl-U, 5712410]
[paragraph, [317.0, 463.0, 246.0, 18.0], BSzetlrl-U, 5712410]
[paragraph, [317.0, 481.0, 246.0, 18.0], BSzetlrl-U, 5712410]
[paragraph, [313.0, 533.0, 257.0, 18.0], fNNkEv2OMH, 5712410]
[paragraph, [313.0, 551.0, 257.0, 18.0], fNNkEv2OMH, 5712410]
[paragraph, [313.0, 569.0, 257.0, 18.0], fNNkEv2OMH, 5712410]
[paragraph, [313.0, 587.0, 257.0, 18.0], fNNkEv2OMH, 5712410]
[paragraph, [313.0, 605.0, 257.0, 18.0], fNNkEv2OMH, 5712410]
[paragraph, [313.0, 623.0, 257.0, 18.0], fNNkEv2OMH, 5712410]
[paragraph, [313.0, 641.0, 257.0, 18.0], fNNkEv2OMH, 5712410]
[paragraph, [313.0, 659.0, 257.0, 18.0], fNNkEv2OMH, 5712410]
[paragraph, [44.0, 602.0, 267.0, 18.0], t-JzvJ2l59, 5712410]
[paragraph, [44.0, 620.0, 267.0, 18.0], t-JzvJ2l59, 5712410]
[paragraph, [44.0, 638.0, 267.0, 18.0], t-JzvJ2l59, 5712410]
[paragraph, [44.0, 656.0, 267.0, 18.0], t-JzvJ2l59, 5712410]
[paragraph, [44.0, 674.0, 267.0, 18.0], t-JzvJ2l59, 5712410]
[paragraph, [44.0, 692.0, 267.0, 18.0], t-JzvJ2l59, 5712410]
[paragraph, [44.0, 710.0, 267.0, 18.0], t-JzvJ2l59, 5712410]
[paragraph, [44.0, 728.0, 267.0, 18.0], t-JzvJ2l59, 5712410]
[paragraph, [313.0, 707.0, 259.0, 18.0], JDBXXFLdJi, 5712410]
[paragraph, [313.0, 725.0, 259.0, 18.0], JDBXXFLdJi, 5712410]
[paragraph, [313.0, 743.0, 259.0, 18.0], JDBXXFLdJi, 5712410]
[folio, [72.0, 770.0, 100.0, 18.0], LtzIsWW-MY, 5712410]
