[1241, 827]
[folio, [133.0, 50.0, 324.0, 18.0], dY_9MaRoFD, 6477834]
[folio, [133.0, 68.0, 324.0, 18.0], dY_9MaRoFD, 6477834]
[paragraph, [127.0, 142.0, 500.0, 18.0], shoonya_0sYIQHI8JCJKZH, 6477834]
[unordered-list, [122.0, 180.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 198.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 216.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 234.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 252.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 270.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 288.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 306.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 324.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 342.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 360.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 378.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 396.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 414.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 432.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 450.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 468.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 486.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[unordered-list, [122.0, 504.0, 619.0, 18.0], uzrk5_WXzf, 6477834]
[section-title, [75.0, 556.0, 104.0, 30.0], 7Yf392ixpD, 6477834]
[ordered-list, [84.0, 595.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 613.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 631.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 649.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 667.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 685.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 703.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 721.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 739.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 757.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 775.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 793.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 811.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 829.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 847.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 865.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 883.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 901.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 919.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 937.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 955.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 973.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[ordered-list, [84.0, 991.0, 639.0, 18.0], OAA1WDbGF6, 6477834]
[unordered-list, [113.0, 1029.0, 607.0, 18.0], lnwPBVF1Rb, 6477834]
[unordered-list, [113.0, 1047.0, 607.0, 18.0], lnwPBVF1Rb, 6477834]
[unordered-list, [113.0, 1065.0, 607.0, 18.0], lnwPBVF1Rb, 6477834]
[unordered-list, [113.0, 1083.0, 607.0, 18.0], lnwPBVF1Rb, 6477834]
[unordered-list, [113.0, 1101.0, 607.0, 18.0], lnwPBVF1Rb, 6477834]
[unordered-list, [113.0, 1119.0, 607.0, 18.0], lnwPBVF1Rb, 6477834]
[unordered-list, [113.0, 1137.0, 607.0, 18.0], lnwPBVF1Rb, 6477834]
