[789, 571]
[folio, [242.0, 40.0, 113.0, 18.0], shoonya_1sPZ27JGN2T6RP, 5701808]
[paragraph, [69.0, 80.0, 468.0, 18.0], shoonya_0sC56GEUP4SGJZ, 5701808]
[paragraph, [69.0, 98.0, 468.0, 18.0], shoonya_0sC56GEUP4SGJZ, 5701808]
[paragraph, [69.0, 116.0, 468.0, 18.0], shoonya_0sC56GEUP4SGJZ, 5701808]
[paragraph, [69.0, 134.0, 468.0, 18.0], shoonya_0sC56GEUP4SGJZ, 5701808]
[paragraph, [69.0, 152.0, 468.0, 18.0], shoonya_0sC56GEUP4SGJZ, 5701808]
[paragraph, [69.0, 170.0, 468.0, 18.0], shoonya_0sC56GEUP4SGJZ, 5701808]
[paragraph, [69.0, 188.0, 468.0, 18.0], shoonya_0sC56GEUP4SGJZ, 5701808]
[paragraph, [69.0, 206.0, 468.0, 18.0], shoonya_0sC56GEUP4SGJZ, 5701808]
[paragraph, [69.0, 224.0, 468.0, 18.0], shoonya_0sC56GEUP4SGJZ, 5701808]
[paragraph, [69.0, 242.0, 468.0, 18.0], shoonya_0sC56GEUP4SGJZ, 5701808]
[paragraph, [69.0, 260.0, 468.0, 18.0], shoonya_0sC56GEUP4SGJZ, 5701808]
[paragraph, [72.0, 291.0, 476.0, 18.0], 1PNUCCf70p, 5701808]
[paragraph, [72.0, 309.0, 476.0, 18.0], 1PNUCCf70p, 5701808]
[paragraph, [72.0, 327.0, 476.0, 18.0], 1PNUCCf70p, 5701808]
[paragraph, [72.0, 345.0, 476.0, 18.0], 1PNUCCf70p, 5701808]
[paragraph, [72.0, 363.0, 476.0, 18.0], 1PNUCCf70p, 5701808]
[paragraph, [72.0, 381.0, 476.0, 18.0], 1PNUCCf70p, 5701808]
[paragraph, [72.0, 399.0, 476.0, 18.0], 1PNUCCf70p, 5701808]
[paragraph, [72.0, 417.0, 476.0, 18.0], 1PNUCCf70p, 5701808]
[paragraph, [72.0, 435.0, 476.0, 18.0], 1PNUCCf70p, 5701808]
[paragraph, [72.0, 453.0, 476.0, 18.0], 1PNUCCf70p, 5701808]
[paragraph, [72.0, 471.0, 476.0, 18.0], 1PNUCCf70p, 5701808]
[paragraph, [72.0, 489.0, 476.0, 18.0], 1PNUCCf70p, 5701808]
[paragraph, [66.0, 518.0, 471.0, 18.0], tt-yfGfw0z, 5701808]
[paragraph, [66.0, 536.0, 471.0, 18.0], tt-yfGfw0z, 5701808]
[paragraph, [66.0, 554.0, 471.0, 18.0], tt-yfGfw0z, 5701808]
[paragraph, [66.0, 572.0, 471.0, 18.0], tt-yfGfw0z, 5701808]
[paragraph, [66.0, 590.0, 471.0, 18.0], tt-yfGfw0z, 5701808]
[paragraph, [66.0, 608.0, 471.0, 18.0], tt-yfGfw0z, 5701808]
[paragraph, [66.0, 626.0, 471.0, 18.0], tt-yfGfw0z, 5701808]
[paragraph, [66.0, 644.0, 471.0, 18.0], tt-yfGfw0z, 5701808]
[paragraph, [66.0, 662.0, 471.0, 18.0], tt-yfGfw0z, 5701808]
[paragraph, [66.0, 680.0, 471.0, 18.0], tt-yfGfw0z, 5701808]
