[2481, 1654]
[folio, [1190.0, 105.0, 121.0, 36.0], 3YPgq3lNIx, 5721694]
[paragraph, [169.0, 215.0, 1259.0, 36.0], ko1bs4TmnG, 5721694]
[paragraph, [169.0, 251.0, 1259.0, 36.0], ko1bs4TmnG, 5721694]
[paragraph, [169.0, 287.0, 1259.0, 36.0], ko1bs4TmnG, 5721694]
[paragraph, [169.0, 323.0, 1259.0, 36.0], ko1bs4TmnG, 5721694]
[paragraph, [169.0, 359.0, 1259.0, 36.0], ko1bs4TmnG, 5721694]
[paragraph, [169.0, 395.0, 1259.0, 36.0], ko1bs4TmnG, 5721694]
[paragraph, [169.0, 431.0, 1259.0, 36.0], ko1bs4TmnG, 5721694]
[paragraph, [169.0, 467.0, 1259.0, 36.0], ko1bs4TmnG, 5721694]
[paragraph, [171.0, 531.0, 1257.0, 36.0], Obc3-d00Za, 5721694]
[paragraph, [171.0, 567.0, 1257.0, 36.0], Obc3-d00Za, 5721694]
[paragraph, [171.0, 603.0, 1257.0, 36.0], Obc3-d00Za, 5721694]
[paragraph, [171.0, 639.0, 1257.0, 36.0], Obc3-d00Za, 5721694]
[paragraph, [171.0, 675.0, 1257.0, 36.0], Obc3-d00Za, 5721694]
[paragraph, [223.0, 742.0, 295.0, 36.0], OFG6XvMkHo, 5721694]
[paragraph, [165.0, 793.0, 1267.0, 36.0], JAnmaAYE4q, 5721694]
[paragraph, [165.0, 829.0, 1267.0, 36.0], JAnmaAYE4q, 5721694]
[paragraph, [165.0, 865.0, 1267.0, 36.0], JAnmaAYE4q, 5721694]
[paragraph, [165.0, 901.0, 1267.0, 36.0], JAnmaAYE4q, 5721694]
[paragraph, [165.0, 951.0, 1267.0, 36.0], bqJCzXzhGJ, 5721694]
[paragraph, [165.0, 987.0, 1267.0, 36.0], bqJCzXzhGJ, 5721694]
[paragraph, [163.0, 1054.0, 1269.0, 36.0], CiS_c7v8Dg, 5721694]
[paragraph, [163.0, 1090.0, 1269.0, 36.0], CiS_c7v8Dg, 5721694]
[paragraph, [163.0, 1126.0, 1269.0, 36.0], CiS_c7v8Dg, 5721694]
[paragraph, [163.0, 1162.0, 1269.0, 36.0], CiS_c7v8Dg, 5721694]
[paragraph, [163.0, 1198.0, 1269.0, 36.0], CiS_c7v8Dg, 5721694]
[paragraph, [163.0, 1234.0, 1269.0, 36.0], CiS_c7v8Dg, 5721694]
[paragraph, [163.0, 1270.0, 1269.0, 36.0], CiS_c7v8Dg, 5721694]
[paragraph, [163.0, 1306.0, 1269.0, 36.0], CiS_c7v8Dg, 5721694]
[paragraph, [163.0, 1342.0, 1269.0, 36.0], CiS_c7v8Dg, 5721694]
[paragraph, [163.0, 1378.0, 1269.0, 36.0], CiS_c7v8Dg, 5721694]
[paragraph, [163.0, 1414.0, 1269.0, 36.0], CiS_c7v8Dg, 5721694]
[paragraph, [161.0, 1469.0, 1273.0, 36.0], H0rfNRffaD, 5721694]
[paragraph, [161.0, 1505.0, 1273.0, 36.0], H0rfNRffaD, 5721694]
[paragraph, [161.0, 1541.0, 1273.0, 36.0], H0rfNRffaD, 5721694]
[paragraph, [161.0, 1577.0, 1273.0, 36.0], H0rfNRffaD, 5721694]
[paragraph, [167.0, 1627.0, 1265.0, 36.0], PLik35sSnm, 5721694]
[paragraph, [167.0, 1663.0, 1265.0, 36.0], PLik35sSnm, 5721694]
[paragraph, [167.0, 1699.0, 1265.0, 36.0], PLik35sSnm, 5721694]
[paragraph, [167.0, 1735.0, 1265.0, 36.0], PLik35sSnm, 5721694]
[paragraph, [165.0, 1782.0, 1263.0, 36.0], Um5DdDs6AA, 5721694]
[paragraph, [165.0, 1818.0, 1263.0, 36.0], Um5DdDs6AA, 5721694]
[paragraph, [165.0, 1854.0, 1263.0, 36.0], Um5DdDs6AA, 5721694]
[paragraph, [165.0, 1890.0, 1263.0, 36.0], Um5DdDs6AA, 5721694]
[paragraph, [225.0, 1941.0, 1137.0, 36.0], glAxlxOR_f, 5721694]
[paragraph, [171.0, 1991.0, 1263.0, 36.0], -izwxtRpda, 5721694]
[paragraph, [171.0, 2027.0, 1263.0, 36.0], -izwxtRpda, 5721694]
[paragraph, [171.0, 2063.0, 1263.0, 36.0], -izwxtRpda, 5721694]
[paragraph, [171.0, 2099.0, 1263.0, 36.0], -izwxtRpda, 5721694]
[paragraph, [221.0, 2148.0, 944.0, 36.0], ybEZT83oWe, 5721694]
