[1300, 827]
[index, [212.0, 343.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 361.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 379.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 397.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 415.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 433.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 451.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 469.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 487.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 505.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 523.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 541.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 559.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 577.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 595.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 613.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 631.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 649.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 667.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 685.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 703.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 721.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 739.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 757.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 775.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 793.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 811.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 829.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 847.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 865.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 883.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 901.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 919.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 937.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[index, [212.0, 955.0, 394.0, 18.0], shoonya_0sK1NE9VM3B53A, 5749187]
[folio, [504.0, 1256.0, 282.0, 18.0], jogRfk7XxG, 5749187]
