[1200, 825]
[paragraph, [146.0, 103.0, 537.0, 18.0], shoonya_0s9SV0PQ3HD765, 5691144]
[paragraph, [146.0, 121.0, 537.0, 18.0], shoonya_0s9SV0PQ3HD765, 5691144]
[paragraph, [146.0, 139.0, 537.0, 18.0], shoonya_0s9SV0PQ3HD765, 5691144]
[paragraph, [146.0, 157.0, 537.0, 18.0], shoonya_0s9SV0PQ3HD765, 5691144]
[paragraph, [146.0, 175.0, 537.0, 18.0], shoonya_0s9SV0PQ3HD765, 5691144]
[paragraph, [146.0, 193.0, 537.0, 18.0], shoonya_0s9SV0PQ3HD765, 5691144]
[paragraph, [146.0, 211.0, 537.0, 18.0], shoonya_0s9SV0PQ3HD765, 5691144]
[paragraph, [146.0, 229.0, 537.0, 18.0], shoonya_0s9SV0PQ3HD765, 5691144]
[paragraph, [146.0, 247.0, 537.0, 18.0], shoonya_0s9SV0PQ3HD765, 5691144]
[paragraph, [146.0, 265.0, 537.0, 18.0], shoonya_0s9SV0PQ3HD765, 5691144]
[paragraph, [146.0, 283.0, 537.0, 18.0], shoonya_0s9SV0PQ3HD765, 5691144]
[paragraph, [146.0, 301.0, 537.0, 18.0], shoonya_0s9SV0PQ3HD765, 5691144]
[paragraph, [136.0, 337.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 355.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 373.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 391.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 409.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 427.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 445.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 463.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 481.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 499.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 517.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 535.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 553.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 571.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 589.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 607.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 625.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 643.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 661.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 679.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 697.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 715.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 733.0, 547.0, 18.0], shoonya_1sOX6N1VSIXYED, 5691144]
[paragraph, [136.0, 761.0, 548.0, 18.0], shoonya_2sY7OIHOE498TB, 5691144]
[paragraph, [136.0, 779.0, 548.0, 18.0], shoonya_2sY7OIHOE498TB, 5691144]
[paragraph, [136.0, 797.0, 548.0, 18.0], shoonya_2sY7OIHOE498TB, 5691144]
[paragraph, [136.0, 815.0, 548.0, 18.0], shoonya_2sY7OIHOE498TB, 5691144]
[paragraph, [136.0, 833.0, 548.0, 18.0], shoonya_2sY7OIHOE498TB, 5691144]
[paragraph, [136.0, 851.0, 548.0, 18.0], shoonya_2sY7OIHOE498TB, 5691144]
[paragraph, [136.0, 869.0, 548.0, 18.0], shoonya_2sY7OIHOE498TB, 5691144]
[paragraph, [136.0, 887.0, 548.0, 18.0], shoonya_2sY7OIHOE498TB, 5691144]
[paragraph, [136.0, 905.0, 548.0, 18.0], shoonya_2sY7OIHOE498TB, 5691144]
[paragraph, [136.0, 923.0, 548.0, 18.0], shoonya_2sY7OIHOE498TB, 5691144]
[paragraph, [136.0, 941.0, 548.0, 18.0], shoonya_2sY7OIHOE498TB, 5691144]
[paragraph, [136.0, 959.0, 548.0, 18.0], shoonya_2sY7OIHOE498TB, 5691144]
[paragraph, [136.0, 977.0, 548.0, 18.0], shoonya_2sY7OIHOE498TB, 5691144]
[paragraph, [136.0, 995.0, 548.0, 18.0], shoonya_2sY7OIHOE498TB, 5691144]
