[523, 336]
[chapter-title, [90.0, 180.0, 189.0, 30.0], shoonya_2sP72S0UYKE0DY, 6534331]
[paragraph, [35.0, 215.0, 291.0, 18.0], shoonya_0sRGH3GJDOJZGM, 6534331]
[paragraph, [35.0, 233.0, 291.0, 18.0], shoonya_0sRGH3GJDOJZGM, 6534331]
[paragraph, [35.0, 251.0, 291.0, 18.0], shoonya_0sRGH3GJDOJZGM, 6534331]
[paragraph, [35.0, 269.0, 291.0, 18.0], shoonya_0sRGH3GJDOJZGM, 6534331]
[paragraph, [35.0, 287.0, 291.0, 18.0], shoonya_0sRGH3GJDOJZGM, 6534331]
[paragraph, [35.0, 305.0, 291.0, 18.0], shoonya_0sRGH3GJDOJZGM, 6534331]
[paragraph, [35.0, 323.0, 291.0, 18.0], shoonya_0sRGH3GJDOJZGM, 6534331]
[paragraph, [35.0, 341.0, 291.0, 18.0], shoonya_0sRGH3GJDOJZGM, 6534331]
[paragraph, [35.0, 359.0, 291.0, 18.0], shoonya_0sRGH3GJDOJZGM, 6534331]
[paragraph, [35.0, 377.0, 291.0, 18.0], shoonya_0sRGH3GJDOJZGM, 6534331]
[paragraph, [35.0, 395.0, 291.0, 18.0], shoonya_0sRGH3GJDOJZGM, 6534331]
