[581, 402]
[chapter-title, [142.0, 88.0, 105.0, 30.0], shoonya_3sRRWP9S5YO939, 6496509]
[paragraph, [36.0, 143.0, 325.0, 18.0], shoonya_1s07A591WW4KJE, 6496509]
[paragraph, [36.0, 161.0, 325.0, 18.0], shoonya_1s07A591WW4KJE, 6496509]
[paragraph, [36.0, 179.0, 325.0, 18.0], shoonya_1s07A591WW4KJE, 6496509]
[paragraph, [36.0, 197.0, 325.0, 18.0], shoonya_1s07A591WW4KJE, 6496509]
[paragraph, [36.0, 215.0, 325.0, 18.0], shoonya_1s07A591WW4KJE, 6496509]
[paragraph, [36.0, 233.0, 325.0, 18.0], shoonya_1s07A591WW4KJE, 6496509]
[paragraph, [36.0, 251.0, 325.0, 18.0], shoonya_1s07A591WW4KJE, 6496509]
[paragraph, [34.0, 281.0, 328.0, 18.0], shoonya_0sNQIGDJXYKQFF, 6496509]
[paragraph, [34.0, 299.0, 328.0, 18.0], shoonya_0sNQIGDJXYKQFF, 6496509]
[paragraph, [34.0, 317.0, 328.0, 18.0], shoonya_0sNQIGDJXYKQFF, 6496509]
[paragraph, [34.0, 335.0, 328.0, 18.0], shoonya_0sNQIGDJXYKQFF, 6496509]
[paragraph, [34.0, 353.0, 328.0, 18.0], shoonya_0sNQIGDJXYKQFF, 6496509]
[paragraph, [34.0, 371.0, 328.0, 18.0], shoonya_0sNQIGDJXYKQFF, 6496509]
[paragraph, [34.0, 389.0, 328.0, 18.0], shoonya_0sNQIGDJXYKQFF, 6496509]
[paragraph, [34.0, 407.0, 328.0, 18.0], shoonya_0sNQIGDJXYKQFF, 6496509]
[paragraph, [34.0, 425.0, 328.0, 18.0], shoonya_0sNQIGDJXYKQFF, 6496509]
[paragraph, [34.0, 443.0, 328.0, 18.0], shoonya_0sNQIGDJXYKQFF, 6496509]
[paragraph, [34.0, 461.0, 328.0, 18.0], shoonya_0sNQIGDJXYKQFF, 6496509]
[paragraph, [34.0, 479.0, 328.0, 18.0], shoonya_0sNQIGDJXYKQFF, 6496509]
[paragraph, [34.0, 497.0, 328.0, 18.0], shoonya_0sNQIGDJXYKQFF, 6496509]
