[1162, 749]
[folio, [301.0, 71.0, 134.0, 18.0], shoonya_2s08W60MJNMQ41, 5700039]
[paragraph, [63.0, 117.0, 622.0, 18.0], shoonya_0sXV4Y7V0ARA3H, 5700039]
[paragraph, [63.0, 135.0, 622.0, 18.0], shoonya_0sXV4Y7V0ARA3H, 5700039]
[paragraph, [63.0, 153.0, 622.0, 18.0], shoonya_0sXV4Y7V0ARA3H, 5700039]
[paragraph, [63.0, 171.0, 622.0, 18.0], shoonya_0sXV4Y7V0ARA3H, 5700039]
[paragraph, [63.0, 189.0, 622.0, 18.0], shoonya_0sXV4Y7V0ARA3H, 5700039]
[paragraph, [63.0, 207.0, 622.0, 18.0], shoonya_0sXV4Y7V0ARA3H, 5700039]
[paragraph, [63.0, 225.0, 622.0, 18.0], shoonya_0sXV4Y7V0ARA3H, 5700039]
[paragraph, [63.0, 243.0, 622.0, 18.0], shoonya_0sXV4Y7V0ARA3H, 5700039]
[paragraph, [63.0, 261.0, 622.0, 18.0], shoonya_0sXV4Y7V0ARA3H, 5700039]
[paragraph, [63.0, 295.0, 619.0, 18.0], shoonya_4sKTSR1PCQAFS6, 5700039]
[paragraph, [63.0, 313.0, 619.0, 18.0], shoonya_4sKTSR1PCQAFS6, 5700039]
[paragraph, [63.0, 331.0, 619.0, 18.0], shoonya_4sKTSR1PCQAFS6, 5700039]
[paragraph, [63.0, 349.0, 619.0, 18.0], shoonya_4sKTSR1PCQAFS6, 5700039]
[paragraph, [63.0, 367.0, 619.0, 18.0], shoonya_4sKTSR1PCQAFS6, 5700039]
[paragraph, [63.0, 385.0, 619.0, 18.0], shoonya_4sKTSR1PCQAFS6, 5700039]
[paragraph, [63.0, 403.0, 619.0, 18.0], shoonya_4sKTSR1PCQAFS6, 5700039]
[paragraph, [63.0, 421.0, 619.0, 18.0], shoonya_4sKTSR1PCQAFS6, 5700039]
[paragraph, [63.0, 439.0, 619.0, 18.0], shoonya_4sKTSR1PCQAFS6, 5700039]
[paragraph, [63.0, 457.0, 619.0, 18.0], shoonya_4sKTSR1PCQAFS6, 5700039]
[paragraph, [63.0, 475.0, 619.0, 18.0], shoonya_4sKTSR1PCQAFS6, 5700039]
[paragraph, [65.0, 505.0, 613.0, 18.0], shoonya_3sYLREUEDJGFJ1, 5700039]
[paragraph, [65.0, 523.0, 613.0, 18.0], shoonya_3sYLREUEDJGFJ1, 5700039]
[paragraph, [65.0, 541.0, 613.0, 18.0], shoonya_3sYLREUEDJGFJ1, 5700039]
[paragraph, [65.0, 559.0, 613.0, 18.0], shoonya_3sYLREUEDJGFJ1, 5700039]
[paragraph, [65.0, 577.0, 613.0, 18.0], shoonya_3sYLREUEDJGFJ1, 5700039]
[paragraph, [65.0, 595.0, 613.0, 18.0], shoonya_3sYLREUEDJGFJ1, 5700039]
[paragraph, [65.0, 613.0, 613.0, 18.0], shoonya_3sYLREUEDJGFJ1, 5700039]
[paragraph, [65.0, 631.0, 613.0, 18.0], shoonya_3sYLREUEDJGFJ1, 5700039]
[paragraph, [65.0, 649.0, 613.0, 18.0], shoonya_3sYLREUEDJGFJ1, 5700039]
[paragraph, [65.0, 667.0, 613.0, 18.0], shoonya_3sYLREUEDJGFJ1, 5700039]
[paragraph, [65.0, 685.0, 613.0, 18.0], shoonya_3sYLREUEDJGFJ1, 5700039]
[paragraph, [65.0, 703.0, 613.0, 18.0], shoonya_3sYLREUEDJGFJ1, 5700039]
[paragraph, [65.0, 721.0, 613.0, 18.0], shoonya_3sYLREUEDJGFJ1, 5700039]
[paragraph, [65.0, 739.0, 613.0, 18.0], shoonya_3sYLREUEDJGFJ1, 5700039]
[paragraph, [65.0, 757.0, 613.0, 18.0], shoonya_3sYLREUEDJGFJ1, 5700039]
[paragraph, [65.0, 775.0, 613.0, 18.0], shoonya_3sYLREUEDJGFJ1, 5700039]
[paragraph, [67.0, 814.0, 612.0, 18.0], shoonya_1sSQP6DAI3GZCQ, 5700039]
[paragraph, [67.0, 832.0, 612.0, 18.0], shoonya_1sSQP6DAI3GZCQ, 5700039]
[paragraph, [67.0, 850.0, 612.0, 18.0], shoonya_1sSQP6DAI3GZCQ, 5700039]
[paragraph, [67.0, 868.0, 612.0, 18.0], shoonya_1sSQP6DAI3GZCQ, 5700039]
[paragraph, [67.0, 886.0, 612.0, 18.0], shoonya_1sSQP6DAI3GZCQ, 5700039]
[paragraph, [67.0, 904.0, 612.0, 18.0], shoonya_1sSQP6DAI3GZCQ, 5700039]
[paragraph, [67.0, 922.0, 612.0, 18.0], shoonya_1sSQP6DAI3GZCQ, 5700039]
[paragraph, [67.0, 940.0, 612.0, 18.0], shoonya_1sSQP6DAI3GZCQ, 5700039]
[paragraph, [67.0, 958.0, 612.0, 18.0], shoonya_1sSQP6DAI3GZCQ, 5700039]
[paragraph, [67.0, 976.0, 612.0, 18.0], shoonya_1sSQP6DAI3GZCQ, 5700039]
[paragraph, [67.0, 994.0, 612.0, 18.0], shoonya_1sSQP6DAI3GZCQ, 5700039]
[paragraph, [67.0, 1012.0, 612.0, 18.0], shoonya_1sSQP6DAI3GZCQ, 5700039]
[paragraph, [67.0, 1030.0, 612.0, 18.0], shoonya_1sSQP6DAI3GZCQ, 5700039]
[paragraph, [67.0, 1048.0, 612.0, 18.0], shoonya_1sSQP6DAI3GZCQ, 5700039]
[paragraph, [67.0, 1066.0, 612.0, 18.0], shoonya_1sSQP6DAI3GZCQ, 5700039]
