[2339, 1653]
[folio, [1014.0, 154.0, 480.0, 36.0], shoonya_1sD0JWD7K0IMN0, 5685622]
[section-title, [308.0, 256.0, 215.0, 52.5], shoonya_5s2Y842R4WTNM5, 5685622]
[sub-section-title, [318.0, 342.0, 565.0, 55.5], shoonya_4sLU5W5DYDRMR2, 5685622]
[paragraph, [319.0, 454.0, 1166.0, 36.0], shoonya_0sK5MMXRQ49UPU, 5685622]
[paragraph, [319.0, 490.0, 1166.0, 36.0], shoonya_0sK5MMXRQ49UPU, 5685622]
[paragraph, [319.0, 526.0, 1166.0, 36.0], shoonya_0sK5MMXRQ49UPU, 5685622]
[paragraph, [319.0, 562.0, 1166.0, 36.0], shoonya_0sK5MMXRQ49UPU, 5685622]
[ordered-list, [228.0, 616.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 652.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 688.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 724.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 760.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 796.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 832.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 868.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 904.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 940.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 976.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1012.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1048.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1084.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1120.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1156.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1192.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1228.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1264.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1300.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1336.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1372.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1408.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1444.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1480.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1516.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1552.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1588.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1624.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1660.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1696.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1732.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1768.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1804.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1840.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1876.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1912.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1948.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
[ordered-list, [228.0, 1984.0, 1262.0, 36.0], shoonya_3sMDSPEMWAZYLR, 5685622]
