[1987, 1270]
[folio, [566.0, 119.0, 138.0, 36.0], shoonya_0sH0X7JGHJYBJW, 5682384]
[paragraph, [133.0, 189.0, 783.0, 36.0], shoonya_3sOTEK80O82LQA, 5682384]
[paragraph, [127.0, 246.0, 1017.0, 36.0], shoonya_4sN6MEWWW69PT5, 5682384]
[paragraph, [127.0, 282.0, 1017.0, 36.0], shoonya_4sN6MEWWW69PT5, 5682384]
[paragraph, [169.0, 350.0, 551.0, 36.0], shoonya_5sPSSEJOVZD5VJ, 5682384]
[paragraph, [125.0, 400.0, 1016.0, 36.0], shoonya_6sRYM0ZD0CA9R1, 5682384]
[paragraph, [125.0, 436.0, 1016.0, 36.0], shoonya_6sRYM0ZD0CA9R1, 5682384]
[paragraph, [126.0, 503.0, 1018.0, 36.0], shoonya_7sZZKRAAU4QJHO, 5682384]
[paragraph, [126.0, 539.0, 1018.0, 36.0], shoonya_7sZZKRAAU4QJHO, 5682384]
[paragraph, [126.0, 575.0, 1018.0, 36.0], shoonya_7sZZKRAAU4QJHO, 5682384]
[paragraph, [126.0, 611.0, 1018.0, 36.0], shoonya_7sZZKRAAU4QJHO, 5682384]
[paragraph, [126.0, 647.0, 1018.0, 36.0], shoonya_7sZZKRAAU4QJHO, 5682384]
[paragraph, [121.0, 717.0, 1025.0, 36.0], shoonya_8sXQ511L5RHH73, 5682384]
[paragraph, [121.0, 753.0, 1025.0, 36.0], shoonya_8sXQ511L5RHH73, 5682384]
[paragraph, [121.0, 789.0, 1025.0, 36.0], shoonya_8sXQ511L5RHH73, 5682384]
[paragraph, [121.0, 825.0, 1025.0, 36.0], shoonya_8sXQ511L5RHH73, 5682384]
[paragraph, [121.0, 861.0, 1025.0, 36.0], shoonya_8sXQ511L5RHH73, 5682384]
[paragraph, [121.0, 897.0, 1025.0, 36.0], shoonya_8sXQ511L5RHH73, 5682384]
[paragraph, [121.0, 933.0, 1025.0, 36.0], shoonya_8sXQ511L5RHH73, 5682384]
[paragraph, [121.0, 969.0, 1025.0, 36.0], shoonya_8sXQ511L5RHH73, 5682384]
[paragraph, [121.0, 1005.0, 1025.0, 36.0], shoonya_8sXQ511L5RHH73, 5682384]
[paragraph, [121.0, 1041.0, 1025.0, 36.0], shoonya_8sXQ511L5RHH73, 5682384]
[paragraph, [121.0, 1077.0, 1025.0, 36.0], shoonya_8sXQ511L5RHH73, 5682384]
[paragraph, [121.0, 1113.0, 1025.0, 36.0], shoonya_8sXQ511L5RHH73, 5682384]
[paragraph, [123.0, 1187.0, 1020.0, 36.0], hkG3Qc3OZB, 5682384]
[paragraph, [123.0, 1223.0, 1020.0, 36.0], hkG3Qc3OZB, 5682384]
[paragraph, [123.0, 1259.0, 1020.0, 36.0], hkG3Qc3OZB, 5682384]
[paragraph, [123.0, 1295.0, 1020.0, 36.0], hkG3Qc3OZB, 5682384]
[paragraph, [125.0, 1347.0, 1017.0, 36.0], WhqI2k6xKM, 5682384]
[paragraph, [125.0, 1383.0, 1017.0, 36.0], WhqI2k6xKM, 5682384]
[paragraph, [125.0, 1419.0, 1017.0, 36.0], WhqI2k6xKM, 5682384]
[paragraph, [125.0, 1455.0, 1017.0, 36.0], WhqI2k6xKM, 5682384]
[paragraph, [125.0, 1491.0, 1017.0, 36.0], WhqI2k6xKM, 5682384]
[paragraph, [125.0, 1527.0, 1017.0, 36.0], WhqI2k6xKM, 5682384]
[paragraph, [123.0, 1607.0, 1020.0, 36.0], c2mNwKRdQU, 5682384]
[paragraph, [123.0, 1643.0, 1020.0, 36.0], c2mNwKRdQU, 5682384]
[paragraph, [123.0, 1679.0, 1020.0, 36.0], c2mNwKRdQU, 5682384]
[paragraph, [123.0, 1715.0, 1020.0, 36.0], c2mNwKRdQU, 5682384]
[paragraph, [123.0, 1751.0, 1020.0, 36.0], c2mNwKRdQU, 5682384]
[paragraph, [123.0, 1787.0, 1020.0, 36.0], c2mNwKRdQU, 5682384]
[paragraph, [123.0, 1823.0, 1020.0, 36.0], c2mNwKRdQU, 5682384]
