[2037, 1444]
[paragraph, [54.0, 64.0, 584.0, 36.0], rZ6M2vN1UM, 5654063]
[paragraph, [54.0, 100.0, 584.0, 36.0], rZ6M2vN1UM, 5654063]
[paragraph, [54.0, 136.0, 584.0, 36.0], rZ6M2vN1UM, 5654063]
[paragraph, [54.0, 172.0, 584.0, 36.0], rZ6M2vN1UM, 5654063]
[paragraph, [54.0, 208.0, 584.0, 36.0], rZ6M2vN1UM, 5654063]
[paragraph, [54.0, 244.0, 584.0, 36.0], rZ6M2vN1UM, 5654063]
[paragraph, [54.0, 280.0, 584.0, 36.0], rZ6M2vN1UM, 5654063]
[paragraph, [775.0, 75.0, 574.0, 36.0], shoonya_10sL4TUDYSODZJ, 5654063]
[paragraph, [775.0, 111.0, 574.0, 36.0], shoonya_10sL4TUDYSODZJ, 5654063]
[paragraph, [775.0, 147.0, 574.0, 36.0], shoonya_10sL4TUDYSODZJ, 5654063]
[paragraph, [775.0, 183.0, 574.0, 36.0], shoonya_10sL4TUDYSODZJ, 5654063]
[paragraph, [775.0, 219.0, 574.0, 36.0], shoonya_10sL4TUDYSODZJ, 5654063]
[paragraph, [775.0, 255.0, 574.0, 36.0], shoonya_10sL4TUDYSODZJ, 5654063]
[paragraph, [775.0, 291.0, 574.0, 36.0], shoonya_10sL4TUDYSODZJ, 5654063]
[paragraph, [775.0, 327.0, 574.0, 36.0], shoonya_10sL4TUDYSODZJ, 5654063]
[paragraph, [775.0, 363.0, 574.0, 36.0], shoonya_10sL4TUDYSODZJ, 5654063]
[paragraph, [64.0, 357.0, 494.0, 36.0], shoonya_7s3ZOPJLRX6TC4, 5654063]
[paragraph, [64.0, 393.0, 494.0, 36.0], shoonya_7s3ZOPJLRX6TC4, 5654063]
[figure-caption, [580.0, 376.0, 246.0, 36.0], shoonya_6sJJD2O398X8O4, 5654063]
[paragraph, [719.0, 423.0, 633.0, 36.0], shoonya_11sV0I8WM4Y3VY, 5654063]
[paragraph, [719.0, 459.0, 633.0, 36.0], shoonya_11sV0I8WM4Y3VY, 5654063]
[paragraph, [719.0, 495.0, 633.0, 36.0], shoonya_11sV0I8WM4Y3VY, 5654063]
[paragraph, [71.0, 436.0, 627.0, 36.0], shoonya_8sGFPWPT7KZHZI, 5654063]
[paragraph, [71.0, 472.0, 627.0, 36.0], shoonya_8sGFPWPT7KZHZI, 5654063]
[paragraph, [71.0, 508.0, 627.0, 36.0], shoonya_8sGFPWPT7KZHZI, 5654063]
[paragraph, [720.0, 540.0, 354.0, 36.0], shoonya_3sHK7Y223D4JE6, 5654063]
[paragraph, [720.0, 576.0, 354.0, 36.0], shoonya_3sHK7Y223D4JE6, 5654063]
[paragraph, [720.0, 612.0, 354.0, 36.0], shoonya_3sHK7Y223D4JE6, 5654063]
[paragraph, [720.0, 648.0, 354.0, 36.0], shoonya_3sHK7Y223D4JE6, 5654063]
[paragraph, [720.0, 684.0, 354.0, 36.0], shoonya_3sHK7Y223D4JE6, 5654063]
[paragraph, [720.0, 720.0, 354.0, 36.0], shoonya_3sHK7Y223D4JE6, 5654063]
[paragraph, [720.0, 756.0, 354.0, 36.0], shoonya_3sHK7Y223D4JE6, 5654063]
[paragraph, [720.0, 792.0, 354.0, 36.0], shoonya_3sHK7Y223D4JE6, 5654063]
[paragraph, [720.0, 828.0, 354.0, 36.0], shoonya_3sHK7Y223D4JE6, 5654063]
[paragraph, [720.0, 864.0, 354.0, 36.0], shoonya_3sHK7Y223D4JE6, 5654063]
[paragraph, [720.0, 900.0, 354.0, 36.0], shoonya_3sHK7Y223D4JE6, 5654063]
[paragraph, [346.0, 545.0, 354.0, 36.0], shoonya_5sSAOGRQNIU2NC, 5654063]
[paragraph, [346.0, 581.0, 354.0, 36.0], shoonya_5sSAOGRQNIU2NC, 5654063]
[paragraph, [346.0, 617.0, 354.0, 36.0], shoonya_5sSAOGRQNIU2NC, 5654063]
[paragraph, [346.0, 653.0, 354.0, 36.0], shoonya_5sSAOGRQNIU2NC, 5654063]
[paragraph, [346.0, 689.0, 354.0, 36.0], shoonya_5sSAOGRQNIU2NC, 5654063]
[paragraph, [346.0, 725.0, 354.0, 36.0], shoonya_5sSAOGRQNIU2NC, 5654063]
[paragraph, [346.0, 761.0, 354.0, 36.0], shoonya_5sSAOGRQNIU2NC, 5654063]
[paragraph, [346.0, 797.0, 354.0, 36.0], shoonya_5sSAOGRQNIU2NC, 5654063]
[paragraph, [346.0, 833.0, 354.0, 36.0], shoonya_5sSAOGRQNIU2NC, 5654063]
[paragraph, [346.0, 869.0, 354.0, 36.0], shoonya_5sSAOGRQNIU2NC, 5654063]
[paragraph, [346.0, 905.0, 354.0, 36.0], shoonya_5sSAOGRQNIU2NC, 5654063]
[paragraph, [725.0, 957.0, 629.0, 36.0], shoonya_14s30X1N62NYM7, 5654063]
[paragraph, [725.0, 993.0, 629.0, 36.0], shoonya_14s30X1N62NYM7, 5654063]
[paragraph, [714.0, 1027.0, 645.0, 36.0], shoonya_0s5HQ683448AVR, 5654063]
[paragraph, [714.0, 1063.0, 645.0, 36.0], shoonya_0s5HQ683448AVR, 5654063]
[paragraph, [714.0, 1099.0, 645.0, 36.0], shoonya_0s5HQ683448AVR, 5654063]
[paragraph, [714.0, 1135.0, 645.0, 36.0], shoonya_0s5HQ683448AVR, 5654063]
[paragraph, [714.0, 1171.0, 645.0, 36.0], shoonya_0s5HQ683448AVR, 5654063]
[paragraph, [714.0, 1207.0, 645.0, 36.0], shoonya_0s5HQ683448AVR, 5654063]
[paragraph, [714.0, 1243.0, 645.0, 36.0], shoonya_0s5HQ683448AVR, 5654063]
[paragraph, [714.0, 1279.0, 645.0, 36.0], shoonya_0s5HQ683448AVR, 5654063]
[paragraph, [714.0, 1315.0, 645.0, 36.0], shoonya_0s5HQ683448AVR, 5654063]
[paragraph, [714.0, 1351.0, 645.0, 36.0], shoonya_0s5HQ683448AVR, 5654063]
