[1823, 1375]
[paragraph, [94.0, 155.0, 1175.0, 36.0], shoonya_1s81JOR6ZCRKJ9, 5683602]
[paragraph, [94.0, 191.0, 1175.0, 36.0], shoonya_1s81JOR6ZCRKJ9, 5683602]
[paragraph, [94.0, 227.0, 1175.0, 36.0], shoonya_1s81JOR6ZCRKJ9, 5683602]
[paragraph, [94.0, 263.0, 1175.0, 36.0], shoonya_1s81JOR6ZCRKJ9, 5683602]
[paragraph, [94.0, 299.0, 1175.0, 36.0], shoonya_1s81JOR6ZCRKJ9, 5683602]
[paragraph, [94.0, 335.0, 1175.0, 36.0], shoonya_1s81JOR6ZCRKJ9, 5683602]
[paragraph, [94.0, 371.0, 1175.0, 36.0], shoonya_1s81JOR6ZCRKJ9, 5683602]
[paragraph, [94.0, 407.0, 1175.0, 36.0], shoonya_1s81JOR6ZCRKJ9, 5683602]
[paragraph, [94.0, 443.0, 1175.0, 36.0], shoonya_1s81JOR6ZCRKJ9, 5683602]
[paragraph, [94.0, 479.0, 1175.0, 36.0], shoonya_1s81JOR6ZCRKJ9, 5683602]
[paragraph, [94.0, 515.0, 1175.0, 36.0], shoonya_1s81JOR6ZCRKJ9, 5683602]
[paragraph, [94.0, 551.0, 1175.0, 36.0], shoonya_1s81JOR6ZCRKJ9, 5683602]
[paragraph, [94.0, 587.0, 1175.0, 36.0], shoonya_1s81JOR6ZCRKJ9, 5683602]
[paragraph, [94.0, 623.0, 1175.0, 36.0], shoonya_1s81JOR6ZCRKJ9, 5683602]
[paragraph, [94.0, 659.0, 1175.0, 36.0], shoonya_1s81JOR6ZCRKJ9, 5683602]
[paragraph, [94.0, 695.0, 1175.0, 36.0], shoonya_1s81JOR6ZCRKJ9, 5683602]
[paragraph, [95.0, 742.0, 1186.0, 36.0], shoonya_0sDGF9XDQ4QA77, 5683602]
[paragraph, [95.0, 778.0, 1186.0, 36.0], shoonya_0sDGF9XDQ4QA77, 5683602]
[paragraph, [95.0, 814.0, 1186.0, 36.0], shoonya_0sDGF9XDQ4QA77, 5683602]
[paragraph, [95.0, 850.0, 1186.0, 36.0], shoonya_0sDGF9XDQ4QA77, 5683602]
[paragraph, [95.0, 886.0, 1186.0, 36.0], shoonya_0sDGF9XDQ4QA77, 5683602]
[paragraph, [95.0, 922.0, 1186.0, 36.0], shoonya_0sDGF9XDQ4QA77, 5683602]
[paragraph, [95.0, 958.0, 1186.0, 36.0], shoonya_0sDGF9XDQ4QA77, 5683602]
[paragraph, [95.0, 994.0, 1186.0, 36.0], shoonya_0sDGF9XDQ4QA77, 5683602]
[paragraph, [95.0, 1030.0, 1186.0, 36.0], shoonya_0sDGF9XDQ4QA77, 5683602]
[paragraph, [95.0, 1066.0, 1186.0, 36.0], shoonya_0sDGF9XDQ4QA77, 5683602]
[paragraph, [95.0, 1102.0, 1186.0, 36.0], shoonya_0sDGF9XDQ4QA77, 5683602]
[paragraph, [95.0, 1138.0, 1186.0, 36.0], shoonya_0sDGF9XDQ4QA77, 5683602]
[paragraph, [95.0, 1174.0, 1186.0, 36.0], shoonya_0sDGF9XDQ4QA77, 5683602]
[paragraph, [95.0, 1210.0, 1186.0, 36.0], shoonya_0sDGF9XDQ4QA77, 5683602]
[paragraph, [95.0, 1246.0, 1186.0, 36.0], shoonya_0sDGF9XDQ4QA77, 5683602]
[paragraph, [95.0, 1282.0, 1186.0, 36.0], shoonya_0sDGF9XDQ4QA77, 5683602]
[paragraph, [95.0, 1318.0, 1186.0, 36.0], shoonya_0sDGF9XDQ4QA77, 5683602]
[paragraph, [90.0, 1369.0, 1189.0, 36.0], rt5ey2wxqB, 5683602]
[paragraph, [90.0, 1405.0, 1189.0, 36.0], rt5ey2wxqB, 5683602]
[paragraph, [90.0, 1441.0, 1189.0, 36.0], rt5ey2wxqB, 5683602]
[paragraph, [90.0, 1477.0, 1189.0, 36.0], rt5ey2wxqB, 5683602]
[paragraph, [90.0, 1513.0, 1189.0, 36.0], rt5ey2wxqB, 5683602]
[paragraph, [90.0, 1549.0, 1189.0, 36.0], rt5ey2wxqB, 5683602]
[paragraph, [90.0, 1585.0, 1189.0, 36.0], rt5ey2wxqB, 5683602]
[paragraph, [90.0, 1621.0, 1189.0, 36.0], rt5ey2wxqB, 5683602]
[paragraph, [156.0, 1681.0, 1122.0, 36.0], VAZMcE6Iah, 5683602]
