[612, 792]
[paragraph, [443.0, 49.0, 297.0, 18.0], shoonya_0sQ3RBXR6Y5WJ4, 5725860]
[paragraph, [443.0, 67.0, 297.0, 18.0], shoonya_0sQ3RBXR6Y5WJ4, 5725860]
[paragraph, [443.0, 85.0, 297.0, 18.0], shoonya_0sQ3RBXR6Y5WJ4, 5725860]
[paragraph, [443.0, 103.0, 297.0, 18.0], shoonya_0sQ3RBXR6Y5WJ4, 5725860]
[paragraph, [48.0, 72.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 90.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 108.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 126.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 144.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 162.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 180.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 198.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 216.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 234.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 252.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 270.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 288.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 306.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 324.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 342.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 360.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 378.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 396.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 414.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 432.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 450.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 468.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 486.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 504.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [48.0, 522.0, 307.0, 18.0], shoonya_4sYAA0MMKXOOQ6, 5725860]
[paragraph, [443.0, 152.0, 298.0, 18.0], shoonya_1s5VH9L7I3HZKB, 5725860]
[paragraph, [443.0, 170.0, 298.0, 18.0], shoonya_1s5VH9L7I3HZKB, 5725860]
[paragraph, [443.0, 188.0, 298.0, 18.0], shoonya_1s5VH9L7I3HZKB, 5725860]
[paragraph, [443.0, 206.0, 298.0, 18.0], shoonya_1s5VH9L7I3HZKB, 5725860]
[paragraph, [443.0, 224.0, 298.0, 18.0], shoonya_1s5VH9L7I3HZKB, 5725860]
[paragraph, [443.0, 242.0, 298.0, 18.0], shoonya_1s5VH9L7I3HZKB, 5725860]
[paragraph, [443.0, 260.0, 298.0, 18.0], shoonya_1s5VH9L7I3HZKB, 5725860]
[paragraph, [442.0, 325.0, 298.0, 18.0], shoonya_2sK5RVB83WL24O, 5725860]
[paragraph, [442.0, 343.0, 298.0, 18.0], shoonya_2sK5RVB83WL24O, 5725860]
[paragraph, [442.0, 361.0, 298.0, 18.0], shoonya_2sK5RVB83WL24O, 5725860]
[paragraph, [442.0, 379.0, 298.0, 18.0], shoonya_2sK5RVB83WL24O, 5725860]
[paragraph, [442.0, 397.0, 298.0, 18.0], shoonya_2sK5RVB83WL24O, 5725860]
[paragraph, [442.0, 415.0, 298.0, 18.0], shoonya_2sK5RVB83WL24O, 5725860]
[paragraph, [442.0, 433.0, 298.0, 18.0], shoonya_2sK5RVB83WL24O, 5725860]
[paragraph, [442.0, 451.0, 298.0, 18.0], shoonya_2sK5RVB83WL24O, 5725860]
[paragraph, [443.0, 474.0, 296.0, 18.0], shoonya_8sYBGS3RVCQDQ9, 5725860]
[paragraph, [443.0, 492.0, 296.0, 18.0], shoonya_8sYBGS3RVCQDQ9, 5725860]
[paragraph, [443.0, 510.0, 296.0, 18.0], shoonya_8sYBGS3RVCQDQ9, 5725860]
[paragraph, [443.0, 528.0, 296.0, 18.0], shoonya_8sYBGS3RVCQDQ9, 5725860]
