[792, 612]
[folio, [254.0, 54.0, 74.0, 18.0], shoonya_0sIS27KOVKVRAD, 6493890]
[paragraph, [127.0, 99.0, 244.0, 18.0], pzOr6VrCSo, 6493890]
[paragraph, [128.0, 119.0, 277.0, 18.0], fGRtLnWxFU, 6493890]
[paragraph, [128.0, 141.0, 115.0, 18.0], Vt2abrUToT, 6493890]
[paragraph, [127.0, 162.0, 86.0, 18.0], CU8ArRbUsW, 6493890]
[paragraph, [93.0, 242.0, 400.0, 18.0], UnLcCy0jEl, 6493890]
[paragraph, [93.0, 260.0, 400.0, 18.0], UnLcCy0jEl, 6493890]
[paragraph, [93.0, 278.0, 400.0, 18.0], UnLcCy0jEl, 6493890]
[paragraph, [93.0, 296.0, 400.0, 18.0], UnLcCy0jEl, 6493890]
[paragraph, [93.0, 314.0, 400.0, 18.0], UnLcCy0jEl, 6493890]
[paragraph, [93.0, 332.0, 400.0, 18.0], UnLcCy0jEl, 6493890]
[paragraph, [93.0, 350.0, 400.0, 18.0], UnLcCy0jEl, 6493890]
[paragraph, [93.0, 368.0, 400.0, 18.0], UnLcCy0jEl, 6493890]
[paragraph, [93.0, 386.0, 400.0, 18.0], UnLcCy0jEl, 6493890]
[paragraph, [93.0, 404.0, 400.0, 18.0], UnLcCy0jEl, 6493890]
[paragraph, [93.0, 422.0, 400.0, 18.0], UnLcCy0jEl, 6493890]
[paragraph, [92.0, 442.0, 403.0, 18.0], bve7E3Rw7p, 6493890]
[paragraph, [92.0, 460.0, 403.0, 18.0], bve7E3Rw7p, 6493890]
[paragraph, [92.0, 478.0, 403.0, 18.0], bve7E3Rw7p, 6493890]
[paragraph, [92.0, 496.0, 403.0, 18.0], bve7E3Rw7p, 6493890]
[paragraph, [92.0, 514.0, 403.0, 18.0], bve7E3Rw7p, 6493890]
[paragraph, [92.0, 532.0, 403.0, 18.0], bve7E3Rw7p, 6493890]
[paragraph, [98.0, 563.0, 406.0, 18.0], M8Wcqz_lqx, 6493890]
[paragraph, [98.0, 581.0, 406.0, 18.0], M8Wcqz_lqx, 6493890]
[paragraph, [98.0, 599.0, 406.0, 18.0], M8Wcqz_lqx, 6493890]
[paragraph, [101.0, 623.0, 400.0, 18.0], diPHaL6TKx, 6493890]
[paragraph, [101.0, 641.0, 400.0, 18.0], diPHaL6TKx, 6493890]
[paragraph, [101.0, 662.0, 399.0, 18.0], 2qqAfMO4Yk, 6493890]
[paragraph, [101.0, 680.0, 399.0, 18.0], 2qqAfMO4Yk, 6493890]
