[1754, 1241]
[sub-section-title, [536.0, 207.0, 198.0, 36.0], VKb584FiF4, 6477984]
[paragraph, [139.0, 337.0, 967.0, 36.0], shoonya_0sZGXSCX4A0S00, 6477984]
[paragraph, [139.0, 373.0, 967.0, 36.0], shoonya_0sZGXSCX4A0S00, 6477984]
[paragraph, [139.0, 409.0, 967.0, 36.0], shoonya_0sZGXSCX4A0S00, 6477984]
[paragraph, [139.0, 445.0, 967.0, 36.0], shoonya_0sZGXSCX4A0S00, 6477984]
[paragraph, [139.0, 481.0, 967.0, 36.0], shoonya_0sZGXSCX4A0S00, 6477984]
[paragraph, [139.0, 517.0, 967.0, 36.0], shoonya_0sZGXSCX4A0S00, 6477984]
[paragraph, [131.0, 652.0, 976.0, 36.0], DmscHnjKbR, 6477984]
[paragraph, [131.0, 688.0, 976.0, 36.0], DmscHnjKbR, 6477984]
[paragraph, [131.0, 724.0, 976.0, 36.0], DmscHnjKbR, 6477984]
[paragraph, [131.0, 760.0, 976.0, 36.0], DmscHnjKbR, 6477984]
[paragraph, [129.0, 828.0, 980.0, 36.0], shoonya_4s836RLXBSA8Y8, 6477984]
[paragraph, [129.0, 864.0, 980.0, 36.0], shoonya_4s836RLXBSA8Y8, 6477984]
[paragraph, [129.0, 900.0, 980.0, 36.0], shoonya_4s836RLXBSA8Y8, 6477984]
[paragraph, [129.0, 936.0, 980.0, 36.0], shoonya_4s836RLXBSA8Y8, 6477984]
[paragraph, [129.0, 972.0, 980.0, 36.0], shoonya_4s836RLXBSA8Y8, 6477984]
[paragraph, [129.0, 1008.0, 980.0, 36.0], shoonya_4s836RLXBSA8Y8, 6477984]
[paragraph, [129.0, 1044.0, 980.0, 36.0], shoonya_4s836RLXBSA8Y8, 6477984]
[paragraph, [129.0, 1080.0, 980.0, 36.0], shoonya_4s836RLXBSA8Y8, 6477984]
[paragraph, [129.0, 1116.0, 980.0, 36.0], shoonya_4s836RLXBSA8Y8, 6477984]
