[1754, 1241]
[section-title, [507.0, 133.0, 289.0, 49.5], shoonya_0sR14A06JHDH7V, 5780662]
[sub-section-title, [481.0, 220.0, 210.0, 36.0], y2O7a_55YB, 5780662]
[subsub-section-title, [353.0, 284.0, 537.0, 43.5], _A8Eas_r60, 5780662]
[paragraph, [146.0, 363.0, 858.0, 36.0], lWDeuJ5EWg, 5780662]
[paragraph, [146.0, 399.0, 858.0, 36.0], lWDeuJ5EWg, 5780662]
[paragraph, [146.0, 435.0, 858.0, 36.0], lWDeuJ5EWg, 5780662]
[paragraph, [146.0, 471.0, 858.0, 36.0], lWDeuJ5EWg, 5780662]
[ordered-list, [152.0, 576.0, 843.0, 36.0], ruWqq4oWN5, 5780662]
[ordered-list, [152.0, 612.0, 843.0, 36.0], ruWqq4oWN5, 5780662]
[ordered-list, [152.0, 648.0, 843.0, 36.0], ruWqq4oWN5, 5780662]
[ordered-list, [152.0, 684.0, 843.0, 36.0], ruWqq4oWN5, 5780662]
[ordered-list, [152.0, 720.0, 843.0, 36.0], ruWqq4oWN5, 5780662]
[ordered-list, [152.0, 756.0, 843.0, 36.0], ruWqq4oWN5, 5780662]
[ordered-list, [152.0, 792.0, 843.0, 36.0], ruWqq4oWN5, 5780662]
[ordered-list, [152.0, 828.0, 843.0, 36.0], ruWqq4oWN5, 5780662]
[ordered-list, [152.0, 864.0, 843.0, 36.0], ruWqq4oWN5, 5780662]
[ordered-list, [152.0, 900.0, 843.0, 36.0], ruWqq4oWN5, 5780662]
[ordered-list, [152.0, 936.0, 843.0, 36.0], ruWqq4oWN5, 5780662]
[ordered-list, [152.0, 972.0, 843.0, 36.0], ruWqq4oWN5, 5780662]
[ordered-list, [152.0, 1008.0, 843.0, 36.0], ruWqq4oWN5, 5780662]
[ordered-list, [152.0, 1044.0, 843.0, 36.0], ruWqq4oWN5, 5780662]
[ordered-list, [152.0, 1080.0, 843.0, 36.0], ruWqq4oWN5, 5780662]
[ordered-list, [152.0, 1116.0, 843.0, 36.0], ruWqq4oWN5, 5780662]
[ordered-list, [152.0, 1152.0, 843.0, 36.0], ruWqq4oWN5, 5780662]
[sub-ordered-list, [169.0, 611.0, 828.0, 36.0], lekDXtAVi5, 5780662]
[sub-ordered-list, [169.0, 647.0, 828.0, 36.0], lekDXtAVi5, 5780662]
[sub-ordered-list, [164.0, 766.0, 826.0, 36.0], eUnJ93c3Ma, 5780662]
[sub-ordered-list, [164.0, 802.0, 826.0, 36.0], eUnJ93c3Ma, 5780662]
[sub-ordered-list, [159.0, 925.0, 836.0, 36.0], i-UKSJ4ocB, 5780662]
[sub-ordered-list, [159.0, 961.0, 836.0, 36.0], i-UKSJ4ocB, 5780662]
[sub-ordered-list, [166.0, 1076.0, 828.0, 36.0], mZAAgTObx-, 5780662]
[sub-ordered-list, [166.0, 1112.0, 828.0, 36.0], mZAAgTObx-, 5780662]
