[842, 595]
[paragraph, [219.0, 92.0, 158.0, 18.0], shoonya_4sZDDB5JMC3HHU, 5742389]
[paragraph, [219.0, 110.0, 158.0, 18.0], shoonya_4sZDDB5JMC3HHU, 5742389]
[paragraph, [219.0, 128.0, 158.0, 18.0], shoonya_4sZDDB5JMC3HHU, 5742389]
[paragraph, [383.0, 93.0, 159.0, 18.0], shoonya_5sT0VVF8SIRKBA, 5742389]
[paragraph, [383.0, 111.0, 159.0, 18.0], shoonya_5sT0VVF8SIRKBA, 5742389]
[paragraph, [383.0, 129.0, 159.0, 18.0], shoonya_5sT0VVF8SIRKBA, 5742389]
[paragraph, [383.0, 147.0, 159.0, 18.0], shoonya_5sT0VVF8SIRKBA, 5742389]
[paragraph, [383.0, 165.0, 159.0, 18.0], shoonya_5sT0VVF8SIRKBA, 5742389]
[contact-info, [57.0, 111.0, 149.0, 18.0], L3TcgrWwv8, 5742389]
[contact-info, [57.0, 129.0, 149.0, 18.0], L3TcgrWwv8, 5742389]
[paragraph, [218.0, 163.0, 160.0, 18.0], shoonya_3sKORYYLQYL2PN, 5742389]
[paragraph, [218.0, 181.0, 160.0, 18.0], shoonya_3sKORYYLQYL2PN, 5742389]
[paragraph, [218.0, 199.0, 160.0, 18.0], shoonya_3sKORYYLQYL2PN, 5742389]
[paragraph, [218.0, 217.0, 160.0, 18.0], shoonya_3sKORYYLQYL2PN, 5742389]
[paragraph, [218.0, 235.0, 160.0, 18.0], shoonya_3sKORYYLQYL2PN, 5742389]
[paragraph, [218.0, 253.0, 160.0, 18.0], shoonya_3sKORYYLQYL2PN, 5742389]
[paragraph, [218.0, 271.0, 160.0, 18.0], shoonya_3sKORYYLQYL2PN, 5742389]
[paragraph, [218.0, 289.0, 160.0, 18.0], shoonya_3sKORYYLQYL2PN, 5742389]
[paragraph, [218.0, 307.0, 160.0, 18.0], shoonya_3sKORYYLQYL2PN, 5742389]
[paragraph, [218.0, 325.0, 160.0, 18.0], shoonya_3sKORYYLQYL2PN, 5742389]
[paragraph, [383.0, 193.0, 159.0, 18.0], shoonya_1sYZ64EN8HV5J2, 5742389]
[paragraph, [383.0, 211.0, 159.0, 18.0], shoonya_1sYZ64EN8HV5J2, 5742389]
[paragraph, [383.0, 229.0, 159.0, 18.0], shoonya_1sYZ64EN8HV5J2, 5742389]
[paragraph, [383.0, 247.0, 159.0, 18.0], shoonya_1sYZ64EN8HV5J2, 5742389]
[paragraph, [383.0, 265.0, 159.0, 18.0], shoonya_1sYZ64EN8HV5J2, 5742389]
[paragraph, [383.0, 283.0, 159.0, 18.0], shoonya_1sYZ64EN8HV5J2, 5742389]
[paragraph, [383.0, 301.0, 159.0, 18.0], shoonya_1sYZ64EN8HV5J2, 5742389]
[paragraph, [383.0, 319.0, 159.0, 18.0], shoonya_1sYZ64EN8HV5J2, 5742389]
[paragraph, [383.0, 337.0, 159.0, 18.0], shoonya_1sYZ64EN8HV5J2, 5742389]
[paragraph, [383.0, 355.0, 159.0, 18.0], shoonya_1sYZ64EN8HV5J2, 5742389]
[paragraph, [53.0, 231.0, 159.0, 18.0], shoonya_10s2M7PU2F3O2U, 5742389]
[paragraph, [53.0, 249.0, 159.0, 18.0], shoonya_10s2M7PU2F3O2U, 5742389]
[paragraph, [53.0, 267.0, 159.0, 18.0], shoonya_10s2M7PU2F3O2U, 5742389]
[paragraph, [53.0, 285.0, 159.0, 18.0], shoonya_10s2M7PU2F3O2U, 5742389]
[paragraph, [53.0, 303.0, 159.0, 18.0], shoonya_10s2M7PU2F3O2U, 5742389]
[paragraph, [53.0, 321.0, 159.0, 18.0], shoonya_10s2M7PU2F3O2U, 5742389]
[paragraph, [53.0, 339.0, 159.0, 18.0], shoonya_10s2M7PU2F3O2U, 5742389]
[paragraph, [53.0, 357.0, 159.0, 18.0], shoonya_10s2M7PU2F3O2U, 5742389]
[paragraph, [53.0, 375.0, 159.0, 18.0], shoonya_10s2M7PU2F3O2U, 5742389]
[paragraph, [53.0, 393.0, 159.0, 18.0], shoonya_10s2M7PU2F3O2U, 5742389]
[paragraph, [53.0, 411.0, 159.0, 18.0], shoonya_10s2M7PU2F3O2U, 5742389]
[paragraph, [53.0, 429.0, 159.0, 18.0], shoonya_10s2M7PU2F3O2U, 5742389]
[paragraph, [53.0, 447.0, 159.0, 18.0], shoonya_10s2M7PU2F3O2U, 5742389]
[paragraph, [53.0, 465.0, 159.0, 18.0], shoonya_10s2M7PU2F3O2U, 5742389]
[paragraph, [53.0, 483.0, 159.0, 18.0], shoonya_10s2M7PU2F3O2U, 5742389]
[paragraph, [53.0, 501.0, 159.0, 18.0], shoonya_10s2M7PU2F3O2U, 5742389]
[paragraph, [218.0, 359.0, 158.0, 18.0], shoonya_6sHJ66FAEMZVBF, 5742389]
[paragraph, [218.0, 377.0, 158.0, 18.0], shoonya_6sHJ66FAEMZVBF, 5742389]
[paragraph, [218.0, 395.0, 158.0, 18.0], shoonya_6sHJ66FAEMZVBF, 5742389]
[paragraph, [218.0, 413.0, 158.0, 18.0], shoonya_6sHJ66FAEMZVBF, 5742389]
