[2339, 1656]
[paragraph, [180.0, 188.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 224.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 260.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 296.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 332.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 368.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 404.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 440.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 476.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 512.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 548.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 584.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 620.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 656.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 692.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 728.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 764.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 800.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 836.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 872.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 908.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 944.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 980.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 1016.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 1052.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 1088.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 1124.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 1160.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 1196.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 1232.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 1268.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 1304.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 1340.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [180.0, 1376.0, 1306.0, 36.0], shoonya_1sL6QIVBV6L090, 5730775]
[paragraph, [178.0, 1459.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
[paragraph, [178.0, 1495.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
[paragraph, [178.0, 1531.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
[paragraph, [178.0, 1567.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
[paragraph, [178.0, 1603.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
[paragraph, [178.0, 1639.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
[paragraph, [178.0, 1675.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
[paragraph, [178.0, 1711.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
[paragraph, [178.0, 1747.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
[paragraph, [178.0, 1783.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
[paragraph, [178.0, 1819.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
[paragraph, [178.0, 1855.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
[paragraph, [178.0, 1891.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
[paragraph, [178.0, 1927.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
[paragraph, [178.0, 1963.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
[paragraph, [178.0, 1999.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
[paragraph, [178.0, 2035.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
[paragraph, [178.0, 2071.0, 1295.0, 36.0], shoonya_0sMD5K9R75FZVO, 5730775]
