[2000, 1414]
[headline, [569.0, 122.0, 734.0, 67.5], shoonya_3s3QZLEPB50NXV, 6491503]
[headline, [569.0, 189.5, 734.0, 67.5], shoonya_3s3QZLEPB50NXV, 6491503]
[headline, [569.0, 257.0, 734.0, 67.5], shoonya_3s3QZLEPB50NXV, 6491503]
[headline, [569.0, 324.5, 734.0, 67.5], shoonya_3s3QZLEPB50NXV, 6491503]
[headline, [569.0, 392.0, 734.0, 67.5], shoonya_3s3QZLEPB50NXV, 6491503]
[author, [67.0, 571.0, 114.0, 36.0], shoonya_6sCW2QF46WPHI6, 6491503]
[paragraph, [71.0, 689.0, 439.0, 36.0], shoonya_2sN48KXTPXK5VQ, 6491503]
[paragraph, [71.0, 725.0, 439.0, 36.0], shoonya_2sN48KXTPXK5VQ, 6491503]
[paragraph, [71.0, 761.0, 439.0, 36.0], shoonya_2sN48KXTPXK5VQ, 6491503]
[paragraph, [71.0, 797.0, 439.0, 36.0], shoonya_2sN48KXTPXK5VQ, 6491503]
[paragraph, [71.0, 833.0, 439.0, 36.0], shoonya_2sN48KXTPXK5VQ, 6491503]
[paragraph, [71.0, 869.0, 439.0, 36.0], shoonya_2sN48KXTPXK5VQ, 6491503]
[paragraph, [71.0, 905.0, 439.0, 36.0], shoonya_2sN48KXTPXK5VQ, 6491503]
[paragraph, [71.0, 941.0, 439.0, 36.0], shoonya_2sN48KXTPXK5VQ, 6491503]
[paragraph, [570.0, 1387.0, 776.0, 36.0], shoonya_1sH47WZP5XCIJ9, 6491503]
[paragraph, [570.0, 1423.0, 776.0, 36.0], shoonya_1sH47WZP5XCIJ9, 6491503]
[paragraph, [570.0, 1459.0, 776.0, 36.0], shoonya_1sH47WZP5XCIJ9, 6491503]
[paragraph, [570.0, 1495.0, 776.0, 36.0], shoonya_1sH47WZP5XCIJ9, 6491503]
[paragraph, [570.0, 1531.0, 776.0, 36.0], shoonya_1sH47WZP5XCIJ9, 6491503]
[paragraph, [570.0, 1567.0, 776.0, 36.0], shoonya_1sH47WZP5XCIJ9, 6491503]
[paragraph, [570.0, 1603.0, 776.0, 36.0], shoonya_1sH47WZP5XCIJ9, 6491503]
[paragraph, [570.0, 1639.0, 776.0, 36.0], shoonya_1sH47WZP5XCIJ9, 6491503]
[folio, [68.0, 1874.0, 229.0, 36.0], shoonya_5s4CSDGUOT9AKX, 6491503]
