[792, 612]
[section-title, [106.0, 46.0, 181.0, 30.0], SauXuc57rt, 5769960]
[paragraph, [111.0, 95.0, 423.0, 18.0], shoonya_0sLJZSPWOBREK5, 5769960]
[paragraph, [111.0, 113.0, 423.0, 18.0], shoonya_0sLJZSPWOBREK5, 5769960]
[paragraph, [111.0, 131.0, 423.0, 18.0], shoonya_0sLJZSPWOBREK5, 5769960]
[paragraph, [111.0, 149.0, 423.0, 18.0], shoonya_0sLJZSPWOBREK5, 5769960]
[paragraph, [111.0, 167.0, 423.0, 18.0], shoonya_0sLJZSPWOBREK5, 5769960]
[paragraph, [111.0, 185.0, 423.0, 18.0], shoonya_0sLJZSPWOBREK5, 5769960]
[paragraph, [111.0, 203.0, 423.0, 18.0], shoonya_0sLJZSPWOBREK5, 5769960]
[paragraph, [111.0, 221.0, 423.0, 18.0], shoonya_0sLJZSPWOBREK5, 5769960]
[paragraph, [111.0, 239.0, 423.0, 18.0], shoonya_0sLJZSPWOBREK5, 5769960]
[paragraph, [111.0, 257.0, 423.0, 18.0], shoonya_0sLJZSPWOBREK5, 5769960]
[paragraph, [111.0, 359.0, 423.0, 18.0], shoonya_5sMM7XG0BDZJ60, 5769960]
[paragraph, [111.0, 377.0, 423.0, 18.0], shoonya_5sMM7XG0BDZJ60, 5769960]
[paragraph, [111.0, 395.0, 423.0, 18.0], shoonya_5sMM7XG0BDZJ60, 5769960]
[paragraph, [111.0, 413.0, 423.0, 18.0], shoonya_5sMM7XG0BDZJ60, 5769960]
[paragraph, [111.0, 431.0, 423.0, 18.0], shoonya_5sMM7XG0BDZJ60, 5769960]
[paragraph, [111.0, 449.0, 423.0, 18.0], shoonya_5sMM7XG0BDZJ60, 5769960]
[paragraph, [111.0, 467.0, 423.0, 18.0], shoonya_5sMM7XG0BDZJ60, 5769960]
[paragraph, [111.0, 485.0, 423.0, 18.0], shoonya_5sMM7XG0BDZJ60, 5769960]
[paragraph, [111.0, 503.0, 423.0, 18.0], shoonya_5sMM7XG0BDZJ60, 5769960]
[ordered-list, [113.0, 530.0, 411.0, 18.0], shoonya_3sAMR8CUGA73XI, 5769960]
[ordered-list, [113.0, 548.0, 411.0, 18.0], shoonya_3sAMR8CUGA73XI, 5769960]
[ordered-list, [113.0, 566.0, 411.0, 18.0], shoonya_3sAMR8CUGA73XI, 5769960]
[paragraph, [111.0, 622.0, 422.0, 18.0], shoonya_7sFJES24Z9DY76, 5769960]
[paragraph, [111.0, 640.0, 422.0, 18.0], shoonya_7sFJES24Z9DY76, 5769960]
[paragraph, [111.0, 658.0, 422.0, 18.0], shoonya_7sFJES24Z9DY76, 5769960]
[paragraph, [111.0, 676.0, 422.0, 18.0], shoonya_7sFJES24Z9DY76, 5769960]
[paragraph, [111.0, 694.0, 422.0, 18.0], shoonya_7sFJES24Z9DY76, 5769960]
