[2339, 1653]
[paragraph, [321.0, 163.0, 1142.0, 36.0], shoonya_2sBODRN5U41F50, 5733755]
[paragraph, [321.0, 199.0, 1142.0, 36.0], shoonya_2sBODRN5U41F50, 5733755]
[paragraph, [321.0, 235.0, 1142.0, 36.0], shoonya_2sBODRN5U41F50, 5733755]
[paragraph, [321.0, 271.0, 1142.0, 36.0], shoonya_2sBODRN5U41F50, 5733755]
[paragraph, [321.0, 307.0, 1142.0, 36.0], shoonya_2sBODRN5U41F50, 5733755]
[paragraph, [321.0, 343.0, 1142.0, 36.0], shoonya_2sBODRN5U41F50, 5733755]
[paragraph, [321.0, 379.0, 1142.0, 36.0], shoonya_2sBODRN5U41F50, 5733755]
[paragraph, [321.0, 415.0, 1142.0, 36.0], shoonya_2sBODRN5U41F50, 5733755]
[paragraph, [321.0, 451.0, 1142.0, 36.0], shoonya_2sBODRN5U41F50, 5733755]
[paragraph, [321.0, 487.0, 1142.0, 36.0], shoonya_2sBODRN5U41F50, 5733755]
[paragraph, [324.0, 584.0, 1138.0, 36.0], shoonya_3sY7S1N71MJU3W, 5733755]
[paragraph, [324.0, 620.0, 1138.0, 36.0], shoonya_3sY7S1N71MJU3W, 5733755]
[paragraph, [324.0, 656.0, 1138.0, 36.0], shoonya_3sY7S1N71MJU3W, 5733755]
[paragraph, [324.0, 692.0, 1138.0, 36.0], shoonya_3sY7S1N71MJU3W, 5733755]
[paragraph, [324.0, 728.0, 1138.0, 36.0], shoonya_3sY7S1N71MJU3W, 5733755]
[paragraph, [324.0, 764.0, 1138.0, 36.0], shoonya_3sY7S1N71MJU3W, 5733755]
[paragraph, [324.0, 800.0, 1138.0, 36.0], shoonya_3sY7S1N71MJU3W, 5733755]
[paragraph, [324.0, 836.0, 1138.0, 36.0], shoonya_3sY7S1N71MJU3W, 5733755]
[paragraph, [324.0, 872.0, 1138.0, 36.0], shoonya_3sY7S1N71MJU3W, 5733755]
[section-title, [390.0, 966.0, 681.0, 52.5], shoonya_5sKKAHKFAQ62C6, 5733755]
[paragraph, [326.0, 1037.0, 1132.0, 36.0], shoonya_1sHY6XDNDDGWVH, 5733755]
[paragraph, [326.0, 1073.0, 1132.0, 36.0], shoonya_1sHY6XDNDDGWVH, 5733755]
[paragraph, [326.0, 1109.0, 1132.0, 36.0], shoonya_1sHY6XDNDDGWVH, 5733755]
[paragraph, [326.0, 1145.0, 1132.0, 36.0], shoonya_1sHY6XDNDDGWVH, 5733755]
[paragraph, [326.0, 1181.0, 1132.0, 36.0], shoonya_1sHY6XDNDDGWVH, 5733755]
[paragraph, [326.0, 1217.0, 1132.0, 36.0], shoonya_1sHY6XDNDDGWVH, 5733755]
[paragraph, [324.0, 1255.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1291.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1327.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1363.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1399.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1435.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1471.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1507.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1543.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1579.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1615.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1651.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1687.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1723.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1759.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1795.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1831.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1867.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1903.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1939.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[paragraph, [324.0, 1975.0, 1135.0, 36.0], shoonya_0sH7R2DL1GFSUK, 5733755]
[folio, [1180.0, 2149.0, 212.0, 36.0], ymbLA5I1TO, 5733755]
