[1839, 1268]
[paragraph, [165.0, 208.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 244.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 280.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 316.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 352.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 388.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 424.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 460.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 496.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 532.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 568.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 604.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 640.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 676.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 712.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 748.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 784.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 820.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 856.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 892.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 928.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 964.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1000.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1036.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1072.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1108.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1144.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1180.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1216.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1252.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1288.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1324.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1360.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1396.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1432.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1468.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1504.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1540.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1576.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
[paragraph, [165.0, 1612.0, 956.0, 36.0], shoonya_0sZ2J10Z41B8JO, 5743905]
