[792, 612]
[paragraph, [65.0, 88.0, 401.0, 18.0], shoonya_0sD6Q92T75WOQS, 6461802]
[paragraph, [67.0, 114.0, 351.0, 18.0], r67yNmUgvk, 6461802]
[paragraph, [69.0, 140.0, 351.0, 18.0], C9lTPEOTMV, 6461802]
[paragraph, [69.0, 164.0, 380.0, 18.0], zzQz-8w_Ub, 6461802]
[ordered-list, [69.0, 196.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 214.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 232.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 250.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 268.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 286.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 304.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 322.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 340.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 358.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 376.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 394.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 412.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 430.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 448.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 466.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 484.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 502.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 520.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 538.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 556.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 574.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 592.0, 494.0, 18.0], beQw02ksyE, 6461802]
[ordered-list, [69.0, 610.0, 494.0, 18.0], beQw02ksyE, 6461802]
[sub-ordered-list, [63.0, 221.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 239.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 257.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 275.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 293.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 311.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 329.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 347.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 365.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 383.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 401.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 419.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 437.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 455.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 473.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 491.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 509.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 527.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 545.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 563.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 581.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 599.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[sub-ordered-list, [63.0, 617.0, 500.0, 18.0], j65Va61aNZ, 6461802]
[subsub-ordered-list, [68.0, 287.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 305.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 323.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 341.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 359.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 377.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 395.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 413.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 431.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 449.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 467.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 485.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 503.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 521.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 539.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 557.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 575.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 593.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[subsub-ordered-list, [68.0, 611.0, 488.0, 18.0], fVYT-wPDQl, 6461802]
[paragraph, [64.0, 658.0, 403.0, 18.0], 1F8xyfqJrG, 6461802]
[paragraph, [65.0, 683.0, 257.0, 18.0], AQrBgDhsAJ, 6461802]
