[1492, 1000]
[folio, [416.0, 151.0, 180.0, 18.0], shoonya_2sY0P49XYBTEZF, 5720367]
[paragraph, [138.0, 203.0, 749.0, 18.0], shoonya_0s8J0O4HCUQ19Z, 5720367]
[paragraph, [138.0, 221.0, 749.0, 18.0], shoonya_0s8J0O4HCUQ19Z, 5720367]
[paragraph, [138.0, 239.0, 749.0, 18.0], shoonya_0s8J0O4HCUQ19Z, 5720367]
[paragraph, [138.0, 257.0, 749.0, 18.0], shoonya_0s8J0O4HCUQ19Z, 5720367]
[paragraph, [138.0, 275.0, 749.0, 18.0], shoonya_0s8J0O4HCUQ19Z, 5720367]
[paragraph, [138.0, 293.0, 749.0, 18.0], shoonya_0s8J0O4HCUQ19Z, 5720367]
[paragraph, [138.0, 311.0, 749.0, 18.0], shoonya_0s8J0O4HCUQ19Z, 5720367]
[paragraph, [138.0, 329.0, 749.0, 18.0], shoonya_0s8J0O4HCUQ19Z, 5720367]
[paragraph, [138.0, 347.0, 749.0, 18.0], shoonya_0s8J0O4HCUQ19Z, 5720367]
[paragraph, [138.0, 365.0, 749.0, 18.0], shoonya_0s8J0O4HCUQ19Z, 5720367]
[paragraph, [138.0, 383.0, 749.0, 18.0], shoonya_0s8J0O4HCUQ19Z, 5720367]
[paragraph, [138.0, 401.0, 749.0, 18.0], shoonya_0s8J0O4HCUQ19Z, 5720367]
[paragraph, [138.0, 419.0, 749.0, 18.0], shoonya_0s8J0O4HCUQ19Z, 5720367]
[paragraph, [138.0, 437.0, 749.0, 18.0], shoonya_0s8J0O4HCUQ19Z, 5720367]
[paragraph, [138.0, 455.0, 749.0, 18.0], shoonya_0s8J0O4HCUQ19Z, 5720367]
[paragraph, [138.0, 473.0, 749.0, 18.0], shoonya_0s8J0O4HCUQ19Z, 5720367]
[paragraph, [138.0, 491.0, 749.0, 18.0], shoonya_0s8J0O4HCUQ19Z, 5720367]
[paragraph, [143.0, 525.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 543.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 561.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 579.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 597.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 615.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 633.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 651.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 669.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 687.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 705.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 723.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 741.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 759.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 777.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 795.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 813.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 831.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 849.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 867.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 885.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 903.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 921.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 939.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 957.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 975.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 993.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 1011.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 1029.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 1047.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 1065.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 1083.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 1101.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 1119.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 1137.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 1155.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 1173.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 1191.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 1209.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 1227.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 1245.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 1263.0, 747.0, 18.0], mAkZAiljZX, 5720367]
[paragraph, [143.0, 1281.0, 747.0, 18.0], mAkZAiljZX, 5720367]
