[2481, 1654]
[folio, [336.0, 100.0, 145.0, 36.0], shoonya_1sMYQMTZK2SF6Y, 5721023]
[paragraph, [221.0, 216.0, 1266.0, 36.0], shoonya_2sIKEWI6Q24XCP, 5721023]
[paragraph, [221.0, 252.0, 1266.0, 36.0], shoonya_2sIKEWI6Q24XCP, 5721023]
[paragraph, [227.0, 326.0, 1259.0, 36.0], ngUcS8O9mo, 5721023]
[paragraph, [227.0, 362.0, 1259.0, 36.0], ngUcS8O9mo, 5721023]
[paragraph, [225.0, 430.0, 1265.0, 36.0], EAflDFMgTW, 5721023]
[paragraph, [225.0, 466.0, 1265.0, 36.0], EAflDFMgTW, 5721023]
[paragraph, [225.0, 502.0, 1265.0, 36.0], EAflDFMgTW, 5721023]
[paragraph, [225.0, 538.0, 1265.0, 36.0], EAflDFMgTW, 5721023]
[paragraph, [221.0, 587.0, 1267.0, 36.0], RMd6twAW7N, 5721023]
[paragraph, [221.0, 623.0, 1267.0, 36.0], RMd6twAW7N, 5721023]
[paragraph, [285.0, 690.0, 258.0, 36.0], V_wbiw6Q-z, 5721023]
[paragraph, [225.0, 738.0, 1263.0, 36.0], q1ZRVwDTSH, 5721023]
[paragraph, [225.0, 774.0, 1263.0, 36.0], q1ZRVwDTSH, 5721023]
[paragraph, [225.0, 810.0, 1263.0, 36.0], q1ZRVwDTSH, 5721023]
[paragraph, [279.0, 845.0, 642.0, 36.0], TCHuhLnSCZ, 5721023]
[paragraph, [221.0, 899.0, 1269.0, 36.0], wAAECF1W0n, 5721023]
[paragraph, [221.0, 935.0, 1269.0, 36.0], wAAECF1W0n, 5721023]
[paragraph, [279.0, 1002.0, 601.0, 36.0], 3IS5YtPTga, 5721023]
[paragraph, [279.0, 1054.0, 388.0, 36.0], 8KAb5L58iV, 5721023]
[paragraph, [279.0, 1106.0, 671.0, 36.0], glHI-Y6c8e, 5721023]
[paragraph, [279.0, 1157.0, 430.0, 36.0], iYi7IQz2_p, 5721023]
[paragraph, [223.0, 1209.0, 1271.0, 36.0], IEiuc-nmO7, 5721023]
[paragraph, [223.0, 1245.0, 1271.0, 36.0], IEiuc-nmO7, 5721023]
[paragraph, [223.0, 1281.0, 1271.0, 36.0], IEiuc-nmO7, 5721023]
[paragraph, [223.0, 1317.0, 1271.0, 36.0], IEiuc-nmO7, 5721023]
[paragraph, [281.0, 1366.0, 529.0, 36.0], oexnIC-oyj, 5721023]
[paragraph, [283.0, 1418.0, 312.0, 36.0], 7gwZuKfsJ0, 5721023]
[paragraph, [281.0, 1472.0, 458.0, 36.0], CEc-oijECu, 5721023]
[paragraph, [225.0, 1523.0, 1267.0, 36.0], Tqf_DGVxfp, 5721023]
[paragraph, [225.0, 1559.0, 1267.0, 36.0], Tqf_DGVxfp, 5721023]
[paragraph, [225.0, 1627.0, 1269.0, 36.0], 0u6ek6lmgo, 5721023]
[paragraph, [225.0, 1663.0, 1269.0, 36.0], 0u6ek6lmgo, 5721023]
[paragraph, [225.0, 1699.0, 1269.0, 36.0], 0u6ek6lmgo, 5721023]
[paragraph, [225.0, 1735.0, 1269.0, 36.0], 0u6ek6lmgo, 5721023]
[paragraph, [225.0, 1771.0, 1269.0, 36.0], 0u6ek6lmgo, 5721023]
[paragraph, [225.0, 1807.0, 1269.0, 36.0], 0u6ek6lmgo, 5721023]
[paragraph, [225.0, 1843.0, 1269.0, 36.0], 0u6ek6lmgo, 5721023]
[paragraph, [225.0, 1879.0, 1269.0, 36.0], 0u6ek6lmgo, 5721023]
[paragraph, [225.0, 1915.0, 1269.0, 36.0], 0u6ek6lmgo, 5721023]
[paragraph, [225.0, 1951.0, 1269.0, 36.0], 0u6ek6lmgo, 5721023]
[paragraph, [225.0, 1987.0, 1269.0, 36.0], 0u6ek6lmgo, 5721023]
[paragraph, [225.0, 2044.0, 1271.0, 36.0], _yHu1jT_Ki, 5721023]
[paragraph, [225.0, 2080.0, 1271.0, 36.0], _yHu1jT_Ki, 5721023]
[paragraph, [225.0, 2116.0, 1271.0, 36.0], _yHu1jT_Ki, 5721023]
[paragraph, [225.0, 2152.0, 1271.0, 36.0], _yHu1jT_Ki, 5721023]
