[1763, 1275]
[section-title, [52.0, 74.0, 594.0, 49.5], UGHlA8T7kE, 5713300]
[section-title, [688.0, 100.0, 583.0, 49.5], vMQz1uPwLw, 5713300]
[contact-info, [183.0, 173.0, 464.0, 36.0], shoonya_3sV9NY4YUNFXLI, 5713300]
[contact-info, [183.0, 209.0, 464.0, 36.0], shoonya_3sV9NY4YUNFXLI, 5713300]
[paragraph, [682.0, 194.0, 592.0, 36.0], Il6TPC27ri, 5713300]
[paragraph, [682.0, 230.0, 592.0, 36.0], Il6TPC27ri, 5713300]
[paragraph, [682.0, 266.0, 592.0, 36.0], Il6TPC27ri, 5713300]
[contact-info, [74.0, 294.0, 561.0, 36.0], uyL9w7SI4J, 5713300]
[contact-info, [74.0, 330.0, 561.0, 36.0], uyL9w7SI4J, 5713300]
[contact-info, [74.0, 366.0, 561.0, 36.0], uyL9w7SI4J, 5713300]
[contact-info, [74.0, 402.0, 561.0, 36.0], uyL9w7SI4J, 5713300]
[unordered-list, [674.0, 360.0, 597.0, 36.0], xmen3jvCOW, 5713300]
[unordered-list, [674.0, 396.0, 597.0, 36.0], xmen3jvCOW, 5713300]
[unordered-list, [674.0, 432.0, 597.0, 36.0], xmen3jvCOW, 5713300]
[unordered-list, [674.0, 468.0, 597.0, 36.0], xmen3jvCOW, 5713300]
[unordered-list, [674.0, 504.0, 597.0, 36.0], xmen3jvCOW, 5713300]
[unordered-list, [674.0, 540.0, 597.0, 36.0], xmen3jvCOW, 5713300]
[unordered-list, [674.0, 576.0, 597.0, 36.0], xmen3jvCOW, 5713300]
[unordered-list, [674.0, 612.0, 597.0, 36.0], xmen3jvCOW, 5713300]
[unordered-list, [674.0, 648.0, 597.0, 36.0], xmen3jvCOW, 5713300]
[contact-info, [76.0, 467.0, 554.0, 36.0], B3tR8bbZVB, 5713300]
[contact-info, [76.0, 503.0, 554.0, 36.0], B3tR8bbZVB, 5713300]
[contact-info, [76.0, 539.0, 554.0, 36.0], B3tR8bbZVB, 5713300]
[contact-info, [76.0, 575.0, 554.0, 36.0], B3tR8bbZVB, 5713300]
[contact-info, [76.0, 611.0, 554.0, 36.0], B3tR8bbZVB, 5713300]
[contact-info, [86.0, 672.0, 548.0, 36.0], wazG0qliKH, 5713300]
[contact-info, [86.0, 708.0, 548.0, 36.0], wazG0qliKH, 5713300]
[contact-info, [86.0, 744.0, 548.0, 36.0], wazG0qliKH, 5713300]
[contact-info, [86.0, 780.0, 548.0, 36.0], wazG0qliKH, 5713300]
[contact-info, [86.0, 816.0, 548.0, 36.0], wazG0qliKH, 5713300]
[paragraph, [715.0, 702.0, 540.0, 36.0], WwZfjcPbxa, 5713300]
[paragraph, [715.0, 738.0, 540.0, 36.0], WwZfjcPbxa, 5713300]
[paragraph, [715.0, 774.0, 540.0, 36.0], WwZfjcPbxa, 5713300]
[contact-info, [999.0, 819.0, 267.0, 36.0], B74zE9TIml, 5713300]
[contact-info, [999.0, 855.0, 267.0, 36.0], B74zE9TIml, 5713300]
[contact-info, [704.0, 820.0, 237.0, 36.0], T7AwVqjjmq, 5713300]
[section-title, [86.0, 922.0, 1188.0, 49.5], r_ECinA3if, 5713300]
[section-title, [86.0, 971.5, 1188.0, 49.5], r_ECinA3if, 5713300]
[section-title, [329.0, 1042.0, 559.0, 49.5], 9wlWriL9VK, 5713300]
[unordered-list, [49.0, 1112.0, 1225.0, 36.0], shoonya_1sE0FDIEXP02HL, 5713300]
[unordered-list, [49.0, 1148.0, 1225.0, 36.0], shoonya_1sE0FDIEXP02HL, 5713300]
[unordered-list, [49.0, 1184.0, 1225.0, 36.0], shoonya_1sE0FDIEXP02HL, 5713300]
[unordered-list, [49.0, 1220.0, 1225.0, 36.0], shoonya_1sE0FDIEXP02HL, 5713300]
[unordered-list, [52.0, 1284.0, 922.0, 36.0], ZjAfhZdOWx, 5713300]
[unordered-list, [52.0, 1320.0, 922.0, 36.0], ZjAfhZdOWx, 5713300]
[unordered-list, [52.0, 1356.0, 922.0, 36.0], ZjAfhZdOWx, 5713300]
[unordered-list, [52.0, 1392.0, 922.0, 36.0], ZjAfhZdOWx, 5713300]
[unordered-list, [52.0, 1428.0, 922.0, 36.0], ZjAfhZdOWx, 5713300]
[unordered-list, [52.0, 1464.0, 922.0, 36.0], ZjAfhZdOWx, 5713300]
[paragraph, [47.0, 1509.0, 1130.0, 36.0], LA4qb-uQEC, 5713300]
[contact-info, [259.0, 1558.0, 884.0, 36.0], JIEsh3WzPK, 5713300]
[contact-info, [259.0, 1594.0, 884.0, 36.0], JIEsh3WzPK, 5713300]
[contact-info, [259.0, 1630.0, 884.0, 36.0], JIEsh3WzPK, 5713300]
