[1875, 1200]
[folio, [152.0, 205.0, 690.0, 36.0], NNndMBbWxT, 5711592]
[paragraph, [148.0, 273.0, 857.0, 36.0], shoonya_2sA9X1II1D6RTE, 5711592]
[paragraph, [148.0, 309.0, 857.0, 36.0], shoonya_2sA9X1II1D6RTE, 5711592]
[paragraph, [148.0, 345.0, 857.0, 36.0], shoonya_2sA9X1II1D6RTE, 5711592]
[paragraph, [148.0, 381.0, 857.0, 36.0], shoonya_2sA9X1II1D6RTE, 5711592]
[paragraph, [148.0, 417.0, 857.0, 36.0], shoonya_2sA9X1II1D6RTE, 5711592]
[paragraph, [148.0, 453.0, 857.0, 36.0], shoonya_2sA9X1II1D6RTE, 5711592]
[paragraph, [148.0, 489.0, 857.0, 36.0], shoonya_2sA9X1II1D6RTE, 5711592]
[paragraph, [148.0, 525.0, 857.0, 36.0], shoonya_2sA9X1II1D6RTE, 5711592]
[paragraph, [146.0, 590.0, 852.0, 36.0], shoonya_4sSD8A3H09LMAT, 5711592]
[paragraph, [146.0, 626.0, 852.0, 36.0], shoonya_4sSD8A3H09LMAT, 5711592]
[paragraph, [146.0, 662.0, 852.0, 36.0], shoonya_4sSD8A3H09LMAT, 5711592]
[paragraph, [146.0, 698.0, 852.0, 36.0], shoonya_4sSD8A3H09LMAT, 5711592]
[paragraph, [146.0, 734.0, 852.0, 36.0], shoonya_4sSD8A3H09LMAT, 5711592]
[paragraph, [146.0, 770.0, 852.0, 36.0], shoonya_4sSD8A3H09LMAT, 5711592]
[paragraph, [146.0, 806.0, 852.0, 36.0], shoonya_4sSD8A3H09LMAT, 5711592]
[paragraph, [146.0, 842.0, 852.0, 36.0], shoonya_4sSD8A3H09LMAT, 5711592]
[paragraph, [146.0, 878.0, 852.0, 36.0], shoonya_4sSD8A3H09LMAT, 5711592]
[paragraph, [146.0, 914.0, 852.0, 36.0], shoonya_4sSD8A3H09LMAT, 5711592]
[paragraph, [145.0, 1061.0, 840.0, 36.0], shoonya_5s2PAE55FDYZP7, 5711592]
[paragraph, [145.0, 1097.0, 840.0, 36.0], shoonya_5s2PAE55FDYZP7, 5711592]
[paragraph, [147.0, 1151.0, 853.0, 36.0], shoonya_1sWT44QH23UIM2, 5711592]
[paragraph, [147.0, 1187.0, 853.0, 36.0], shoonya_1sWT44QH23UIM2, 5711592]
[paragraph, [147.0, 1223.0, 853.0, 36.0], shoonya_1sWT44QH23UIM2, 5711592]
[paragraph, [147.0, 1259.0, 853.0, 36.0], shoonya_1sWT44QH23UIM2, 5711592]
[paragraph, [147.0, 1295.0, 853.0, 36.0], shoonya_1sWT44QH23UIM2, 5711592]
[paragraph, [147.0, 1331.0, 853.0, 36.0], shoonya_1sWT44QH23UIM2, 5711592]
[paragraph, [147.0, 1367.0, 853.0, 36.0], shoonya_1sWT44QH23UIM2, 5711592]
[paragraph, [147.0, 1403.0, 853.0, 36.0], shoonya_1sWT44QH23UIM2, 5711592]
[paragraph, [147.0, 1439.0, 853.0, 36.0], shoonya_1sWT44QH23UIM2, 5711592]
[paragraph, [147.0, 1475.0, 853.0, 36.0], shoonya_1sWT44QH23UIM2, 5711592]
[paragraph, [147.0, 1511.0, 853.0, 36.0], shoonya_1sWT44QH23UIM2, 5711592]
[paragraph, [147.0, 1547.0, 853.0, 36.0], shoonya_1sWT44QH23UIM2, 5711592]
[paragraph, [147.0, 1583.0, 853.0, 36.0], shoonya_1sWT44QH23UIM2, 5711592]
