[1755, 1240]
[paragraph, [178.0, 188.0, 880.0, 36.0], shoonya_1s6CH66LAP24OK, 5704054]
[paragraph, [178.0, 224.0, 880.0, 36.0], shoonya_1s6CH66LAP24OK, 5704054]
[paragraph, [175.0, 314.0, 889.0, 36.0], shoonya_2sXOEB8DHWTPLD, 5704054]
[paragraph, [175.0, 350.0, 889.0, 36.0], shoonya_2sXOEB8DHWTPLD, 5704054]
[paragraph, [175.0, 386.0, 889.0, 36.0], shoonya_2sXOEB8DHWTPLD, 5704054]
[paragraph, [175.0, 422.0, 889.0, 36.0], shoonya_2sXOEB8DHWTPLD, 5704054]
[paragraph, [175.0, 458.0, 889.0, 36.0], shoonya_2sXOEB8DHWTPLD, 5704054]
[paragraph, [175.0, 494.0, 889.0, 36.0], shoonya_2sXOEB8DHWTPLD, 5704054]
[paragraph, [175.0, 530.0, 889.0, 36.0], shoonya_2sXOEB8DHWTPLD, 5704054]
[paragraph, [175.0, 566.0, 889.0, 36.0], shoonya_2sXOEB8DHWTPLD, 5704054]
[paragraph, [175.0, 602.0, 889.0, 36.0], shoonya_2sXOEB8DHWTPLD, 5704054]
[paragraph, [175.0, 638.0, 889.0, 36.0], shoonya_2sXOEB8DHWTPLD, 5704054]
[paragraph, [175.0, 674.0, 889.0, 36.0], shoonya_2sXOEB8DHWTPLD, 5704054]
[paragraph, [175.0, 710.0, 889.0, 36.0], shoonya_2sXOEB8DHWTPLD, 5704054]
[section-title, [183.0, 781.0, 308.0, 49.5], shoonya_6s482GC4KUUXFT, 5704054]
[paragraph, [176.0, 864.0, 888.0, 36.0], shoonya_0sS3JYSNOJ74NW, 5704054]
[paragraph, [176.0, 900.0, 888.0, 36.0], shoonya_0sS3JYSNOJ74NW, 5704054]
[paragraph, [176.0, 936.0, 888.0, 36.0], shoonya_0sS3JYSNOJ74NW, 5704054]
[paragraph, [176.0, 972.0, 888.0, 36.0], shoonya_0sS3JYSNOJ74NW, 5704054]
[paragraph, [176.0, 1008.0, 888.0, 36.0], shoonya_0sS3JYSNOJ74NW, 5704054]
[paragraph, [179.0, 1101.0, 881.0, 36.0], shoonya_5sC8X7QQ03S52Q, 5704054]
[paragraph, [179.0, 1137.0, 881.0, 36.0], shoonya_5sC8X7QQ03S52Q, 5704054]
[paragraph, [176.0, 1225.0, 885.0, 36.0], shoonya_4sCF3FIM0E55J4, 5704054]
[paragraph, [176.0, 1261.0, 885.0, 36.0], shoonya_4sCF3FIM0E55J4, 5704054]
[paragraph, [176.0, 1297.0, 885.0, 36.0], shoonya_4sCF3FIM0E55J4, 5704054]
[paragraph, [176.0, 1333.0, 885.0, 36.0], shoonya_4sCF3FIM0E55J4, 5704054]
[paragraph, [176.0, 1369.0, 885.0, 36.0], shoonya_4sCF3FIM0E55J4, 5704054]
[paragraph, [176.0, 1405.0, 885.0, 36.0], shoonya_4sCF3FIM0E55J4, 5704054]
[paragraph, [176.0, 1441.0, 885.0, 36.0], shoonya_4sCF3FIM0E55J4, 5704054]
