[2338, 1654]
[paragraph, [256.0, 237.0, 1210.0, 36.0], shoonya_2sRYUCC5AYEXUN, 5753690]
[paragraph, [256.0, 273.0, 1210.0, 36.0], shoonya_2sRYUCC5AYEXUN, 5753690]
[paragraph, [256.0, 309.0, 1210.0, 36.0], shoonya_2sRYUCC5AYEXUN, 5753690]
[paragraph, [256.0, 345.0, 1210.0, 36.0], shoonya_2sRYUCC5AYEXUN, 5753690]
[paragraph, [256.0, 381.0, 1210.0, 36.0], shoonya_2sRYUCC5AYEXUN, 5753690]
[paragraph, [256.0, 417.0, 1210.0, 36.0], shoonya_2sRYUCC5AYEXUN, 5753690]
[paragraph, [268.0, 493.0, 1215.0, 36.0], shoonya_1sMRZEVJSVMRMJ, 5753690]
[paragraph, [268.0, 529.0, 1215.0, 36.0], shoonya_1sMRZEVJSVMRMJ, 5753690]
[paragraph, [268.0, 565.0, 1215.0, 36.0], shoonya_1sMRZEVJSVMRMJ, 5753690]
[paragraph, [268.0, 601.0, 1215.0, 36.0], shoonya_1sMRZEVJSVMRMJ, 5753690]
[paragraph, [268.0, 637.0, 1215.0, 36.0], shoonya_1sMRZEVJSVMRMJ, 5753690]
[paragraph, [268.0, 673.0, 1215.0, 36.0], shoonya_1sMRZEVJSVMRMJ, 5753690]
[paragraph, [267.0, 751.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 787.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 823.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 859.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 895.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 931.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 967.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1003.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1039.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1075.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1111.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1147.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1183.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1219.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1255.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1291.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1327.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1363.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1399.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1435.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1471.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1507.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1543.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1579.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1615.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1651.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1687.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1723.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1759.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1795.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1831.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1867.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1903.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1939.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[paragraph, [267.0, 1975.0, 1202.0, 36.0], shoonya_0sCE53IEQVWSI7, 5753690]
[reference, [266.0, 2070.0, 676.0, 36.0], D7DSM2rndt, 5753690]
[reference, [266.0, 2106.0, 676.0, 36.0], D7DSM2rndt, 5753690]
