[1387, 987]
[paragraph, [71.0, 89.0, 828.0, 18.0], dbWF9I2VO2, 5651522]
[paragraph, [71.0, 107.0, 828.0, 18.0], dbWF9I2VO2, 5651522]
[paragraph, [71.0, 125.0, 828.0, 18.0], dbWF9I2VO2, 5651522]
[paragraph, [71.0, 143.0, 828.0, 18.0], dbWF9I2VO2, 5651522]
[paragraph, [71.0, 161.0, 828.0, 18.0], dbWF9I2VO2, 5651522]
[paragraph, [71.0, 179.0, 828.0, 18.0], dbWF9I2VO2, 5651522]
[paragraph, [71.0, 197.0, 828.0, 18.0], dbWF9I2VO2, 5651522]
[paragraph, [71.0, 215.0, 828.0, 18.0], dbWF9I2VO2, 5651522]
[paragraph, [71.0, 233.0, 828.0, 18.0], dbWF9I2VO2, 5651522]
[paragraph, [54.0, 271.0, 840.0, 18.0], shoonya_1sNNGXSNAUZ2J5, 5651522]
[paragraph, [54.0, 289.0, 840.0, 18.0], shoonya_1sNNGXSNAUZ2J5, 5651522]
[paragraph, [54.0, 307.0, 840.0, 18.0], shoonya_1sNNGXSNAUZ2J5, 5651522]
[paragraph, [54.0, 325.0, 840.0, 18.0], shoonya_1sNNGXSNAUZ2J5, 5651522]
[paragraph, [54.0, 343.0, 840.0, 18.0], shoonya_1sNNGXSNAUZ2J5, 5651522]
[paragraph, [54.0, 361.0, 840.0, 18.0], shoonya_1sNNGXSNAUZ2J5, 5651522]
[paragraph, [54.0, 379.0, 840.0, 18.0], shoonya_1sNNGXSNAUZ2J5, 5651522]
[paragraph, [54.0, 397.0, 840.0, 18.0], shoonya_1sNNGXSNAUZ2J5, 5651522]
[paragraph, [54.0, 415.0, 840.0, 18.0], shoonya_1sNNGXSNAUZ2J5, 5651522]
[paragraph, [54.0, 433.0, 840.0, 18.0], shoonya_1sNNGXSNAUZ2J5, 5651522]
[paragraph, [54.0, 451.0, 840.0, 18.0], shoonya_1sNNGXSNAUZ2J5, 5651522]
[paragraph, [54.0, 469.0, 840.0, 18.0], shoonya_1sNNGXSNAUZ2J5, 5651522]
