[1650, 1275]
[paragraph, [139.0, 150.0, 989.0, 36.0], shoonya_1sBZ3XFTFN1P71, 5703536]
[paragraph, [139.0, 186.0, 989.0, 36.0], shoonya_1sBZ3XFTFN1P71, 5703536]
[paragraph, [142.0, 299.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 335.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 371.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 407.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 443.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 479.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 515.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 551.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 587.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 623.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 659.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 695.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 731.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 767.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 803.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 839.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 875.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 911.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 947.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [142.0, 983.0, 992.0, 36.0], shoonya_3sV8SX1LKGXTO8, 5703536]
[paragraph, [141.0, 1077.0, 988.0, 36.0], shoonya_0sJ7ILS71NWRX0, 5703536]
[paragraph, [141.0, 1113.0, 988.0, 36.0], shoonya_0sJ7ILS71NWRX0, 5703536]
[paragraph, [141.0, 1149.0, 988.0, 36.0], shoonya_0sJ7ILS71NWRX0, 5703536]
[paragraph, [141.0, 1185.0, 988.0, 36.0], shoonya_0sJ7ILS71NWRX0, 5703536]
[paragraph, [141.0, 1221.0, 988.0, 36.0], shoonya_0sJ7ILS71NWRX0, 5703536]
[paragraph, [141.0, 1257.0, 988.0, 36.0], shoonya_0sJ7ILS71NWRX0, 5703536]
[paragraph, [141.0, 1293.0, 988.0, 36.0], shoonya_0sJ7ILS71NWRX0, 5703536]
[paragraph, [141.0, 1329.0, 988.0, 36.0], shoonya_0sJ7ILS71NWRX0, 5703536]
[paragraph, [141.0, 1365.0, 988.0, 36.0], shoonya_0sJ7ILS71NWRX0, 5703536]
[paragraph, [141.0, 1401.0, 988.0, 36.0], shoonya_0sJ7ILS71NWRX0, 5703536]
[paragraph, [141.0, 1437.0, 988.0, 36.0], shoonya_0sJ7ILS71NWRX0, 5703536]
