[1818, 1374]
[folio, [611.0, 125.0, 133.0, 36.0], 31-kg658V-, 5682861]
[paragraph, [101.0, 182.0, 566.0, 36.0], 45g0TvnpOy, 5682861]
[paragraph, [101.0, 218.0, 566.0, 36.0], 45g0TvnpOy, 5682861]
[paragraph, [101.0, 254.0, 566.0, 36.0], 45g0TvnpOy, 5682861]
[paragraph, [101.0, 290.0, 566.0, 36.0], 45g0TvnpOy, 5682861]
[paragraph, [101.0, 326.0, 566.0, 36.0], 45g0TvnpOy, 5682861]
[paragraph, [101.0, 362.0, 566.0, 36.0], 45g0TvnpOy, 5682861]
[paragraph, [101.0, 398.0, 566.0, 36.0], 45g0TvnpOy, 5682861]
[paragraph, [101.0, 434.0, 566.0, 36.0], 45g0TvnpOy, 5682861]
[paragraph, [101.0, 470.0, 566.0, 36.0], 45g0TvnpOy, 5682861]
[paragraph, [101.0, 506.0, 566.0, 36.0], 45g0TvnpOy, 5682861]
[paragraph, [101.0, 542.0, 566.0, 36.0], 45g0TvnpOy, 5682861]
[paragraph, [101.0, 578.0, 566.0, 36.0], 45g0TvnpOy, 5682861]
[paragraph, [101.0, 614.0, 566.0, 36.0], 45g0TvnpOy, 5682861]
[paragraph, [101.0, 650.0, 566.0, 36.0], 45g0TvnpOy, 5682861]
[paragraph, [101.0, 686.0, 566.0, 36.0], 45g0TvnpOy, 5682861]
[paragraph, [101.0, 722.0, 566.0, 36.0], 45g0TvnpOy, 5682861]
[paragraph, [693.0, 187.0, 559.0, 36.0], PrJb-qB_m3, 5682861]
[paragraph, [693.0, 223.0, 559.0, 36.0], PrJb-qB_m3, 5682861]
[paragraph, [693.0, 276.0, 566.0, 36.0], GzJ3rJZrBc, 5682861]
[paragraph, [693.0, 312.0, 566.0, 36.0], GzJ3rJZrBc, 5682861]
[paragraph, [693.0, 366.0, 568.0, 36.0], seHjaXZUsU, 5682861]
[paragraph, [693.0, 402.0, 568.0, 36.0], seHjaXZUsU, 5682861]
[paragraph, [693.0, 445.0, 566.0, 36.0], be9c_6Ocj2, 5682861]
[paragraph, [693.0, 481.0, 566.0, 36.0], be9c_6Ocj2, 5682861]
[paragraph, [693.0, 517.0, 566.0, 36.0], be9c_6Ocj2, 5682861]
[paragraph, [693.0, 553.0, 566.0, 36.0], be9c_6Ocj2, 5682861]
[paragraph, [693.0, 589.0, 566.0, 36.0], be9c_6Ocj2, 5682861]
[paragraph, [692.0, 659.0, 566.0, 36.0], N-AZrBo60A, 5682861]
[paragraph, [692.0, 695.0, 566.0, 36.0], N-AZrBo60A, 5682861]
[paragraph, [692.0, 744.0, 571.0, 36.0], wZ6pPa1ceb, 5682861]
[paragraph, [692.0, 780.0, 571.0, 36.0], wZ6pPa1ceb, 5682861]
[paragraph, [93.0, 787.0, 573.0, 36.0], shoonya_1sP2HJLPFRWLK4, 5682861]
[paragraph, [93.0, 823.0, 573.0, 36.0], shoonya_1sP2HJLPFRWLK4, 5682861]
[paragraph, [693.0, 827.0, 570.0, 36.0], MTk6nlwt9j, 5682861]
[paragraph, [693.0, 863.0, 570.0, 36.0], MTk6nlwt9j, 5682861]
[paragraph, [693.0, 899.0, 570.0, 36.0], MTk6nlwt9j, 5682861]
[paragraph, [693.0, 935.0, 570.0, 36.0], MTk6nlwt9j, 5682861]
[paragraph, [693.0, 971.0, 570.0, 36.0], MTk6nlwt9j, 5682861]
[paragraph, [693.0, 1007.0, 570.0, 36.0], MTk6nlwt9j, 5682861]
[paragraph, [693.0, 1043.0, 570.0, 36.0], MTk6nlwt9j, 5682861]
[paragraph, [693.0, 1079.0, 570.0, 36.0], MTk6nlwt9j, 5682861]
[paragraph, [693.0, 1115.0, 570.0, 36.0], MTk6nlwt9j, 5682861]
[paragraph, [693.0, 1151.0, 570.0, 36.0], MTk6nlwt9j, 5682861]
[paragraph, [693.0, 1187.0, 570.0, 36.0], MTk6nlwt9j, 5682861]
[paragraph, [693.0, 1223.0, 570.0, 36.0], MTk6nlwt9j, 5682861]
[paragraph, [693.0, 1259.0, 570.0, 36.0], MTk6nlwt9j, 5682861]
[paragraph, [693.0, 1295.0, 570.0, 36.0], MTk6nlwt9j, 5682861]
