[792, 612]
[paragraph, [121.0, 213.0, 367.0, 18.0], shoonya_0sQJYF5CLWLFN6, 5651694]
[paragraph, [121.0, 231.0, 367.0, 18.0], shoonya_0sQJYF5CLWLFN6, 5651694]
[paragraph, [121.0, 249.0, 367.0, 18.0], shoonya_0sQJYF5CLWLFN6, 5651694]
[paragraph, [121.0, 267.0, 367.0, 18.0], shoonya_0sQJYF5CLWLFN6, 5651694]
[paragraph, [121.0, 285.0, 367.0, 18.0], shoonya_0sQJYF5CLWLFN6, 5651694]
[paragraph, [121.0, 303.0, 367.0, 18.0], shoonya_0sQJYF5CLWLFN6, 5651694]
[paragraph, [114.0, 324.0, 377.0, 18.0], shoonya_1s17OHDLJTSJ2A, 5651694]
[paragraph, [114.0, 342.0, 377.0, 18.0], shoonya_1s17OHDLJTSJ2A, 5651694]
[paragraph, [114.0, 360.0, 377.0, 18.0], shoonya_1s17OHDLJTSJ2A, 5651694]
[paragraph, [114.0, 378.0, 377.0, 18.0], shoonya_1s17OHDLJTSJ2A, 5651694]
[paragraph, [114.0, 396.0, 377.0, 18.0], shoonya_1s17OHDLJTSJ2A, 5651694]
[paragraph, [114.0, 414.0, 377.0, 18.0], shoonya_1s17OHDLJTSJ2A, 5651694]
[paragraph, [114.0, 432.0, 377.0, 18.0], shoonya_1s17OHDLJTSJ2A, 5651694]
[paragraph, [120.0, 445.0, 374.0, 18.0], shoonya_2sJVQK1DX38WN9, 5651694]
[paragraph, [120.0, 463.0, 374.0, 18.0], shoonya_2sJVQK1DX38WN9, 5651694]
[paragraph, [120.0, 481.0, 374.0, 18.0], shoonya_2sJVQK1DX38WN9, 5651694]
[paragraph, [120.0, 499.0, 374.0, 18.0], shoonya_2sJVQK1DX38WN9, 5651694]
[paragraph, [120.0, 517.0, 374.0, 18.0], shoonya_2sJVQK1DX38WN9, 5651694]
[paragraph, [120.0, 535.0, 374.0, 18.0], shoonya_2sJVQK1DX38WN9, 5651694]
[paragraph, [120.0, 553.0, 374.0, 18.0], shoonya_2sJVQK1DX38WN9, 5651694]
[paragraph, [120.0, 571.0, 374.0, 18.0], shoonya_2sJVQK1DX38WN9, 5651694]
[paragraph, [119.0, 588.0, 368.0, 18.0], shoonya_3sQPU9WY9KHJY6, 5651694]
[paragraph, [119.0, 606.0, 368.0, 18.0], shoonya_3sQPU9WY9KHJY6, 5651694]
[paragraph, [119.0, 624.0, 368.0, 18.0], shoonya_3sQPU9WY9KHJY6, 5651694]
[footnote, [261.0, 694.0, 102.0, 18.0], UOi6hbGwiq, 5651694]
