[2200, 1700]
[paragraph, [340.0, 100.0, 439.0, 36.0], shoonya_3s0ER4AA4LJP15, 5730931]
[paragraph, [330.0, 159.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 195.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 231.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 267.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 303.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 339.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 375.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 411.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 447.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 483.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 519.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 555.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 591.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 627.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 663.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 699.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 735.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 771.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 807.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 843.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 879.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 915.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 951.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 987.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 1023.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 1059.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [330.0, 1095.0, 1089.0, 36.0], shoonya_2sGLNKY9VF0N5L, 5730931]
[paragraph, [331.0, 1170.0, 1084.0, 36.0], shoonya_1sQ79V36TDXCU3, 5730931]
[paragraph, [331.0, 1206.0, 1084.0, 36.0], shoonya_1sQ79V36TDXCU3, 5730931]
[paragraph, [331.0, 1242.0, 1084.0, 36.0], shoonya_1sQ79V36TDXCU3, 5730931]
[paragraph, [331.0, 1278.0, 1084.0, 36.0], shoonya_1sQ79V36TDXCU3, 5730931]
[paragraph, [331.0, 1314.0, 1084.0, 36.0], shoonya_1sQ79V36TDXCU3, 5730931]
[paragraph, [331.0, 1350.0, 1084.0, 36.0], shoonya_1sQ79V36TDXCU3, 5730931]
[paragraph, [331.0, 1386.0, 1084.0, 36.0], shoonya_1sQ79V36TDXCU3, 5730931]
[paragraph, [331.0, 1422.0, 1084.0, 36.0], shoonya_1sQ79V36TDXCU3, 5730931]
[paragraph, [331.0, 1458.0, 1084.0, 36.0], shoonya_1sQ79V36TDXCU3, 5730931]
[paragraph, [327.0, 1512.0, 1083.0, 36.0], shoonya_0sTT2LVSZFGGYN, 5730931]
[paragraph, [327.0, 1548.0, 1083.0, 36.0], shoonya_0sTT2LVSZFGGYN, 5730931]
[paragraph, [327.0, 1584.0, 1083.0, 36.0], shoonya_0sTT2LVSZFGGYN, 5730931]
[paragraph, [327.0, 1620.0, 1083.0, 36.0], shoonya_0sTT2LVSZFGGYN, 5730931]
[paragraph, [327.0, 1656.0, 1083.0, 36.0], shoonya_0sTT2LVSZFGGYN, 5730931]
[paragraph, [327.0, 1692.0, 1083.0, 36.0], shoonya_0sTT2LVSZFGGYN, 5730931]
[paragraph, [327.0, 1728.0, 1083.0, 36.0], shoonya_0sTT2LVSZFGGYN, 5730931]
[paragraph, [327.0, 1764.0, 1083.0, 36.0], shoonya_0sTT2LVSZFGGYN, 5730931]
[paragraph, [327.0, 1800.0, 1083.0, 36.0], shoonya_0sTT2LVSZFGGYN, 5730931]
[paragraph, [327.0, 1836.0, 1083.0, 36.0], shoonya_0sTT2LVSZFGGYN, 5730931]
[paragraph, [327.0, 1872.0, 1083.0, 36.0], shoonya_0sTT2LVSZFGGYN, 5730931]
[paragraph, [327.0, 1908.0, 1083.0, 36.0], shoonya_0sTT2LVSZFGGYN, 5730931]
[folio, [324.0, 2047.0, 365.0, 36.0], Ht-kkLCiQI, 5730931]
