[3508, 2481]
[section-title, [1009.0, 83.0, 434.0, 93.0], Wa3Verc7Go, 6516084]
[paragraph, [198.0, 568.0, 301.0, 52.5], EjbNE5dWaZ, 6516084]
[paragraph, [208.0, 699.0, 2068.0, 52.5], 29YLWEWVa-, 6516084]
[paragraph, [208.0, 751.5, 2068.0, 52.5], 29YLWEWVa-, 6516084]
[paragraph, [208.0, 804.0, 2068.0, 52.5], 29YLWEWVa-, 6516084]
[paragraph, [208.0, 856.5, 2068.0, 52.5], 29YLWEWVa-, 6516084]
[paragraph, [208.0, 909.0, 2068.0, 52.5], 29YLWEWVa-, 6516084]
[paragraph, [208.0, 961.5, 2068.0, 52.5], 29YLWEWVa-, 6516084]
[paragraph, [170.0, 1059.0, 2092.0, 52.5], oedPpRjKlE, 6516084]
[paragraph, [170.0, 1111.5, 2092.0, 52.5], oedPpRjKlE, 6516084]
[paragraph, [170.0, 1164.0, 2092.0, 52.5], oedPpRjKlE, 6516084]
[paragraph, [170.0, 1216.5, 2092.0, 52.5], oedPpRjKlE, 6516084]
[paragraph, [170.0, 1269.0, 2092.0, 52.5], oedPpRjKlE, 6516084]
[paragraph, [170.0, 1321.5, 2092.0, 52.5], oedPpRjKlE, 6516084]
[paragraph, [214.0, 1438.0, 2083.0, 52.5], vpfPG6ZyHC, 6516084]
[paragraph, [214.0, 1490.5, 2083.0, 52.5], vpfPG6ZyHC, 6516084]
[paragraph, [214.0, 1543.0, 2083.0, 52.5], vpfPG6ZyHC, 6516084]
[paragraph, [214.0, 1595.5, 2083.0, 52.5], vpfPG6ZyHC, 6516084]
[contact-info, [189.0, 1774.0, 447.0, 52.5], 5raBDQCh5M, 6516084]
[contact-info, [189.0, 1826.5, 447.0, 52.5], 5raBDQCh5M, 6516084]
