[2339, 1653]
[paragraph, [325.0, 164.0, 1144.0, 36.0], shoonya_2sMJ72ZXVGX8GK, 5734197]
[paragraph, [325.0, 200.0, 1144.0, 36.0], shoonya_2sMJ72ZXVGX8GK, 5734197]
[paragraph, [325.0, 236.0, 1144.0, 36.0], shoonya_2sMJ72ZXVGX8GK, 5734197]
[paragraph, [325.0, 272.0, 1144.0, 36.0], shoonya_2sMJ72ZXVGX8GK, 5734197]
[paragraph, [325.0, 308.0, 1144.0, 36.0], shoonya_2sMJ72ZXVGX8GK, 5734197]
[paragraph, [325.0, 344.0, 1144.0, 36.0], shoonya_2sMJ72ZXVGX8GK, 5734197]
[paragraph, [325.0, 380.0, 1144.0, 36.0], shoonya_2sMJ72ZXVGX8GK, 5734197]
[paragraph, [323.0, 440.0, 1140.0, 36.0], shoonya_1sY4LD64JGL0Z0, 5734197]
[paragraph, [323.0, 476.0, 1140.0, 36.0], shoonya_1sY4LD64JGL0Z0, 5734197]
[paragraph, [323.0, 512.0, 1140.0, 36.0], shoonya_1sY4LD64JGL0Z0, 5734197]
[paragraph, [323.0, 548.0, 1140.0, 36.0], shoonya_1sY4LD64JGL0Z0, 5734197]
[paragraph, [323.0, 584.0, 1140.0, 36.0], shoonya_1sY4LD64JGL0Z0, 5734197]
[paragraph, [323.0, 620.0, 1140.0, 36.0], shoonya_1sY4LD64JGL0Z0, 5734197]
[paragraph, [323.0, 656.0, 1140.0, 36.0], shoonya_1sY4LD64JGL0Z0, 5734197]
[paragraph, [323.0, 692.0, 1140.0, 36.0], shoonya_1sY4LD64JGL0Z0, 5734197]
[paragraph, [323.0, 728.0, 1140.0, 36.0], shoonya_1sY4LD64JGL0Z0, 5734197]
[paragraph, [323.0, 764.0, 1140.0, 36.0], shoonya_1sY4LD64JGL0Z0, 5734197]
[paragraph, [323.0, 800.0, 1140.0, 36.0], shoonya_1sY4LD64JGL0Z0, 5734197]
[paragraph, [323.0, 836.0, 1140.0, 36.0], shoonya_1sY4LD64JGL0Z0, 5734197]
[paragraph, [323.0, 872.0, 1140.0, 36.0], shoonya_1sY4LD64JGL0Z0, 5734197]
[paragraph, [323.0, 908.0, 1140.0, 36.0], shoonya_1sY4LD64JGL0Z0, 5734197]
[paragraph, [323.0, 944.0, 1140.0, 36.0], shoonya_1sY4LD64JGL0Z0, 5734197]
[paragraph, [323.0, 980.0, 1140.0, 36.0], shoonya_1sY4LD64JGL0Z0, 5734197]
[paragraph, [324.0, 1054.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1090.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1126.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1162.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1198.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1234.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1270.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1306.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1342.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1378.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1414.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1450.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1486.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1522.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1558.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1594.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1630.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1666.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1702.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1738.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1774.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1810.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1846.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [324.0, 1882.0, 1136.0, 36.0], shoonya_0sYU68B7BV0I0W, 5734197]
[paragraph, [329.0, 1945.0, 1131.0, 36.0], shoonya_3sF0ZKYBZOBUM8, 5734197]
[paragraph, [329.0, 1981.0, 1131.0, 36.0], shoonya_3sF0ZKYBZOBUM8, 5734197]
[paragraph, [329.0, 2017.0, 1131.0, 36.0], shoonya_3sF0ZKYBZOBUM8, 5734197]
[paragraph, [329.0, 2053.0, 1131.0, 36.0], shoonya_3sF0ZKYBZOBUM8, 5734197]
[folio, [817.0, 2153.0, 576.0, 36.0], UjWlkvBTIE, 5734197]
