[1448, 2048]
[headline, [539.0, 313.0, 991.0, 25.5], shoonya_0sORVVLAZFMZOO, 6473851]
[headline, [539.0, 338.5, 991.0, 25.5], shoonya_0sORVVLAZFMZOO, 6473851]
[headline, [539.0, 364.0, 991.0, 25.5], shoonya_0sORVVLAZFMZOO, 6473851]
[headline, [539.0, 389.5, 991.0, 25.5], shoonya_0sORVVLAZFMZOO, 6473851]
[paragraph, [117.0, 445.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 463.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 481.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 499.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 517.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 535.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 553.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 571.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 589.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 607.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 625.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 643.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 661.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 679.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 697.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 715.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 733.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 751.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 769.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 787.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 805.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 823.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 841.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 859.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 877.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 895.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 913.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 931.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 949.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 967.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 985.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 1003.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 1021.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 1039.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 1057.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 1075.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 1093.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 1111.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[paragraph, [117.0, 1129.0, 1815.0, 18.0], xhMnTNWtyo, 6473851]
[folio, [499.0, 1294.0, 806.0, 18.0], GK1PZYIZGC, 6473851]
[folio, [499.0, 1312.0, 806.0, 18.0], GK1PZYIZGC, 6473851]
[folio, [499.0, 1330.0, 806.0, 18.0], GK1PZYIZGC, 6473851]
[folio, [1385.0, 1295.0, 170.0, 18.0], mFAmR5MFzk, 6473851]
[folio, [1385.0, 1313.0, 170.0, 18.0], mFAmR5MFzk, 6473851]
