[1755, 1241]
[folio, [215.0, 85.0, 216.0, 36.0], RbVvNDG0Lb, 5759645]
[folio, [428.0, 88.0, 307.0, 36.0], 0hzS1rTGda, 5759645]
[paragraph, [215.0, 154.0, 811.0, 36.0], sDu-Rcwbee, 5759645]
[paragraph, [215.0, 190.0, 811.0, 36.0], sDu-Rcwbee, 5759645]
[paragraph, [215.0, 226.0, 811.0, 36.0], sDu-Rcwbee, 5759645]
[paragraph, [215.0, 262.0, 811.0, 36.0], sDu-Rcwbee, 5759645]
[paragraph, [210.0, 312.0, 815.0, 36.0], WWYoX8qLPf, 5759645]
[paragraph, [210.0, 348.0, 815.0, 36.0], WWYoX8qLPf, 5759645]
[paragraph, [210.0, 384.0, 815.0, 36.0], WWYoX8qLPf, 5759645]
[paragraph, [215.0, 427.0, 810.0, 36.0], 6a97IP38Sz, 5759645]
[paragraph, [215.0, 463.0, 810.0, 36.0], 6a97IP38Sz, 5759645]
[paragraph, [215.0, 499.0, 810.0, 36.0], 6a97IP38Sz, 5759645]
[paragraph, [289.0, 608.0, 587.0, 36.0], Fbpa6h_DLv, 5759645]
[paragraph, [289.0, 644.0, 587.0, 36.0], Fbpa6h_DLv, 5759645]
[paragraph, [289.0, 680.0, 587.0, 36.0], Fbpa6h_DLv, 5759645]
[paragraph, [289.0, 716.0, 587.0, 36.0], Fbpa6h_DLv, 5759645]
[paragraph, [289.0, 752.0, 587.0, 36.0], Fbpa6h_DLv, 5759645]
[paragraph, [299.0, 793.0, 223.0, 36.0], shoonya_1sHWQ01YFE2OE3, 5759645]
[paragraph, [210.0, 842.0, 821.0, 36.0], UndDhF6lIM, 5759645]
[paragraph, [210.0, 878.0, 821.0, 36.0], UndDhF6lIM, 5759645]
[paragraph, [210.0, 914.0, 821.0, 36.0], UndDhF6lIM, 5759645]
[paragraph, [210.0, 950.0, 821.0, 36.0], UndDhF6lIM, 5759645]
[paragraph, [210.0, 986.0, 821.0, 36.0], UndDhF6lIM, 5759645]
[paragraph, [210.0, 1022.0, 821.0, 36.0], UndDhF6lIM, 5759645]
[paragraph, [210.0, 1058.0, 821.0, 36.0], UndDhF6lIM, 5759645]
[paragraph, [210.0, 1094.0, 821.0, 36.0], UndDhF6lIM, 5759645]
[paragraph, [210.0, 1130.0, 821.0, 36.0], UndDhF6lIM, 5759645]
[paragraph, [210.0, 1166.0, 821.0, 36.0], UndDhF6lIM, 5759645]
[paragraph, [212.0, 1215.0, 811.0, 36.0], simWziuk2b, 5759645]
[paragraph, [212.0, 1251.0, 811.0, 36.0], simWziuk2b, 5759645]
[paragraph, [212.0, 1287.0, 811.0, 36.0], simWziuk2b, 5759645]
[paragraph, [205.0, 1337.0, 821.0, 36.0], UArsKL1ZJv, 5759645]
[paragraph, [205.0, 1373.0, 821.0, 36.0], UArsKL1ZJv, 5759645]
[paragraph, [205.0, 1409.0, 821.0, 36.0], UArsKL1ZJv, 5759645]
[paragraph, [205.0, 1445.0, 821.0, 36.0], UArsKL1ZJv, 5759645]
[paragraph, [205.0, 1481.0, 821.0, 36.0], UArsKL1ZJv, 5759645]
[paragraph, [205.0, 1517.0, 821.0, 36.0], UArsKL1ZJv, 5759645]
