[709, 412]
[folio, [174.0, 32.0, 54.0, 18.0], m4__rgGULO, 5740905]
[paragraph, [25.0, 59.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 77.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 95.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 113.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 131.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 149.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 167.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 185.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 203.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 221.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 239.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 257.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 275.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 293.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 311.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 329.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 347.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 365.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 383.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 401.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 419.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 437.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 455.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 473.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 491.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 509.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 527.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 545.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 563.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 581.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 599.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 617.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 635.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [25.0, 653.0, 179.0, 18.0], shoonya_0sSPPH0MC5XU53, 5740905]
[paragraph, [204.0, 61.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 79.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 97.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 115.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 133.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 151.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 169.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 187.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 205.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 223.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 241.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 259.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 277.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 295.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 313.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 331.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 349.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 367.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 385.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 403.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 421.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 439.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 457.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 475.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 493.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 511.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 529.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 547.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 565.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [204.0, 583.0, 188.0, 18.0], LF941QXfzg, 5740905]
[paragraph, [218.0, 607.0, 147.0, 18.0], guaPwER3G_, 5740905]
[paragraph, [218.0, 625.0, 147.0, 18.0], guaPwER3G_, 5740905]
[paragraph, [218.0, 643.0, 147.0, 18.0], guaPwER3G_, 5740905]
