[1418, 1063]
[section-title, [109.0, 116.0, 131.0, 30.0], shoonya_3sZZ3VBV25JO2A, 6469599]
[paragraph, [108.0, 181.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
[paragraph, [108.0, 199.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
[paragraph, [108.0, 217.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
[paragraph, [108.0, 235.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
[paragraph, [108.0, 253.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
[paragraph, [108.0, 271.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
[paragraph, [108.0, 289.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
[paragraph, [108.0, 307.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
[paragraph, [108.0, 325.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
[paragraph, [108.0, 343.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
[paragraph, [108.0, 361.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
[paragraph, [108.0, 379.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
[paragraph, [108.0, 397.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
[paragraph, [108.0, 415.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
[paragraph, [108.0, 433.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
[paragraph, [108.0, 451.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
[paragraph, [108.0, 469.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
[paragraph, [108.0, 487.0, 846.0, 18.0], shoonya_1s5MEHI9XTGG0N, 6469599]
