[680, 510]
[folio, [320.0, 26.0, 123.0, 18.0], mdmZrh2Z3O, 5761804]
[paragraph, [37.0, 58.0, 217.0, 18.0], shoonya_0s0H6YFAWUSEFJ, 5761804]
[paragraph, [37.0, 76.0, 217.0, 18.0], shoonya_0s0H6YFAWUSEFJ, 5761804]
[paragraph, [37.0, 94.0, 217.0, 18.0], shoonya_0s0H6YFAWUSEFJ, 5761804]
[paragraph, [37.0, 112.0, 217.0, 18.0], shoonya_0s0H6YFAWUSEFJ, 5761804]
[paragraph, [37.0, 130.0, 217.0, 18.0], shoonya_0s0H6YFAWUSEFJ, 5761804]
[paragraph, [37.0, 148.0, 217.0, 18.0], shoonya_0s0H6YFAWUSEFJ, 5761804]
[paragraph, [37.0, 166.0, 217.0, 18.0], shoonya_0s0H6YFAWUSEFJ, 5761804]
[paragraph, [37.0, 184.0, 217.0, 18.0], shoonya_0s0H6YFAWUSEFJ, 5761804]
[paragraph, [37.0, 202.0, 217.0, 18.0], shoonya_0s0H6YFAWUSEFJ, 5761804]
[paragraph, [37.0, 220.0, 217.0, 18.0], shoonya_0s0H6YFAWUSEFJ, 5761804]
[paragraph, [256.0, 58.0, 215.0, 18.0], 7pF68ifwb7, 5761804]
[paragraph, [256.0, 76.0, 215.0, 18.0], 7pF68ifwb7, 5761804]
[paragraph, [256.0, 94.0, 215.0, 18.0], 7pF68ifwb7, 5761804]
[paragraph, [256.0, 112.0, 215.0, 18.0], 7pF68ifwb7, 5761804]
[paragraph, [256.0, 130.0, 215.0, 18.0], 7pF68ifwb7, 5761804]
[paragraph, [256.0, 148.0, 215.0, 18.0], 7pF68ifwb7, 5761804]
[paragraph, [256.0, 166.0, 215.0, 18.0], 7pF68ifwb7, 5761804]
[paragraph, [256.0, 184.0, 215.0, 18.0], 7pF68ifwb7, 5761804]
[paragraph, [256.0, 202.0, 215.0, 18.0], 7pF68ifwb7, 5761804]
[paragraph, [256.0, 220.0, 215.0, 18.0], 7pF68ifwb7, 5761804]
[paragraph, [256.0, 238.0, 215.0, 18.0], 7pF68ifwb7, 5761804]
[paragraph, [37.0, 256.0, 215.0, 18.0], 5JMxeT6wRB, 5761804]
[paragraph, [37.0, 274.0, 215.0, 18.0], 5JMxeT6wRB, 5761804]
[paragraph, [37.0, 292.0, 215.0, 18.0], 5JMxeT6wRB, 5761804]
[paragraph, [37.0, 310.0, 215.0, 18.0], 5JMxeT6wRB, 5761804]
[paragraph, [37.0, 328.0, 215.0, 18.0], 5JMxeT6wRB, 5761804]
[paragraph, [37.0, 346.0, 215.0, 18.0], 5JMxeT6wRB, 5761804]
[paragraph, [37.0, 364.0, 215.0, 18.0], 5JMxeT6wRB, 5761804]
[paragraph, [37.0, 382.0, 215.0, 18.0], 5JMxeT6wRB, 5761804]
[paragraph, [37.0, 400.0, 215.0, 18.0], 5JMxeT6wRB, 5761804]
[paragraph, [37.0, 418.0, 215.0, 18.0], 5JMxeT6wRB, 5761804]
[paragraph, [37.0, 436.0, 215.0, 18.0], 5JMxeT6wRB, 5761804]
[paragraph, [37.0, 454.0, 215.0, 18.0], 5JMxeT6wRB, 5761804]
[paragraph, [37.0, 472.0, 215.0, 18.0], 5JMxeT6wRB, 5761804]
[paragraph, [37.0, 490.0, 215.0, 18.0], 5JMxeT6wRB, 5761804]
[paragraph, [256.0, 259.0, 216.0, 18.0], BKZ4O5tHBl, 5761804]
[paragraph, [256.0, 277.0, 216.0, 18.0], BKZ4O5tHBl, 5761804]
[paragraph, [256.0, 295.0, 216.0, 18.0], BKZ4O5tHBl, 5761804]
[paragraph, [256.0, 313.0, 216.0, 18.0], BKZ4O5tHBl, 5761804]
[paragraph, [256.0, 331.0, 216.0, 18.0], BKZ4O5tHBl, 5761804]
[paragraph, [256.0, 349.0, 216.0, 18.0], BKZ4O5tHBl, 5761804]
[paragraph, [256.0, 367.0, 216.0, 18.0], BKZ4O5tHBl, 5761804]
[paragraph, [256.0, 417.0, 216.0, 18.0], jA3tfIw-Y5, 5761804]
[paragraph, [256.0, 435.0, 216.0, 18.0], jA3tfIw-Y5, 5761804]
[paragraph, [256.0, 453.0, 216.0, 18.0], jA3tfIw-Y5, 5761804]
[paragraph, [256.0, 471.0, 216.0, 18.0], jA3tfIw-Y5, 5761804]
[paragraph, [256.0, 489.0, 216.0, 18.0], jA3tfIw-Y5, 5761804]
[paragraph, [256.0, 507.0, 216.0, 18.0], jA3tfIw-Y5, 5761804]
[paragraph, [256.0, 525.0, 216.0, 18.0], jA3tfIw-Y5, 5761804]
[paragraph, [256.0, 543.0, 216.0, 18.0], jA3tfIw-Y5, 5761804]
[paragraph, [256.0, 561.0, 216.0, 18.0], jA3tfIw-Y5, 5761804]
[paragraph, [256.0, 579.0, 216.0, 18.0], jA3tfIw-Y5, 5761804]
[paragraph, [256.0, 597.0, 216.0, 18.0], jA3tfIw-Y5, 5761804]
[paragraph, [37.0, 518.0, 216.0, 18.0], n6iCkla07z, 5761804]
[paragraph, [37.0, 536.0, 216.0, 18.0], n6iCkla07z, 5761804]
[paragraph, [37.0, 554.0, 216.0, 18.0], n6iCkla07z, 5761804]
[paragraph, [37.0, 572.0, 216.0, 18.0], n6iCkla07z, 5761804]
[paragraph, [37.0, 590.0, 216.0, 18.0], n6iCkla07z, 5761804]
[paragraph, [37.0, 608.0, 216.0, 18.0], n6iCkla07z, 5761804]
