[1365, 844]
[folio, [101.0, 54.0, 117.0, 18.0], X1NHxTTcjV, 5782267]
[folio, [101.0, 72.0, 117.0, 18.0], X1NHxTTcjV, 5782267]
[folio, [101.0, 90.0, 117.0, 18.0], X1NHxTTcjV, 5782267]
[section-title, [293.0, 113.0, 258.0, 30.0], shoonya_4sGP1QY4A433M0, 5782267]
[ordered-list, [80.0, 151.0, 678.0, 18.0], KnfdZnl6QQ, 5782267]
[ordered-list, [80.0, 169.0, 678.0, 18.0], KnfdZnl6QQ, 5782267]
[ordered-list, [80.0, 187.0, 678.0, 18.0], KnfdZnl6QQ, 5782267]
[ordered-list, [80.0, 205.0, 678.0, 18.0], KnfdZnl6QQ, 5782267]
[ordered-list, [80.0, 223.0, 678.0, 18.0], KnfdZnl6QQ, 5782267]
[ordered-list, [80.0, 241.0, 678.0, 18.0], KnfdZnl6QQ, 5782267]
[ordered-list, [80.0, 259.0, 678.0, 18.0], KnfdZnl6QQ, 5782267]
[ordered-list, [80.0, 277.0, 678.0, 18.0], KnfdZnl6QQ, 5782267]
[ordered-list, [80.0, 295.0, 678.0, 18.0], KnfdZnl6QQ, 5782267]
[ordered-list, [80.0, 313.0, 678.0, 18.0], KnfdZnl6QQ, 5782267]
[ordered-list, [80.0, 331.0, 678.0, 18.0], KnfdZnl6QQ, 5782267]
[ordered-list, [80.0, 349.0, 678.0, 18.0], KnfdZnl6QQ, 5782267]
[ordered-list, [80.0, 367.0, 678.0, 18.0], KnfdZnl6QQ, 5782267]
[ordered-list, [68.0, 406.0, 696.0, 18.0], D3BAKQm2DW, 5782267]
[ordered-list, [68.0, 424.0, 696.0, 18.0], D3BAKQm2DW, 5782267]
[ordered-list, [68.0, 442.0, 696.0, 18.0], D3BAKQm2DW, 5782267]
[ordered-list, [68.0, 460.0, 696.0, 18.0], D3BAKQm2DW, 5782267]
[ordered-list, [68.0, 478.0, 696.0, 18.0], D3BAKQm2DW, 5782267]
[ordered-list, [68.0, 496.0, 696.0, 18.0], D3BAKQm2DW, 5782267]
[ordered-list, [68.0, 514.0, 696.0, 18.0], D3BAKQm2DW, 5782267]
[ordered-list, [68.0, 532.0, 696.0, 18.0], D3BAKQm2DW, 5782267]
[ordered-list, [68.0, 550.0, 696.0, 18.0], D3BAKQm2DW, 5782267]
