[1087, 690]
[section-title, [347.0, 120.0, 259.0, 30.0], shoonya_3sVOP8SLHYC16W, 5760771]
[section-title, [347.0, 150.0, 259.0, 30.0], shoonya_3sVOP8SLHYC16W, 5760771]
[paragraph, [61.0, 231.0, 555.0, 18.0], shoonya_0sZ673I5BS2YG7, 5760771]
[paragraph, [61.0, 249.0, 555.0, 18.0], shoonya_0sZ673I5BS2YG7, 5760771]
[paragraph, [61.0, 267.0, 555.0, 18.0], shoonya_0sZ673I5BS2YG7, 5760771]
[paragraph, [61.0, 285.0, 555.0, 18.0], shoonya_0sZ673I5BS2YG7, 5760771]
[paragraph, [61.0, 303.0, 555.0, 18.0], shoonya_0sZ673I5BS2YG7, 5760771]
[paragraph, [61.0, 321.0, 555.0, 18.0], shoonya_0sZ673I5BS2YG7, 5760771]
[paragraph, [61.0, 339.0, 555.0, 18.0], shoonya_0sZ673I5BS2YG7, 5760771]
[paragraph, [60.0, 368.0, 556.0, 18.0], shoonya_1s3BJCU9RS95F1, 5760771]
[paragraph, [60.0, 386.0, 556.0, 18.0], shoonya_1s3BJCU9RS95F1, 5760771]
[paragraph, [60.0, 404.0, 556.0, 18.0], shoonya_1s3BJCU9RS95F1, 5760771]
[paragraph, [60.0, 422.0, 556.0, 18.0], shoonya_1s3BJCU9RS95F1, 5760771]
[paragraph, [60.0, 440.0, 556.0, 18.0], shoonya_1s3BJCU9RS95F1, 5760771]
[paragraph, [60.0, 458.0, 556.0, 18.0], shoonya_1s3BJCU9RS95F1, 5760771]
[paragraph, [60.0, 476.0, 556.0, 18.0], shoonya_1s3BJCU9RS95F1, 5760771]
[paragraph, [62.0, 509.0, 554.0, 18.0], shoonya_4s786XRAXS4T7D, 5760771]
[paragraph, [62.0, 527.0, 554.0, 18.0], shoonya_4s786XRAXS4T7D, 5760771]
[paragraph, [62.0, 545.0, 554.0, 18.0], shoonya_4s786XRAXS4T7D, 5760771]
[paragraph, [62.0, 563.0, 554.0, 18.0], shoonya_4s786XRAXS4T7D, 5760771]
[paragraph, [62.0, 581.0, 554.0, 18.0], shoonya_4s786XRAXS4T7D, 5760771]
[paragraph, [62.0, 599.0, 554.0, 18.0], shoonya_4s786XRAXS4T7D, 5760771]
[paragraph, [62.0, 617.0, 554.0, 18.0], shoonya_4s786XRAXS4T7D, 5760771]
[paragraph, [62.0, 635.0, 554.0, 18.0], shoonya_4s786XRAXS4T7D, 5760771]
[paragraph, [61.0, 669.0, 557.0, 18.0], shoonya_5sL19HQF806UG4, 5760771]
[paragraph, [61.0, 687.0, 557.0, 18.0], shoonya_5sL19HQF806UG4, 5760771]
[paragraph, [61.0, 705.0, 557.0, 18.0], shoonya_5sL19HQF806UG4, 5760771]
[paragraph, [61.0, 723.0, 557.0, 18.0], shoonya_5sL19HQF806UG4, 5760771]
[paragraph, [61.0, 741.0, 557.0, 18.0], shoonya_5sL19HQF806UG4, 5760771]
[paragraph, [61.0, 759.0, 557.0, 18.0], shoonya_5sL19HQF806UG4, 5760771]
[paragraph, [61.0, 777.0, 557.0, 18.0], shoonya_5sL19HQF806UG4, 5760771]
[paragraph, [62.0, 805.0, 556.0, 18.0], exme_Al09k, 5760771]
[paragraph, [62.0, 823.0, 556.0, 18.0], exme_Al09k, 5760771]
[paragraph, [62.0, 841.0, 556.0, 18.0], exme_Al09k, 5760771]
[paragraph, [62.0, 859.0, 556.0, 18.0], exme_Al09k, 5760771]
[paragraph, [62.0, 877.0, 556.0, 18.0], exme_Al09k, 5760771]
[paragraph, [62.0, 895.0, 556.0, 18.0], exme_Al09k, 5760771]
