[2400, 1600]
[website-link, [979.0, 109.0, 254.0, 18.0], NS5F90Odsr, 5660972]
[website-link, [979.0, 127.0, 254.0, 18.0], NS5F90Odsr, 5660972]
[website-link, [1244.0, 110.0, 183.0, 18.0], 4U2ZCi6qmA, 5660972]
[website-link, [1244.0, 128.0, 183.0, 18.0], 4U2ZCi6qmA, 5660972]
[folio, [161.0, 152.0, 239.0, 36.0], rt0T4M22yI, 5660972]
[paragraph, [135.0, 228.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 264.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 300.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 336.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 372.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 408.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 444.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 480.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 516.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 552.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 588.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 624.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 660.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 696.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 732.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 768.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 804.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 840.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 876.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 912.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 948.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 984.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 1020.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 1056.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 1092.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 1128.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 1164.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 1200.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 1236.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 1272.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 1308.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[paragraph, [135.0, 1344.0, 1295.0, 36.0], oo422Gmqmr, 5660972]
[section-title, [532.0, 1435.0, 560.0, 52.5], shoonya_1sBDX8IT63OXJU, 5660972]
[paragraph, [283.0, 1535.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 1571.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 1607.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 1643.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 1679.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 1715.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 1751.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 1787.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 1823.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 1859.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 1895.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 1931.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 1967.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 2003.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 2039.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 2075.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 2111.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 2147.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 2183.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[paragraph, [283.0, 2219.0, 1116.0, 36.0], shoonya_0sGN456GVE6DIX, 5660972]
[folio, [278.0, 2282.0, 1034.0, 36.0], ZrB_1pvvgL, 5660972]
[folio, [278.0, 2318.0, 1034.0, 36.0], ZrB_1pvvgL, 5660972]
