[1754, 1241]
[paragraph, [206.0, 143.0, 892.0, 36.0], shoonya_0sASV260ZXYM5X, 6470528]
[paragraph, [206.0, 179.0, 892.0, 36.0], shoonya_0sASV260ZXYM5X, 6470528]
[paragraph, [206.0, 215.0, 892.0, 36.0], shoonya_0sASV260ZXYM5X, 6470528]
[paragraph, [206.0, 251.0, 892.0, 36.0], shoonya_0sASV260ZXYM5X, 6470528]
[paragraph, [206.0, 287.0, 892.0, 36.0], shoonya_0sASV260ZXYM5X, 6470528]
[paragraph, [206.0, 323.0, 892.0, 36.0], shoonya_0sASV260ZXYM5X, 6470528]
[paragraph, [206.0, 359.0, 892.0, 36.0], shoonya_0sASV260ZXYM5X, 6470528]
[paragraph, [206.0, 395.0, 892.0, 36.0], shoonya_0sASV260ZXYM5X, 6470528]
[paragraph, [206.0, 431.0, 892.0, 36.0], shoonya_0sASV260ZXYM5X, 6470528]
[paragraph, [206.0, 467.0, 892.0, 36.0], shoonya_0sASV260ZXYM5X, 6470528]
[paragraph, [206.0, 503.0, 892.0, 36.0], shoonya_0sASV260ZXYM5X, 6470528]
[paragraph, [206.0, 539.0, 892.0, 36.0], shoonya_0sASV260ZXYM5X, 6470528]
[paragraph, [206.0, 575.0, 892.0, 36.0], shoonya_0sASV260ZXYM5X, 6470528]
[paragraph, [206.0, 611.0, 892.0, 36.0], shoonya_0sASV260ZXYM5X, 6470528]
[paragraph, [206.0, 647.0, 892.0, 36.0], shoonya_0sASV260ZXYM5X, 6470528]
[paragraph, [206.0, 683.0, 892.0, 36.0], shoonya_0sASV260ZXYM5X, 6470528]
[paragraph, [206.0, 719.0, 892.0, 36.0], shoonya_0sASV260ZXYM5X, 6470528]
[paragraph, [210.0, 774.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 810.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 846.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 882.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 918.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 954.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 990.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 1026.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 1062.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 1098.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 1134.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 1170.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 1206.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 1242.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 1278.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 1314.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 1350.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 1386.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 1422.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 1458.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 1494.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
[paragraph, [210.0, 1530.0, 892.0, 36.0], Wgvme4I2F6, 6470528]
